Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
General Manager,"General Manager, WATCO Division-I, Vanivihar Square, Bhubaneswar, Odisha, Pin-751022, Phone (0674) -2542821",WATCO Bhubaneswar||Director (Operation) Watco||GM WATCO DIVISION-I BBSR,GMWATCO-I/58(6)/2024-25 Dt.26.11.2024,2024_GWCDB_107669_1,Yes,National Competitive Bid,Lump-sum,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Copy of PAN, GST, Affidavits, as per DTCN","4,720",Nil,Nil,No,"10,000",Yes,fixed,,Nil,Nil,02-Dec-2024 04:00 PM,17-Dec-2024 12:30 PM,02-Dec-2024 04:00 PM,16-Dec-2024 05:00 PM,02-Dec-2024 04:00 PM ,05-Dec-2024 05:00 PM ,02-Dec-2024 04:00 PM,16-Dec-2024 05:00 PM,"Operation and Maintenance of existing Sewerage System of different areas under WATCO Section, CHANDRASEKHARPUR, Bhubaneswar","Operation and Maintenance of existing Sewerage System of different areas under WATCO Section, CHANDRASEKHARPUR, Bhubaneswar",Please refer Tender documents. ,NA ,"9,13,000",Civil Works - Water Works,NA ,Tender,120.0,180.0,"Chandrasekharpur, Bhubaneswar",751016.0,NA ,NA ,NA ,Bhubaneswar,No ,No,1.0,ICICI BANK,AOC,20-Jun-2025,"INR 944,955",180.0,Basanta Kumar Behera,20-Jun-2025 02:57 PM,AOC.pdf (1586.00 KB),1,2694078,SANTOSH KUMAR LENKA,16-Dec-2024 03:35 PM,Rejected-AOC,Not a lowest bidder,20-Jun-2025 02:57 PM,General Manager,Internal,,Basanta Kumar Behera,20-Jun-2025 01:04 PM,techsummary_518309.pdf (829.54 KB),General Manager,Internal,,Basanta Kumar Behera,20-Jun-2025 01:51 PM,finsummary_518309.pdf (829.54 KB),WATCO Bhubaneswar||Director (Operation) Watco||GM WATCO DIVISION-I BBSR,2024_GWCDB_107669_1,GMWATCO-I/58(6)/2024-25 Dt.26.11.2024,"Operation and Maintenance of existing Sewerage System of different areas under WATCO Section, CHANDRASEKHARPUR, Bhubaneswar",1.0,2691934.0,SASMITA NAYAK,INR,"944,955",Finance,Three no bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,SARADA PRASANNA NAYAK,17-Dec-2024 01:43 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,2,2691934,SASMITA NAYAK,13-Dec-2024 01:18 PM,Accepted-AOC,Lowest bidder,20-Jun-2025 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2691469,vedika resources,13-Dec-2024 12:33 PM,Rejected-AOC,Not a lowest bidder,20-Jun-2025 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
