Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Auction Initiated Status :,Reason :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Odisha Fire And Emergency Service,6/2024-25,2024_OFES_107508_1,Yes,Open Tender,Tender cum Auction,Goods,2.0,No,No,Offline,No,No,No,1.0,Date Corrigendum,Date,,26-Nov-2024 10:00 AM,20-Dec-2024 03:00 PM,26-Nov-2024 10:00 AM,20-Dec-2024 02:00 PM,NA ,NA ,14-Dec-2024 11:00 AM,20-Dec-2024 02:00 PM,17-Feb-2025 05:15 PM,"1,000",0070-60-109-0097-02082-000,Cuttack,No,1.0,Please refer RFP,.pdf,Please refer RFP,"30,00,000",Yes,fixed,,"DDO, Directorate of F and ES, HGS and CD",Cuttack,"Chief Fire Officer, Provisioning","Odisha Fire and Emergency Service Odisha, Cuttack",Procurement of De-Watering Pump,Procurement of De-Watering Pump,Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,180.0,90.0,"Odisha Fire and Emergency Service Odisha, Cuttack",753001.0,Online ,"Odisha Fire and Emergency Service Odisha, Cuttack ",09-Dec-2024 11:30 AM ,"Odisha Fire and Emergency Service Odisha, Cuttack",No ,No,1.0,DD - Demand Draft,AOC,1.0,2695777.0,SARASWATA ENTERPRISES,INR,"146,202,000",Odisha Fire And Emergency Service,2024_OFES_107508_1,6/2024-25,Procurement of De-Watering Pump,"Dr. Deepak Kumar, IPS (IG of Police, Fire and Emergency Service)",Internal,,Ramesh Chandra Majhi,17-Feb-2025 04:58 PM,17-Feb-2025 05:15 PM,techsummary_517726.pdf (1338.24 KB),"Dr. Deepak Kumar, IPS (IG of Police, Fire and Emergency Service)",Internal,,Ramesh Chandra Majhi,02-Jun-2025 04:49 PM,finsummary_517726.pdf (1185.88 KB),02-Jun-2025,"INR 146,202,000",90.0,Ramesh Chandra Majhi,02-Jun-2025 05:23 PM,AOCDeWateringPump.pdf (335.00 KB),Supply Order for De-Watering Pump.,Finance,Auto Opened,Bala Mukunda Dash,17-Feb-2025 05:31 PM,,Yes,"For better price, committee decided to initiate auction process.",BOQ Comparative Chart,Technical,Procurement of De-Watering Pump.,Ramesh Chandra Majhi,17-Feb-2025 04:43 PM,,1,2698680,OMKAR ENTERPRISES,16-Dec-2024 02:50 PM,Rejected-AOC,Price Offered by L2 Firm.,02-Jun-2025 05:24 PM,AOC
,,,,,,,,,,,,,,2.0,Pre-Bid Query Response for De Watering Pump,Other,,,,,,,,,,,,,,,2.0,Financial Document,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2695777,SARASWATA ENTERPRISES,14-Dec-2024 12:09 PM,Accepted-AOC,Negotiation Price Offered by L1 Firm.,02-Jun-2025 05:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2701407,SWOSTI ENTERPRISES,17-Dec-2024 07:29 PM,Rejected-AOC,Price Offered by L3 Firm.,02-Jun-2025 05:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2701829,VIJAY FIRE VEHICLES AND PUMPS LTD,20-Dec-2024 01:31 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,17-Feb-2025 04:43 PM,AOC
