Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Hinjilicut Municipal Council,HIN-MUN-05/2024-25,2025_ORULB_111165_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Construction of RCC Drain with Cover Slab in front of Hanuman Temple of Ward No-21 Under Hinjilicut Municipality,Construction of RCC Drain with Cover Slab in front of Hanuman Temple of Ward No-21 Under Hinjilicut Municipality,Please refer Tender documents. ,NA ,"10,80,718",Civil Works - Others,NA ,Tender,60.0,60.0,HINJILICUT MUNICIPALITY,761102.0,NA ,NA ,NA ,HINJILICUT MUNICIPALITY,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Scan copy of PAN, GST clearance, Affidavit and Other documents as mention in DTCN",EXECUTIVE OFFICER,HINJILICUT MUNICIPALITY,"6,000",0.0,Nil,Nil,No,06-Mar-2025 11:00 AM,18-Mar-2025 11:00 AM,06-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,NA ,NA ,06-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,"10,807",Yes,fixed,,Nil,Nil,AOC,"Chairperson, Hinjilicut Municipality",Internal,"Executive Officer, Municipal Engineer, Junior Engineer, Accountant, Hinjilicut Municipality.",Jubulee Charan Behera,06-Jun-2025 10:59 AM,finsummary_531616.pdf (348.57 KB),"Chairperson, Hinjilicut Municipality",Internal,"Executive Officer, Municipal Engineer, Junior Engineer, Accountant, Hinjilicut Municipality.",Jubulee Charan Behera,06-Jun-2025 10:49 AM,techsummary_531616.pdf (279.51 KB),06-Jun-2025,"INR 918,718.26",60.0,Jubulee Charan Behera,06-Jun-2025 11:11 AM,AOC.pdf (361.00 KB),1,2858785,ANIL KUMAR MAHANKUDA,17-Mar-2025 03:11 PM,Rejected-AOC,As per Transparent Lottary System.,06-Jun-2025 11:11 AM,Municipal Bodies||Hinjilicut Municipal Council,2025_ORULB_111165_23,HIN-MUN-05/2024-25,Construction of RCC Drain with Cover Slab in front of Hanuman Temple of Ward No-21 Under Hinjilicut Municipality,Finance,3 NOS. OF BIDDER PARTICIPATED AND DOCUMENT DOWNLOADED SUCCESSFULLY.,Subrat Kumar Mohapatra,18-Mar-2025 05:05 PM,finance_531616.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2859387,ANIL KUMAR SAHU,17-Mar-2025 04:10 PM,Accepted-AOC,As per Transparent Lottary System.,06-Jun-2025 11:11 AM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2854732,SAROJ KUMAR NAHAK,14-Mar-2025 02:45 PM,Rejected-AOC,As per Transparent Lottary System.,06-Jun-2025 11:11 AM,,,,,,,,,,,AOC
