S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,2642653.0,M/S SHARMILA BANU,INR,"3,106,336",Finance,06 Nos. bidder participated,Lingaraj Sethi,02-Jan-2025 11:29 AM,finance_513209.pdf,BOQ Comparative Chart,Sandeep Ku Chhualsingh,Internal,SE DAO EST,Lingaraj Sethi,30-Apr-2025 10:53 AM,finsummary_513209.pdf (916.03 KB),EIC-CIVIL||SERNB-CIRCLE-PHULBANI||EERNB Division Boudh,2024_EICCL_106178_1,SEBDH-07/2024-25,Construction Of Paddy Procurement Center In Odisha At Lunibahal in the district of Boudh,Pravat Kumar Das,Internal,SE DAO EST,Lingaraj Sethi,02-Jan-2025 12:08 PM,techsummary_513209.pdf (228.41 KB),03-Jun-2025,"INR 3,106,336",60.0,Sandeep Kumar Chhualsingh,03-Jun-2025 12:37 PM,2500.pdf (820.00 KB),1,2650478,ASHUTOSH MAHAPATRA,17-Nov-2024 02:04 PM,Rejected-Finance,Disqualified,30-Apr-2025 10:53 AM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,GST,PAN, Affidavit and other relevant documents as per clauses of DTCN",EIC-CIVIL||SERNB-CIRCLE-PHULBANI||EERNB Division Boudh,SEBDH-07/2024-25,2024_EICCL_106178_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SE Boudh R and B Division Boudh,Office of the SE Boudh R and B Division Boudh,"6,000",0.0,Nil,Nil,No,Construction Of Paddy Procurement Center In Odisha At Lunibahal in the district of Boudh,Composite work,Please refer tender documents ,NA ,"36,54,084",Civil Works - Buildings,NA ,Tender,90.0,60.0,Boudh,762014.0,NA ,NA ,NA ,Office of the SE Boudh R and B Division Boudh,No ,No,"36,600",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Date extension,Date,,01-Nov-2024 10:00 AM,19-Nov-2024 11:30 AM,01-Nov-2024 10:00 AM,18-Nov-2024 05:00 PM,01-Nov-2024 10:00 AM ,18-Nov-2024 01:00 PM ,01-Nov-2024 10:00 AM,18-Nov-2024 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2652041,DS CONSTRUCTION,18-Nov-2024 04:16 PM,Rejected-Finance,Disqualified,30-Apr-2025 10:53 AM,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2648062,KIRAN KUMAR PRADHAN,15-Nov-2024 10:36 PM,Rejected-Finance,Disqualified,30-Apr-2025 10:53 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2642653,M/S SHARMILA BANU,13-Nov-2024 11:43 AM,Accepted-AOC,L1 Bidder,03-Jun-2025 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2650649,Mukesh Kumar Kudei,17-Nov-2024 05:52 PM,Rejected-Finance,Disqualified,30-Apr-2025 10:53 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2642573,Sri Sangram Keshari Meher,12-Nov-2024 05:33 PM,Rejected-Finance,Disqualified,30-Apr-2025 10:53 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
