Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
S. Naik,Internal,R.K. PALEIL.SAHOOA.S.SWAINP.K.JENA,Subrat Kumar Jena,18-Jun-2025 04:33 PM,techsummary_520118.pdf (987.40 KB),Odisha Tourism Devl. Corp.,2024_OTDC_108147_1,BP I/12/2024-25 dt. 04.12.2024,Installation of Street Light in Existing Light post at Panthanivas Barkul.,1.0,2702498.0,JBS ENTERPRISES,INR,"1,555,027",1,2695377,EDITION INTERNATIONAL,13-Dec-2024 05:59 PM,Rejected-Technical,Not Fulfilled eligibility criteria,18-Jun-2025 04:33 PM,18-Jun-2025,"INR 1,555,027",30.0,Subrat Kumar Jena,18-Jun-2025 04:49 PM,WORKORDER.pdf (574.00 KB),Installation of Street Light in Existing Light post at Panthanivas Barkul.,Finance,Proceeding,Subrat Kumar Jena,18-Jun-2025 04:26 PM,finance_520118.pdf,BOQ Comparative Chart,S. Naik,Internal,R.K.PALEIL.SAHOOA.S.SWAINP.K.JENA,Subrat Kumar Jena,18-Jun-2025 04:41 PM,finsummary_520118.pdf (573.87 KB),AOC,1.0,ICICI BANK,"6,000","1,080",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender, EMD, Contractor Registration License, Pan card, Affidavit, GST,work experience cer","Executive Engineer, O.T.D.C Ltd Lewis road Bhuba","Executive Engineer, O.T.D.C Ltd Lewis road Bhubaneswar.",11-Dec-2024 09:00 AM,19-Dec-2024 12:00 PM,11-Dec-2024 09:00 AM,19-Dec-2024 11:30 AM,NA ,NA ,11-Dec-2024 09:00 AM,19-Dec-2024 11:30 AM,Odisha Tourism Devl. Corp.,BP I/12/2024-25 dt. 04.12.2024,2024_OTDC_108147_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"15,500",Yes,percentage,1.0%,Nil,Nil,Installation of Street Light in Existing Light post at Panthanivas Barkul.,Installation of Street Light in Existing Light post at Panthanivas Barkul.,Please refer Tender documents. ,NA ,"15,50,000",Electrical Works,NA ,Tender,90.0,30.0,Panthanivas Barkul,752030.0,NA ,NA ,NA ,"Executive Engineer, O.T.D.C Ltd Lewis road Bhuba",No ,No,AOC
,,,,,,,,,,,,,,,2,2703072,Fusion Power,19-Dec-2024 12:43 AM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2703174,Jay Maa Engineering,19-Dec-2024 10:57 AM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2702498,JBS ENTERPRISES,18-Dec-2024 04:02 PM,Accepted-AOC,L1,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2695349,MODERN WINDING AND ELECTRICALS,13-Dec-2024 05:40 PM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2696100,M/s. EASTERN ENGINEERING,18-Dec-2024 05:54 PM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2701881,M/S GANGA ELECTRIC,18-Dec-2024 11:42 AM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2703208,M/S GIRISH CHANDRA PATRA,19-Dec-2024 11:14 AM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2701802,M/S GOURISHANKAR ENTERPRISES.RAMAKANTA MAHANI,18-Dec-2024 09:35 AM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2702662,M/S SYAG Electricals and Construction,18-Dec-2024 05:38 PM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,2696544,M/s.TULSHI ENTERPRISES,15-Dec-2024 12:30 PM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,2695521,NARAYANI CONSTRUCTION,13-Dec-2024 07:47 PM,Rejected-Technical,Not Fulfilled eligibility criteria,18-Jun-2025 04:33 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,2702823,POWERTECH ENGINEERING.TAPAS RANJAN PATI,18-Dec-2024 07:45 PM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,2694769,RAKESH PATTANAYAK,13-Dec-2024 12:53 PM,Rejected-Technical,Not Fulfilled eligibility criteria,18-Jun-2025 04:33 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,15,2702661,RAMESH CHANDRA MALLICK,18-Dec-2024 05:31 PM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,16,2701264,RAMESH CHANDRA SAHOO,17-Dec-2024 05:57 PM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,17,2702674,RSC ELECTRICAL AND CONSTRUCTION,18-Dec-2024 05:57 PM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,18,2702314,saraswati telesolutions,18-Dec-2024 02:12 PM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,19,2697971,SITARAM INFRA AND ENERGY PVT LTD,16-Dec-2024 12:12 PM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,20,2702761,SUNA INDUSTRIAL ENGINEERING CO,18-Dec-2024 10:39 PM,Rejected-Technical,Not Fulfilled eligibility criteria,18-Jun-2025 04:33 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,21,2692128,T.RABIN KUMAR PATRO,13-Dec-2024 10:35 AM,Rejected-AOC,Fulfilled eligibility criteria,18-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
