Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage
"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela.",1.0,ICICI BANK,24-Mar-2025 06:00 PM,08-Apr-2025 11:00 AM,24-Mar-2025 06:00 PM,07-Apr-2025 05:00 PM,NA ,NA ,24-Mar-2025 06:00 PM,07-Apr-2025 05:00 PM,Rourkela Municipal Corporation,MC/RMC/17/2025,2025_RMC_111880_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of Road and Drain at L1 28 to L1 15, L1 20 to L1 9 and L1 161 Chhend Colony under RMC, Rourkela.",Works,Please refer Tender documents. ,NA ,"12,36,000",Civil Works - Others,NA ,Tender,90.0,45.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela.",No ,No,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, GST, EMD, PAN, Paper cost and other Documents as per DTCN","12,360",Yes,fixed,,Nil,Nil,AOC,Finance,EMD refund,Birendra Nanda,26-Jun-2025 12:01 PM,finance_534217.pdf,BOQ Comparative Chart,Commissioner,External,"Audit Officer, Superintending Engineer, Joint Commissioner",Birendra Nanda,26-Jun-2025 12:38 PM,techsummary_534217.pdf (1680.36 KB),1,2878218,ANITA SETHI,07-Apr-2025 04:25 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:38 PM,26-Jun-2025,"INR 1,050,400.14",45.0,Birendra Nanda,26-Jun-2025 04:17 PM,BID17.pdf (1680.00 KB),Awarded to Aradhya Construction,1.0,2874093.0,ARADHYA CONSTRUCTION,INR,"1,050,400.14",Rourkela Municipal Corporation,2025_RMC_111880_4,MC/RMC/17/2025,"Construction of Road and Drain at L1 28 to L1 15, L1 20 to L1 9 and L1 161 Chhend Colony under RMC, Rourkela.",Commissioner,External,"Audit Officer, Superintending Engineer, Joint Commissioner",Birendra Nanda,26-Jun-2025 12:58 PM,finsummary_534217.pdf (1680.36 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,2,2878065,ANNAPURNA HITEKSHA ENTERPRISES,07-Apr-2025 03:57 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,2874093,ARADHYA CONSTRUCTION,31-Mar-2025 06:41 PM,Accepted-AOC,By The Tender Committee,26-Jun-2025 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,2874102,ARATI TRIPATHY,31-Mar-2025 07:05 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,2878009,BRAJA MOHAN BEURA,07-Apr-2025 02:03 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,2877477,CHAKRA TANTY,06-Apr-2025 08:16 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,2877962,CHIDA ORAM,07-Apr-2025 01:33 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,2876926,EDITION INTERNATIONAL,05-Apr-2025 06:22 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,26-Jun-2025 12:01 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,2874553,JITENDRA KUMAR NAYAK,02-Apr-2025 12:17 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,2875378,KARTIK DAS,03-Apr-2025 05:02 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
