Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Construction of Paver Block Road and Drain from Edu House to Sk Riyaz House in Ward No_05,Construction of Paver Block Road and Drain from Edu House to Sk Riyaz House in Ward No_05,Please refer Tender documents. ,NA ,"4,23,729",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_30,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"2,000",0.0,Nil,Nil,No,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,"4,237",Yes,percentage,1.0%,Nil,Nil,"Executive Officer, Balasore Municipality",Balasore Municipality Office,1.0,REVISED DTCN,Technical Bid,,AOC,EO CP ME AE,Internal,,Pradeep Kumar Nayak,11-Jun-2025 01:35 PM,techsummary_533133.pdf (514.58 KB),EO CP ME AE,Internal,,Pradeep Kumar Nayak,11-Jun-2025 01:36 PM,finsummary_533133.pdf (514.58 KB),Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 02:02 PM,,BOQ Comparative Chart,1,2867516,Ajit Mishra,24-Mar-2025 10:23 PM,Rejected-Technical,L4,11-Jun-2025 01:35 PM,Municipal Bodies||Balasore Municipality,2025_ORULB_111643_30,BM_06_2024_25,Construction of Paver Block Road and Drain from Edu House to Sk Riyaz House in Ward No_05,1.0,2868434.0,Mohammed Firoz Khan,INR,"360,212.02",11-Jun-2025,"INR 423,729",60.0,Pradeep Kumar Nayak,11-Jun-2025 01:38 PM,WO0630.pdf (511.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2868434,Mohammed Firoz Khan,25-Mar-2025 08:26 PM,Accepted-AOC,WO,11-Jun-2025 01:38 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2867592,RAMA CHANDRA SAMANTARAY,25-Mar-2025 02:08 PM,Rejected-Technical,L3,11-Jun-2025 01:35 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2868235,SHEIK ABDUL BASIT,25-Mar-2025 05:57 PM,Rejected-Technical,L2,11-Jun-2025 01:35 PM,,,,,,,,,,,,,,,,AOC
