Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_128,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,000",0.0,Nil,Nil,No,1.0,REVISED DTCN,Technical Bid,,"18,644",Yes,percentage,1.0%,Nil,Nil,RR of Road and Drain with Culvert at bhoi sahi from Shyam Pattanaik Res to Basanti Mandap via Sidheswar Temple Res in Ward No_09,RR of Road and Drain with Culvert at bhoi sahi from Shyam Pattanaik Res to Basanti Mandap via Sidheswar Temple Res in Ward No_09,Please refer Tender documents. ,NA ,"18,64,407",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,"Executive Officer, Balasore Municipality",Balasore Municipality Office,AOC,1,2869072,ANJAN KUMAR JENA,26-Mar-2025 03:52 PM,Rejected-Technical,L3,11-Jun-2025 02:02 PM,Municipal Bodies||Balasore Municipality,2025_ORULB_111643_128,BM_06_2024_25,RR of Road and Drain with Culvert at bhoi sahi from Shyam Pattanaik Res to Basanti Mandap via Sidheswar Temple Res in Ward No_09,EO CP ME AE,Internal,,Pradeep Kumar Nayak,16-Jun-2025 01:56 PM,finsummary_533285.pdf (481.99 KB),1.0,2868263.0,Mania marandi,INR,"1,659,322.23",Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 05:48 PM,,BOQ Comparative Chart,EO CP ME AE,Internal,,Pradeep Kumar Nayak,11-Jun-2025 02:02 PM,techsummary_533285.pdf (481.99 KB),16-Jun-2025,"INR 1,403,758",60.0,Pradeep Kumar Nayak,16-Jun-2025 01:58 PM,WO06128.pdf (524.00 KB),AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2868263,Mania marandi,26-Mar-2025 01:46 PM,Accepted-AOC,WO,16-Jun-2025 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2864294,SRIMANTA MAJHI,22-Mar-2025 01:11 PM,Rejected-Technical,L2,11-Jun-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
