S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2867349.0,MANOJ KUMAR MOHANTY,INR,"40,702,078",CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_111713_2,Road Online N.C.B. No-370,Construction of Pokharia to Govindapur Road under MMSY-TRIP Scheme in the District of Mayurbhanj for the year 2024-25.,Technical,16 Nos of bidders participated,Ashwani Pradhan,08-May-2025 12:32 PM,,"CCERWCIRCLE, BARIPADA",Internal,,Ashwani Pradhan,16-May-2025 10:24 AM,finsummary_533414.pdf (1301.64 KB),"CCERWCIRCLE, BARIPADA",Internal,,Ashwani Pradhan,08-May-2025 12:48 PM,14-May-2025 11:00 AM,techsummary_533414.pdf (2467.39 KB),Finance,15 Nos of bidders admitted,Ashwani Pradhan,16-May-2025 10:14 AM,,BOQ Comparative Chart,1,2873706,Basanta Kumar Paibarty,30-Mar-2025 09:14 PM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,09-Jun-2025,"INR 40,702,078",270.0,Akshaya Kumar Naik,19-Jun-2025 11:58 AM,PokhoriaGovindpur.pdf (839.00 KB),AOC,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BARIPADA,Road Online N.C.B. No-370,2025_CERWI_111713_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,17-Mar-2025 03:00 PM,03-Apr-2025 11:00 AM,17-Mar-2025 03:00 PM,02-Apr-2025 05:00 PM,17-Mar-2025 03:00 PM ,29-Mar-2025 05:00 PM ,17-Mar-2025 03:00 PM,02-Apr-2025 05:00 PM,14-May-2025 11:00 AM,CCE RWC Baripada,CCE RWC Baripada,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",Construction of Pokharia to Govindapur Road under MMSY-TRIP Scheme in the District of Mayurbhanj for the year 2024-25.,Construction of Pokharia to Govindapur Road under MMSY-TRIP Scheme in the District of Mayurbhanj for the year 2024-25.,Please refer Tender documents. ,NA ,"4,78,79,000",Civil Works - Roads,NA ,Tender,90.0,270.0,"SERW Division, Rairangpur",757043.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,"4,78,790",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2873617,BIJAYA NANDA MANDAL,01-Apr-2025 05:10 PM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2867720,BIPLAB KUMAR GIRI,02-Apr-2025 03:43 PM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2870453,CHINMAYANANDA GIRI,27-Mar-2025 12:33 PM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2870726,Harihara Giri,27-Mar-2025 02:33 PM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2874235,JEETESH RANJAN BEHERA,01-Apr-2025 12:11 PM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2869618,JOGESWAR MOHANTA,30-Mar-2025 05:17 PM,Rejected-Technical,Non submission of declaration regarding distance of Hotmix Plant,08-May-2025 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2865512,KIRAN KUMAR DAS,23-Mar-2025 06:44 PM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2867349,MANOJ KUMAR MOHANTY,24-Mar-2025 08:59 PM,Accepted-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2873823,MS SHAKTIMAN BUILDERS,31-Mar-2025 01:06 PM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2873976,SANAT KUMAR GHOSE,31-Mar-2025 02:42 PM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2867936,SILVER CREEK CONSTRUCTIONS,28-Mar-2025 01:04 PM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2873658,SRI LINGARAJ PADHI,02-Apr-2025 11:17 AM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2874300,SRI SUBASH CHANDRA MANDAL,01-Apr-2025 04:52 PM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2870457,TARUN MOHANTY,01-Apr-2025 02:03 PM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2873634,TUHIN KUMAR MANDAL,30-Mar-2025 03:58 PM,Rejected-AOC,L1,19-Jun-2025 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
