S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,19-Mar-2024 05:30 PM,28-Mar-2024 05:00 PM,19-Mar-2024 05:30 PM,28-Mar-2024 04:30 PM,19-Mar-2024 05:30 PM ,27-Mar-2024 01:00 PM ,19-Mar-2024 05:30 PM,28-Mar-2024 04:30 PM,22-Apr-2024 09:00 AM,"Construction of road N.H-149 Hatibindha to Jenasada road via Sansada, Dwitikrisnapur road in the District of Angul under MMSY-TRIP for the year 2023-24.","Construction of road N.H-149 Hatibindha to Jenasada road via Sansada, Dwitikrisnapur road in the District of Angul under MMSY-TRIP for the year 2023-24.",Please refer Tender documents. ,NA ,"8,25,41,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Angul,759122.0,NA ,NA ,NA ,"O/o C.C.E,R.W.Circle,Angul",No ,No,"Chief Construction Engineer,R.W.C,Angul",At-Hakimpada Po-Hakimpada District- Angul Pin-759122,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD one percentage of the estimated cost,GST,PAN,RC,Affidavit regarding correctness","8,25,410",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-ANGUL,Road Online-AGL- 53/ 2023-24,2024_CERWI_102848_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,2487753,BHUBAN BEHERA,28-Mar-2024 02:12 PM,Accepted-AOC,1ST LOWEST BIDDER,20-Jun-2025 06:09 PM,20-Jun-2025,"INR 73,709,484",270.0,Anup Kumar Behera,20-Jun-2025 06:09 PM,Hatibandha.PDF (871.00 KB),REFUND OF EMD,CHIEF CONSTRUCTION ENGINEER,Internal,E.E DAO ESTIMATOR,Baikuntha Nath Sarangi,18-Apr-2024 12:32 PM,22-Apr-2024 09:00 AM,techsummary_500405.pdf (126.34 KB),Finance,Four Bidders found,Sasmita Das,05-Jun-2024 12:36 PM,finance_500405.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-ANGUL,2024_CERWI_102848_1,Road Online-AGL- 53/ 2023-24,"Construction of road N.H-149 Hatibindha to Jenasada road via Sansada, Dwitikrisnapur road in the District of Angul under MMSY-TRIP for the year 2023-24.",Technical,Five Bidders found,Sasmita Das,28-Mar-2024 05:21 PM,technical_500405.pdf,Chief Construction Engineer,Internal,E.E DAO ESTIMATOR,Anup Kumar Behera,20-Jun-2025 06:07 PM,finsummary_500405.pdf (870.58 KB),1.0,2487753.0,BHUBAN BEHERA,INR,"73,709,484",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Labour licence,Similar nature of work ,Annual Turn Over,Work in hand ,No relation certificate,Litiga",,,,,,,,,,,,,,,,,,,,,AOC,2,2485895,BIRENDRA SAHOO,25-Mar-2024 11:13 PM,Rejected-Technical,Supression of work in hand as per clause no.1.2.7 of ITB.,18-Apr-2024 12:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery own obtained on hire, Balance sheet Bidder Contact address and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,AOC,3,2487663,MONALISHA CONSTRUCTION,27-Mar-2024 08:32 PM,Rejected-AOC,0,20-Jun-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities in xls sheet,,,,,,,,,,,,,,,,,,,,,AOC,4,2487898,MOTIRANJAN SAHOO,28-Mar-2024 01:37 PM,Rejected-AOC,0,20-Jun-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2487847,RUPESH CHANDRA PRADHAN,28-Mar-2024 12:50 PM,Rejected-AOC,0,20-Jun-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
