Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",Nil,Nil,No,Superintending Engineer,"O/o SE, Jajpur Irrigation Division, Jajpur",1.0,ICICI BANK,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,e-Procurement Notice No.17/ 2024-25,2025_CDJID_111681_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",14-Mar-2025 01:30 PM,25-Mar-2025 11:30 AM,14-Mar-2025 01:30 PM,24-Mar-2025 05:00 PM,14-Mar-2025 01:30 PM ,19-Mar-2025 05:00 PM ,14-Mar-2025 01:30 PM,24-Mar-2025 05:00 PM,29-Mar-2025 05:00 PM,"50,300",Yes,fixed,,Nil,Nil,JJPR-13/24-25 Restoration to Biruhanmahara left/right TRE on Genguti left.,Restoration work,Please refer Tender documents. ,NA ,"50,30,019",Civil Works - Others,NA ,Tender,90.0,180.0,Dhamnagar,756117.0,NA ,NA ,NA ,"O/o SE, Jajpur Irrigation Division, Jajpur",No ,No,AOC,26-Jun-2025,"INR 4,276,018.9",180.0,Ratnakar Dalai,26-Jun-2025 12:30 PM,WO17_13.pdf (472.00 KB),Contract Awarded,1,2864469,AMIT BARAN DAS,22-Mar-2025 12:41 PM,Rejected-Finance,Did not win the lottery,26-Jun-2025 12:25 PM,"Superintending Engineer, Jajpur Irrigation Division Jajpur",Internal,"Estimator and DAO, Jajpur Irrigation Division Jajpur",Sarat Chandra Ghadei,29-Mar-2025 04:46 PM,29-Mar-2025 05:00 PM,techsummary_533316.pdf (1202.69 KB),Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Sarat Chandra Ghadei,10-Apr-2025 01:47 PM,finance_533316.pdf,BOQ Comparative Chart,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,2025_CDJID_111681_6,e-Procurement Notice No.17/ 2024-25,JJPR-13/24-25 Restoration to Biruhanmahara left/right TRE on Genguti left.,Technical,Uploaded tender documents of all the bidders have been downloaded successfully.,Sarat Chandra Ghadei,25-Mar-2025 09:49 PM,technical_533316.pdf,"Superintending Engineer, Jajpur Irrigation Division Jajpur",Internal,"Estimator and DAO, Jajpur Irrigation Division Jajpur",Ratnakar Dalai,26-Jun-2025 12:25 PM,finsummary_533316.pdf (472.09 KB),1.0,2863653.0,Pramod Kumar Nath,INR,"4,276,018.9",AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2864990,Anshuman Rout,23-Mar-2025 11:25 AM,Rejected-Finance,Did not win the lottery,26-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2865082,ASHIT KUMAR JENA,22-Mar-2025 11:22 PM,Rejected-Finance,Did not win the lottery,26-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2866181,BIBHUDATTA ROUT,24-Mar-2025 02:33 PM,Rejected-Finance,Did not win the lottery,26-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2866305,BIKASH NAYAK,24-Mar-2025 12:35 PM,Rejected-Finance,Did not win the lottery,26-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2863819,BIRANCHI NARAYAN MOHANTY,23-Mar-2025 03:04 PM,Rejected-Finance,Did not win the lottery,26-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2866785,Debabrata Sahoo,24-Mar-2025 02:13 PM,Rejected-Finance,Did not win the lottery,26-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2864157,DHARMENDRA PARIDA,21-Mar-2025 09:19 PM,Rejected-Finance,Did not win the lottery,26-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2867012,Gourahari Sahoo,24-Mar-2025 03:53 PM,Rejected-Finance,Did not win the lottery,26-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2865107,JYOTI RANJAN DAS,23-Mar-2025 07:39 AM,Rejected-Finance,Did not win the lottery,26-Jun-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
