EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"1,62,800",Yes,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,Constn. of 6 nos. F type staff quarters at Hindol Fire Station in Dhenkanal District,Building Work,Please refer Tender documents  ,NA ,"1,62,77,845",Civil Works - Buildings,NA ,Tender,90.0,365.0,Dhenkanal,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,Orissa State Police Housing and Welfare Corporation Ltd,18/OPHWC/2024-25,2025_OSPHW_111752_37,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,20-Mar-2025 06:55 PM,07-Apr-2025 10:30 AM,20-Mar-2025 06:55 PM,05-Apr-2025 05:00 PM,NA ,NA ,20-Mar-2025 06:55 PM,05-Apr-2025 05:00 PM,20-May-2025 10:30 AM,AOC,Technical,FIVE BIDDER HAVE PARTICIAPTED,Bikram Keshari Malla,15-Apr-2025 11:18 AM,,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,24-Jun-2025 12:31 PM,finsummary_533784.pdf (428.68 KB),Finance,financial bid open and comparative generated,Bikram Keshari Malla,20-May-2025 12:45 PM,,BOQ Comparative Chart,AS PER TC MINUTES,Internal,AS PER TC MINUTES,BIBHUTI BHUSHAN NAIK,19-May-2025 04:45 PM,20-May-2025 10:30 AM,techsummary_533784.pdf (363.17 KB),24-Jun-2025,"INR 13,837,795.67",365.0,Bikram Keshari Malla,24-Jun-2025 12:33 PM,WORKORDER6.pdf (546.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 12.06.2025,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_111752_37,18/OPHWC/2024-25,Constn. of 6 nos. F type staff quarters at Hindol Fire Station in Dhenkanal District,1.0,2867441.0,ANAND ENGINEERING,INR,"13,837,795.67",1,2875056,AJAYA KUMAR PATTNAIK,02-Apr-2025 09:47 PM,Rejected-Finance,DUE TO L1 BIDDER BUT LOWEST TURNOVER,24-Jun-2025 12:31 PM,AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2867441,ANAND ENGINEERING,30-Mar-2025 10:55 PM,Accepted-AOC,QULIFIED BIDDER,24-Jun-2025 12:33 PM,AOC
,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2874962,DILIP KUMAR PRADHAN,04-Apr-2025 07:32 PM,Rejected-Finance,DUE TO L3 BIDDER,24-Jun-2025 12:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2874365,M/S AKSHAYA KUMAR SAHOO,05-Apr-2025 04:51 PM,Rejected-Finance,DUE TO L2 BIDDER,24-Jun-2025 12:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2876655,SWATIKTECHNO SERVICES PVT LTD,05-Apr-2025 02:33 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m),19-May-2025 04:45 PM,AOC
