S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-PHULBANI||EERNB DIVN BALIGUDA,SE-BLG-12/2024-25,2024_EICCL_108732_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,24-Dec-2024 04:55 PM,10-Jan-2025 11:30 AM,24-Dec-2024 04:55 PM,09-Jan-2025 05:00 PM,NA ,NA ,24-Dec-2024 04:55 PM,09-Jan-2025 05:00 PM,05-Feb-2025 10:20 AM,1.0,Fee/PreQual/Technical,.pdf,GSTIN PAN LICENCE AFFIDAVIT AND ALL OTHER DOCUMENTS AS PER DTCN,SUPERITENDING ENGINEER BALLIGUDA R AND B DIVISION,SUPERITENDING ENGINEER BALLIGUDA R AND B DIVISION,"Construction of one C-Type Judicial Quarter for Senior Civil Judge, Balliguda in the District of Kandhamal for the year 2024-25. (Composite Work)","Construction of one C-Type Judicial Quarter for Senior Civil Judge, Balliguda in the District of Kandhamal for the year 2024-25. (Composite Work)",Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Rate Contract,90.0,180.0,SUPERITENDING ENGINEER BALLIGUDA R AND B DIVISION,762103.0,NA ,NA ,NA ,SUPERITENDING ENGINEER BALLIGUDA R AND B DIVISION,No ,No,"83,500",Yes,fixed,,Nil,Nil,AOC,16-Jun-2025,"INR 7,066,434",180.0,Dinesh Kumar Sahu,16-Jun-2025 11:57 AM,agreementctype.pdf (845.00 KB),The work is awarded to Jagannathdham superstructures being 14.99% less then the estimated cost.,1,2739868,AJIT MALLICK,09-Jan-2025 12:42 PM,Rejected-Finance,not winner in lottery system,16-Jun-2025 11:49 AM,Finance,opening summary,Prasanta Kumar Behera,16-Jun-2025 11:43 AM,finance_521805.pdf,BOQ Comparative Chart,DAO,Internal,DAO,Prasanta Kumar Behera,05-Feb-2025 10:12 AM,05-Feb-2025 10:20 AM,techsummary_521805.pdf (463.33 KB),DAO,Internal,DAO,Prasanta Kumar Behera,16-Jun-2025 11:49 AM,finsummary_521805.pdf (265.89 KB),EIC-CIVIL||SERNB-CIRCLE-PHULBANI||EERNB DIVN BALIGUDA,2024_EICCL_108732_2,SE-BLG-12/2024-25,"Construction of one C-Type Judicial Quarter for Senior Civil Judge, Balliguda in the District of Kandhamal for the year 2024-25. (Composite Work)",Technical,Opening Summary,Prasanta Kumar Behera,05-Feb-2025 10:02 AM,technical_521805.pdf,1.0,2731440.0,JAGANNATHDHAM SUPERSTRUCTURES,INR,"7,066,434",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Memorendum,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2740820,BHABANI SHANKAR KHATUA,09-Jan-2025 04:17 PM,Rejected-Finance,not winner in lottery system,16-Jun-2025 11:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2739990,Chanchal Mahapatra,09-Jan-2025 01:50 PM,Rejected-Finance,not winner in lottery system,16-Jun-2025 11:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2731440,JAGANNATHDHAM SUPERSTRUCTURES,07-Jan-2025 10:43 AM,Accepted-AOC,The work is awarded to Jagannathdham superstructure,16-Jun-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2730744,MANOJ KUMAR DALEI,05-Jan-2025 07:16 PM,Rejected-Finance,not winner in lottery system,16-Jun-2025 11:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
