Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,18/OPHWC/2024-25,2025_OSPHW_111752_46,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,20-Mar-2025 06:55 PM,07-Apr-2025 10:30 AM,20-Mar-2025 06:55 PM,05-Apr-2025 05:00 PM,NA ,NA ,20-Mar-2025 06:55 PM,05-Apr-2025 05:00 PM,20-May-2025 10:30 AM,"11,800",0.0,Nil,Nil,No,"Cluster of Constn. of 3 nos. F type Qtrs. and Boundarywall at Nuapada FS, Nuapada",Building Work,Please refer Tender documents  ,NA ,"1,45,08,366",Civil Works - Buildings,NA ,Tender,90.0,240.0,Nuapada,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"1,45,100",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",AOC,Finance,financial bid open and comparative generated,Bikram Keshari Malla,20-May-2025 12:26 PM,,BOQ Comparative Chart,AS PER TC MINUTES,Internal,AS PER TC MINUTES,BIBHUTI BHUSHAN NAIK,19-May-2025 05:19 PM,20-May-2025 10:30 AM,techsummary_533880.pdf (396.60 KB),Technical,FIVE BIDDER HAVE PARTICIAPTED,Bikram Keshari Malla,15-Apr-2025 12:43 PM,,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,19-Jun-2025 11:50 AM,finsummary_533880.pdf (387.18 KB),19-Jun-2025,"INR 13,058,980.16",240.0,Bikram Keshari Malla,19-Jun-2025 11:54 AM,WORKORDER9.pdf (654.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 10.06.2025,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_111752_46,18/OPHWC/2024-25,"Cluster of Constn. of 3 nos. F type Qtrs. and Boundarywall at Nuapada FS, Nuapada",1.0,2876120.0,SHASHIRAM MANGARAJ,INR,"13,058,980.16",1,2865649,BIEKANANDA GUPTA,05-Apr-2025 01:14 PM,Rejected-Technical,Non submission of adequate similar nature of works as per DTCN clause no-11 and 110(j).,19-May-2025 05:19 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other Document as per DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2865335,Pruthiraj Duria,23-Mar-2025 02:38 PM,Rejected-Technical,Non submission of adequate valid document to secure qualifying marks Schedule-C as per DTCN clause no-11 and 110(f).,19-May-2025 05:19 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2876120,SHASHIRAM MANGARAJ,05-Apr-2025 04:09 PM,Accepted-AOC,QUALIFIED BIDDER,19-Jun-2025 11:54 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2875581,SOBIKA AGRAWAL,05-Apr-2025 02:10 PM,Rejected-Finance,L1 BIDDER BUT L2 BIDDER IS SC BIDDER,19-Jun-2025 11:50 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2876393,Tanay Kumar Agrawal,05-Apr-2025 10:10 AM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,19-May-2025 05:19 PM,AOC
