S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2709604.0,SUBHADRARANI BISWAL,INR,"26,007,750.66",Orissa State Police Housing and Welfare Corporation Ltd,2024_OSPHW_108085_7,12/OPHWC/2024-25,"Cluster of Constn. of 6 nos. F type Qtrs. and 4 nos. E type Qtrs.at Mahuldiha PS Premises, Mayurbhanj.",Technical,ten bidder have partcipated,Bikram Keshari Malla,26-Dec-2024 01:21 PM,,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,BIBHUTI BHUSHAN NAIK,11-Jun-2025 11:58 AM,finsummary_519993.pdf (810.17 KB),AS PER TC MINUTES,Internal,AS PER TC MINUTES,BIBHUTI BHUSHAN NAIK,11-Mar-2025 06:56 PM,12-Mar-2025 10:30 AM,techsummary_519993.pdf (381.85 KB),Finance,FINANCIAL BID OPEN AND COMPARATIVE GENERATED,Bikram Keshari Malla,12-Mar-2025 03:35 PM,,BOQ Comparative Chart,1,2705707,Ashok Kumar Agarwalla,24-Dec-2024 01:13 PM,Rejected-Finance,DUE TO L4 BIDDER,11-Jun-2025 11:58 AM,11-Jun-2025,"INR 26,007,750.66",365.0,BIBHUTI BHUSHAN NAIK,11-Jun-2025 12:13 PM,WORKED8.pdf (1476.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 17.05.2025,AOC,"3,05,900",Yes,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,Orissa State Police Housing and Welfare Corporation Ltd,12/OPHWC/2024-25,2024_OSPHW_108085_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Cluster of Constn. of 6 nos. F type Qtrs. and 4 nos. E type Qtrs.at Mahuldiha PS Premises, Mayurbhanj.",Building Work,Please refer Tender documents  ,NA ,"3,05,93,754",Civil Works - Buildings,NA ,Tender,90.0,365.0,Mayurbhanj.,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,ICICI BANK,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,09-Dec-2024 06:55 PM,26-Dec-2024 10:30 AM,09-Dec-2024 06:55 PM,24-Dec-2024 05:00 PM,NA ,NA ,09-Dec-2024 06:55 PM,24-Dec-2024 05:00 PM,12-Mar-2025 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2707120,ASHOK KUMAR DAS,24-Dec-2024 01:40 PM,Rejected-Finance,DUE TO L3 BIDDER,11-Jun-2025 11:58 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2709710,BISWAJIT ROUT,24-Dec-2024 01:07 PM,Rejected-Finance,DUE TO L2 BIDDER,11-Jun-2025 11:58 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2709093,KAPILENDRA SAHOO,23-Dec-2024 09:14 PM,Rejected-Finance,DUE TO L5 BIDDER,11-Jun-2025 11:58 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2709867,MS DIBYANSU CONSTRUCTION PVT. LTD.,24-Dec-2024 02:13 PM,Rejected-Technical,Non submission of EMD in online mode as per DTCN Cl. No. 06,11-Mar-2025 06:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2709559,NIRAKAR SAMAL,24-Dec-2024 12:38 PM,Rejected-Finance,DUE TO L3 BIDDER,11-Jun-2025 11:58 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2709925,Rabindra Kumar Das,24-Dec-2024 02:40 PM,Rejected-Finance,DUE TO L3 BIDDER,11-Jun-2025 11:58 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2710014,SANDEEP NAYAK,24-Dec-2024 03:39 PM,Rejected-Finance,DUE TO L3 BIDDER,11-Jun-2025 11:58 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2699565,SRI PRADIP KUMAR BHUJABAL,23-Dec-2024 04:45 PM,Rejected-Finance,DUE TO L3 BIDDER,11-Jun-2025 11:58 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2709604,SUBHADRARANI BISWAL,24-Dec-2024 02:18 PM,Accepted-AOC,QUALIFIED BIDDER,11-Jun-2025 12:13 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
