Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er Pravash Kumar Majhi SE,Internal,Er Madhusmita Sahoo JE Estr Er Subhashree Subhasmita Das Mohapatra AEE Estr Mr Abadhut Das Sr DAO,Debendra Kumar Behera,03-Jan-2025 06:51 PM,techsummary_521176.pdf (532.39 KB),1,2714868,Mohapatra Cooling Systems,28-Dec-2024 03:16 PM,Rejected-AOC,Rejected,18-Jun-2025 06:54 PM,18-Jun-2025,"INR 3,366,093",60.0,Debendra Kumar Behera,18-Jun-2025 06:54 PM,2024_EICCL_108493_5A.PDF (681.00 KB),The agency has been finalised on transparent lottery system and the date of commencement may be treated as 04.03.2025 to complete the work by 03.05.2025 in all respect,Finance,3nos bids received,Pravas Kumar Majhi,30-Dec-2024 11:57 AM,,BOQ Comparative Chart,1.0,2714403.0,"RASHMI ELECTRONICS,Prop.- SHIBA PRASAD DAS",INR,"3,366,093",EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2024_EICCL_108493_5,SE CTC (RandB)-43 of 2024-25,"E.I to Bone Marrow Transplant Unit of SCBMCH, Cuttack such as SITC of 56 HP VRF Hepa Filter System for BMT Unit",Er Ashis Kumar Nayak SE,Internal,Er Madhusmita Sahoo JE Estr Er Nihar Ranjan Nayak AEE Estr Mr Abadhut Das Sr DAO,Debendra Kumar Behera,18-Jun-2025 06:51 PM,finsummary_521176.pdf (1128.64 KB),AOC,"E.I to Bone Marrow Transplant Unit of SCBMCH, Cuttack such as SITC of 56 HP VRF Hepa Filter System for BMT Unit",E.I. Work,As per DTCN ,NA ,"39,59,643",Electrical Works,NA ,Tender,90.0,60.0,Cuttack,753001.0,NA ,NA ,NA ,O/O SE Cuttack RandB Division No.I Cuttack,No ,No,SE Cuttack RandB Division No.I Cuttack,O/O SE Cuttack RandB Division No.I Cuttack,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,19-Dec-2024 04:00 PM,30-Dec-2024 11:00 AM,19-Dec-2024 04:00 PM,28-Dec-2024 05:00 PM,NA ,NA ,19-Dec-2024 04:00 PM,28-Dec-2024 05:00 PM,"39,600",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regd Certificate, GSTIN, PAN, Affidavit and other mandatory documents as per DTCN",EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-43 of 2024-25,2024_EICCL_108493_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,2,2711520,M/S SATYAM ELECTRICALS(PROP. PRADEEP KUMAR MOHANTY),27-Dec-2024 12:49 PM,Rejected-AOC,Rejected,18-Jun-2025 06:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,AOC
,,,,,,3,2714403,"RASHMI ELECTRONICS,Prop.- SHIBA PRASAD DAS",27-Dec-2024 10:10 PM,Accepted-AOC,Accepted,18-Jun-2025 06:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
