Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
12-Jun-2025,"INR 471,424",90.0,Debasish Soren,13-Jun-2025 01:17 PM,3975.pdf (322.00 KB),CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,2025_CERWI_109407_10,SERWPH-15/2024-25,"Completion of PH Works to construction of (SI, SD and WS) to Day care Sub-Centre cum HWC Building at Saleibedapur of Niali Block in cuttack District or the year 2023-24.",1.0,2779417.0,SRI PRAKASH CHANDRA ROUT,INR,"471,424",1,2775246,ASIT KUMAR MALLICK,25-Jan-2025 06:56 AM,Rejected-Finance,Not Qualified in Transparency lottery,12-Jun-2025 01:55 PM,Finance,Comparative Statement,Bindusmita Tripathy,29-Jan-2025 12:15 PM,finance_525748.pdf,BOQ Comparative Chart,Executive Engineer,Internal,,Anil Kumar Das,12-Jun-2025 01:55 PM,finsummary_525748.pdf (79.42 KB),Supeintending Engineer,Internal,"Sr. DAO, Divisional Estimator",Anil Kumar Das,10-Feb-2025 06:45 PM,techsummary_525748.pdf (294.16 KB),AOC,CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,SERWPH-15/2024-25,2025_CERWI_109407_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"5,600",Yes,fixed,,Nil,Nil,"Superintending Engineer,RW (PH) Division, BBSR","SE RW (PH) DIVISION, BBSR Behind Esplande mall, Bomikhal, Rasulgarh,751010","4,000",0.0,Nil,Nil,No,"Completion of PH Works to construction of (SI, SD and WS) to Day care Sub-Centre cum HWC Building at Saleibedapur of Niali Block in cuttack District or the year 2023-24.","Completion of PH Works to construction of (SI, SD and WS) to Day care Sub-Centre cum HWC Building at Saleibedapur of Niali Block in cuttack District or the year 2023-24.",Please refer Tender documents. ,NA ,"5,54,551",Civil Works - Buildings,NA ,Tender,90.0,NA ,Saleibedapur,754011.0,NA ,NA ,NA ,"O/O THE SE RW (PH) DIVISION,BHUBANESWAR",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License Document as per tender class of contractor in NIT, GST, Certificate, PAN Card",18-Jan-2025 11:00 AM,28-Jan-2025 11:00 AM,18-Jan-2025 11:00 AM,27-Jan-2025 05:00 PM,NA ,NA ,18-Jan-2025 11:00 AM,27-Jan-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,2,2775396,CHINMAYEE SAHOO,25-Jan-2025 07:41 AM,Rejected-Finance,Not Qualified in Transparency lottery,12-Jun-2025 01:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"EMD, Tender Paper cost, Affidavit for correctness and no Relation Certificate.",,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2778474,DEVI PRASAD MOHAPATRA,26-Jan-2025 03:02 PM,Rejected-Finance,Not Qualified in Transparency lottery,12-Jun-2025 01:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2779841,LITALI PARIDA,27-Jan-2025 11:01 AM,Rejected-Finance,Not Qualified in Transparency lottery,12-Jun-2025 01:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2776736,PRAMOD KUMAR NAYAK,27-Jan-2025 12:14 PM,Rejected-Finance,Not Qualified in Transparency lottery,12-Jun-2025 01:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2777840,RUNNER INFRASTRUCTURE,26-Jan-2025 09:34 AM,Rejected-Finance,Not Qualified in Transparency lottery,12-Jun-2025 01:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2778997,SANGYA SAGARIKA PATRA,26-Jan-2025 08:19 PM,Rejected-Finance,Not Qualified in Transparency lottery,12-Jun-2025 01:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2777005,SOMANATH SAHOO,27-Jan-2025 02:38 PM,Rejected-Finance,Not Qualified in Transparency lottery,12-Jun-2025 01:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2779417,SRI PRAKASH CHANDRA ROUT,27-Jan-2025 03:09 PM,Accepted-AOC,Qualified in Transparency lottery,13-Jun-2025 01:17 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2775455,SUSANTA KUMAR SETHA,25-Jan-2025 09:04 AM,Rejected-Finance,Not Qualified in Transparency lottery,12-Jun-2025 01:55 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
