Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Executive Engineer (Central Tender Cell),"UG floor,Central Tender Cell,BMC, ICOMC Tower",09-Jan-2025 04:00 PM,21-Jan-2025 11:30 AM,09-Jan-2025 04:00 PM,20-Jan-2025 05:00 PM,09-Jan-2025 04:00 PM ,13-Jan-2025 10:30 AM ,09-Jan-2025 04:00 PM,20-Jan-2025 05:00 PM,Re-Construction of Community Centre at Ganganagar Palli in Word No-52,Re-Construction of Community Centre at Ganganagar Palli in Word No-52,Please refer Tender documents. ,NA ,"18,49,699",Civil Works - Others,NA ,Tender,120.0,90.0,BMC Area,751022.0,"UG floor,Central Tender Cell,BMC, ICOMC Tower ","UG floor,Central Tender Cell,BMC, ICOMC Tower ",13-Jan-2025 04:30 PM ,"Central Tender Cell,BMC",No ,No,1,ICICI BANK,"18,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-54/2024-25 Dt. 04.01.2025,2025_ORULB_109096_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,03-Jun-2025 12:32 PM,finsummary_523987.pdf (1074.01 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_109096_3,BMC-EE-Tender Cell-54/2024-25 Dt. 04.01.2025,Re-Construction of Community Centre at Ganganagar Palli in Word No-52,1.0,2766405.0,BABULA MAJHI,INR,"2,247,870",Finance,2 bids opened successfully,Lipsa Parida,21-Jan-2025 12:13 PM,finance_523987.pdf,BOQ Comparative Chart,1,2766405,BABULA MAJHI,20-Jan-2025 02:52 PM,Accepted-AOC,L1 bidder,03-Jun-2025 12:35 PM,03-Jun-2025,"INR 2,247,870",90.0,Lipsa Parida,03-Jun-2025 12:35 PM,Workorder_54_3.pdf (464.00 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,03-Jun-2025 12:27 PM,techsummary_523987.pdf (1074.01 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2766459,BIDYA RANJAN PANDA,20-Jan-2025 03:01 PM,Rejected-Finance,Rejected,03-Jun-2025 12:32 PM,,,,,,,,,,,,,AOC
