Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Phulbani Municipality,EO-PLBM-1-2024-25,2024_ORULB_108212_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Bid,13-Dec-2024 11:00 AM,23-Dec-2024 11:00 AM,13-Dec-2024 11:00 AM,21-Dec-2024 05:00 PM,NA ,NA ,13-Dec-2024 11:00 AM,21-Dec-2024 05:00 PM,"ExecutiveOfficer, Phulbani Municipality",Phulbani Municipality,"4,000",0.0,Nil,Nil,No,1,ICICI BANK,"8,900",Yes,fixed,,Nil,Nil,"CONSTRUCTION OF ROAD, DRAIN AND COVER SLAB FROM JANMEJAYA MALLIK HOUSE TO JHULANA MISHRA HOUSE WARD NO-12 OF PHULBANI MUNICIPALITY.","CONSTRUCTION OF ROAD, DRAIN AND COVER SLAB FROM JANMEJAYA MALLIK HOUSE TO JHULANA MISHRA HOUSE WARD NO-12 OF PHULBANI MUNICIPALITY.",Please refer Tender documents. ,NA ,"8,93,000",Civil Works - Others,NA ,Tender,120.0,30.0,Phulbani Municipality,762001.0,NA ,NA ,NA ,Phulbani Municipality,No ,No,AOC,"Tender Committee, Phulbani Municipality",Internal,,Nirmala Sahoo,04-Jun-2025 11:56 AM,finsummary_520323.pdf (629.37 KB),"Tender Committee, Phulbani Municipality",Internal,,Nirmala Sahoo,04-Jun-2025 11:50 AM,techsummary_520323.pdf (629.37 KB),Municipal Bodies||Phulbani Municipality,2024_ORULB_108212_11,EO-PLBM-1-2024-25,"CONSTRUCTION OF ROAD, DRAIN AND COVER SLAB FROM JANMEJAYA MALLIK HOUSE TO JHULANA MISHRA HOUSE WARD NO-12 OF PHULBANI MUNICIPALITY.",1.0,2705698.0,SAMEER KUMAR MAHAKUD,INR,"757,037.534",1,2705698,SAMEER KUMAR MAHAKUD,21-Dec-2024 01:01 PM,Accepted-AOC,L1,04-Jun-2025 01:02 PM,04-Jun-2025,"INR 757,037.534",30.0,Sujit Kumar Choudhury,04-Jun-2025 01:02 PM,649.pdf (629.00 KB),Finance,Fees towards tender paper and EMD has been paid successfully by the bidders. Hence primarily admitted for further evaluation.,Nirmala Sahoo,27-Dec-2024 01:53 PM,finance_520323.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,.xls,Financial Bid,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2705534,SWADESHI BEHERA,21-Dec-2024 01:07 PM,Rejected-Finance,L2,04-Jun-2025 11:56 AM,,,,,,,,,,,,,AOC
