S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,Municipal Bodies||Redhakhol NAC,RDL NAC-1/2025-26,2025_ORULB_112355_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, NAC, Redhakhol","Executive Officer, NAC, Redhakhol",Const of paver road at Samukanagar in ward No 09,Const of paver road at Samukanagar in ward No 09,Please refer Tender documents. ,NA ,"2,53,643",Civil Works - Roads,NA ,Tender,90.0,30.0,Rairakhol,768106.0,NA ,NA ,NA ,"NAC, Redhakhol",No ,No,"2,000",0.0,Nil,Nil,No,"2,536",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,10-Apr-2025 10:00 AM,25-Apr-2025 09:00 AM,10-Apr-2025 10:00 AM,24-Apr-2025 05:00 PM,NA ,NA ,10-Apr-2025 10:00 AM,24-Apr-2025 05:00 PM,AOC,Sibaram Sahoo,Internal,"Chairperson, Executive officer, Municipal Engineer, Junior Engineer",Sanjeeb Toppo,28-May-2025 11:22 AM,finsummary_535854.pdf (2009.96 KB),Sibaram Sahoo,Internal,"Chairperson, Executive Officer, Municipal Engineer, Junior Engineer",Biranchi Dharua,17-May-2025 01:19 PM,techsummary_535854.pdf (583.00 KB),17-Jun-2025,"INR 298,999",30.0,Sanjeeb Toppo,18-Jun-2025 10:43 AM,1302.pdf (672.00 KB),Municipal Bodies||Redhakhol NAC,2025_ORULB_112355_23,RDL NAC-1/2025-26,Const of paver road at Samukanagar in ward No 09,1.0,2893271.0,NIRUPAMA HOTA,INR,"298,999",1,2891827,BIJAY PRADHAN,22-Apr-2025 04:51 PM,Rejected-Finance,As per Lottery,28-May-2025 11:22 AM,Finance,18 bidder participated and accepted for Technical Evaluation,Biranchi Dharua,13-May-2025 01:51 PM,,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2892156,Birendra Kumar Sahoo,23-Apr-2025 06:12 AM,Rejected-Finance,As per Lottery,28-May-2025 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2892443,BISWARANJAN PRADHAN,23-Apr-2025 12:22 PM,Rejected-Finance,As per Lottery,28-May-2025 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2893106,DUKHIRAM SAHU,23-Apr-2025 09:33 PM,Rejected-Finance,As per Lottery,28-May-2025 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2893011,KAMALINI PRADHAN,23-Apr-2025 08:16 PM,Rejected-Finance,As per Lottery,28-May-2025 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2893194,Lilabati Meher,24-Apr-2025 12:24 AM,Rejected-Finance,As per Lottery,28-May-2025 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2893031,lilima biswal,23-Apr-2025 08:33 PM,Rejected-Finance,As per Lottery,28-May-2025 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2893216,Narendra Kumar Sahoo,24-Apr-2025 07:10 AM,Rejected-Finance,As per Lottery,28-May-2025 11:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2893271,NIRUPAMA HOTA,24-Apr-2025 03:51 PM,Accepted-AOC,L1,18-Jun-2025 10:43 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2892182,SANJAYA SAHOO,23-Apr-2025 08:17 AM,Rejected-Finance,As per Lottery,28-May-2025 11:22 AM,,,,,,,AOC
