Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Brahmapur Municipal Corporation,BeMC (BAM)/ 298/ 2024-2025,2024_ORULB_105443_345,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,09-Oct-2024 03:00 PM,25-Oct-2024 11:30 AM,09-Oct-2024 03:00 PM,24-Oct-2024 05:00 PM,09-Oct-2024 03:00 PM ,15-Oct-2024 02:00 PM ,09-Oct-2024 03:00 PM,24-Oct-2024 05:00 PM,1,ICICI BANK,"29,814",Yes,fixed,,Nil,Nil,"Commissioner,","Berhampur Municipal Corporation, Berhampur",Improvement of BT Road at Jaya Prakash Nagar in W NO-41,Improvement of BT Road at Jaya Prakash Nagar in W NO-41,Please refer tender documents ,NA ,"29,81,360",Civil Works - Others,NA ,Tender,120.0,120.0,"Berhampur Municipal Corporation, Berhampur",760002.0,NA ,NA ,NA ,Berhampur Municipal Corporation,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, AFFIDAVIT, BID COST, EMD AND REGISTRATION ETC AS PER DTCN","7,080",0.0,Nil,Nil,No,AOC,Municipal Bodies||Brahmapur Municipal Corporation,2024_ORULB_105443_345,BeMC (BAM)/ 298/ 2024-2025,Improvement of BT Road at Jaya Prakash Nagar in W NO-41,1,2587390,Krushna Chandra Swain,23-Oct-2024 07:10 AM,Accepted-AOC,Accepted,17-Jun-2025 12:31 PM,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Susanta Dung Dung,17-Jun-2025 12:28 PM,finsummary_509124.pdf (465.00 KB),1.0,2587390.0,Krushna Chandra Swain,INR,"3,070,800",17-Jun-2025,"INR 2,981,359.21",120.0,Susanta Dung Dung,17-Jun-2025 12:31 PM,298_345_1.pdf (388.00 KB),As per estimated rate,Finance,Admitted,Sanjukta Kumari Raipatro,30-Oct-2024 04:29 PM,finance_509124.pdf,BOQ Comparative Chart,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Susanta Dung Dung,17-Jun-2025 12:24 PM,techsummary_509124.pdf (516.13 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,AOC,,,,,2,2587423,Susanta Kumar Mahapatra,23-Oct-2024 10:07 AM,Rejected-Finance,Rejected,17-Jun-2025 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
