Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
S/R to B.T. Road from HDFC Bank to Saniwarampeta School in Ward No-08,S/R to B.T. Road from HDFC Bank to Saniwarampeta School in Ward No-08,Please refer tender documents ,NA ,"20,75,512",Civil Works - Others,NA ,Tender,120.0,120.0,"Berhampur Municipal Corporation, Berhampur",760002.0,NA ,NA ,NA ,Berhampur Municipal Corporation,No ,No,09-Oct-2024 03:00 PM,25-Oct-2024 11:30 AM,09-Oct-2024 03:00 PM,24-Oct-2024 05:00 PM,09-Oct-2024 03:00 PM ,15-Oct-2024 02:00 PM ,09-Oct-2024 03:00 PM,24-Oct-2024 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, AFFIDAVIT, BID COST, EMD AND REGISTRATION ETC AS PER DTCN","Commissioner,","Berhampur Municipal Corporation, Berhampur","7,080",0.0,Nil,Nil,No,1.0,ICICI BANK,Municipal Bodies||Brahmapur Municipal Corporation,BeMC (BAM)/ 298/ 2024-2025,2024_ORULB_105443_66,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"20,755",Yes,fixed,,Nil,Nil,AOC,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Susanta Dung Dung,30-Jun-2025 04:55 PM,techsummary_508644.pdf (477.87 KB),Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Susanta Dung Dung,30-Jun-2025 04:58 PM,finsummary_508644.pdf (482.24 KB),Finance,Admitted,Sanjukta Kumari Raipatro,26-Oct-2024 01:36 PM,finance_508644.pdf,BOQ Comparative Chart,30-Jun-2025,"INR 2,075,444.08",120.0,Susanta Dung Dung,30-Jun-2025 05:03 PM,298_66_1.pdf (447.00 KB),As per estimated rate,Municipal Bodies||Brahmapur Municipal Corporation,2024_ORULB_105443_66,BeMC (BAM)/ 298/ 2024-2025,S/R to B.T. Road from HDFC Bank to Saniwarampeta School in Ward No-08,1.0,2588729.0,UDAYA KUMAR BEHERA,INR,"2,116,952",1,2584391,"M/s LEVEL UP ELECTRICAL SERVICES, PROP-ANDANA ASHISH KUMAR PATRO",24-Oct-2024 10:30 AM,Rejected-Finance,Rejected,30-Jun-2025 04:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2584747,SAROJ KUMAR SAHU,19-Oct-2024 07:06 PM,Rejected-Finance,Rejected,30-Jun-2025 04:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2588729,UDAYA KUMAR BEHERA,22-Oct-2024 10:45 AM,Accepted-AOC,Accepted,30-Jun-2025 05:03 PM,AOC
