Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
S/R to Boinda - Athamallik - Kiakata road from 31.0km to 40.0km such as renewal coat of SDBC for the year 2024-25.,S/R to Boinda - Athamallik - Kiakata road from 31.0km to 40.0km such as renewal coat of SDBC for the year 2024-25.,Please refer Tender documents. ,NA ,"41,55,739",Civil Works - Roads,NA ,Tender,90.0,30.0,ANGUL,759122.0,NA ,NA ,NA ,O/O the Superintending Engineer Angul RB Division,No ,No,"41,600",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid Cost and EMD online, GSTIN, PAN, RC, Affidavit, and Other documents as per DTCN.",15-Feb-2025 10:00 AM,25-Feb-2025 11:00 AM,15-Feb-2025 10:00 AM,24-Feb-2025 05:00 PM,NA ,NA ,15-Feb-2025 10:00 AM,24-Feb-2025 05:00 PM,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,SE (R and B) Angul-42/ 2024-25,2025_EICCL_110706_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Superintending Engineer Angul R and B Division,O/O the Superintending Engineer Angul RB Division,"6,000",0.0,Nil,Nil,No,AOC,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,2025_EICCL_110706_7,SE (R and B) Angul-42/ 2024-25,S/R to Boinda - Athamallik - Kiakata road from 31.0km to 40.0km such as renewal coat of SDBC for the year 2024-25.,PK HARIPAL SE,Internal,K BEHERA Sr. DAO SK NAYAK ESTIMATOR,Pratap Kumar Haripal,03-Jun-2025 11:38 AM,finsummary_530286.pdf (1002.57 KB),Finance,The validity of the tender is subject to the result of detail scrutiny of documents submitted by the bidder online.,Shasmita Parida,06-Mar-2025 12:29 PM,finance_530286.pdf,BOQ Comparative Chart,1.0,2833141.0,BINAYAKA SAHOO,INR,"3,532,794",03-Jun-2025,"INR 3,532,794",30.0,Pratap Kumar Haripal,03-Jun-2025 11:44 AM,WO.pdf (78.00 KB),Agreement No. 1221 P1 of 2024-25 (Contract value excluding GST) Date of Commencement- 11.03.2025 Date of Completion- 10.04.2025,1,2834705,ANIL BEHERA,24-Feb-2025 12:28 PM,Rejected-AOC,Lottery looser,03-Jun-2025 11:44 AM,PK HARIPAL SE,Internal,K BEHERA Sr. DAO SK NAYAK ESTIMATOR,Pratap Kumar Haripal,03-Jun-2025 11:29 AM,techsummary_530286.pdf (938.70 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2835244,ASHOK PANIGRAHI,24-Feb-2025 02:24 PM,Rejected-AOC,Lottery looser,03-Jun-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2835213,ASIM AMITABH MISHRA,24-Feb-2025 02:45 PM,Rejected-AOC,Lottery looser,03-Jun-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2833141,BINAYAKA SAHOO,23-Feb-2025 06:21 PM,Accepted-AOC,Lottery winner,03-Jun-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2830921,CHITTA RANJAN GARNAYAK,22-Feb-2025 07:34 PM,Rejected-AOC,Lottery looser,03-Jun-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2833181,DEBASHIS RAUL,23-Feb-2025 06:48 PM,Rejected-AOC,Lottery looser,03-Jun-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2835965,RAMA CHANDRA TANDIA,24-Feb-2025 04:44 PM,Rejected-AOC,Lottery looser,03-Jun-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2834931,RUTUKANTA PATRA,24-Feb-2025 01:45 PM,Rejected-AOC,Lottery looser,03-Jun-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2834272,SANOJ NAIK,24-Feb-2025 10:26 AM,Rejected-AOC,Lottery looser,03-Jun-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2833576,S T CONSTRUCTION PROPRITOR SRI SHANKAR PRASAD AGARWALLA,23-Feb-2025 10:07 PM,Rejected-AOC,Lottery looser,03-Jun-2025 11:44 AM,,,,,,,AOC
