S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Stage
1.0,2757714.0,Abani Ranjan Panigrahi,INR,"207,647.27",Finance,Tender Open,Amit Prasan Kiro,03-Jun-2025 11:56 AM,finance_524542.pdf,BOQ Comparative Chart,Amit Prasan Kiro,Internal,"SE,DAO,Estimator",Amit Prasan Kiro,03-Jun-2025 12:14 PM,finsummary_524542.pdf (284.71 KB),CE RW I||RWCIRCLE-SUNABEDA||RW Division Gunupur,2025_CERWI_109206_9,SERWGNP-Online-04/2024-25,Repair and Maintenance of E type Qtr at R.W Section-II Padmapur in the district of Rayagada for the year 2024-25.,Amit Prasan Kiro,Internal,"SE,DAO,Estimator",Amit Prasan Kiro,03-Jun-2025 12:03 PM,techsummary_524542.pdf (284.71 KB),03-Jun-2025,"INR 207,647.27",30.0,Amit Prasan Kiro,03-Jun-2025 12:22 PM,Agreement.PDF (101.00 KB),The qualified bidder selected through transparent lottery system.,1,2757714,Abani Ranjan Panigrahi,16-Jan-2025 11:52 PM,Accepted-AOC,Lottery Winner,03-Jun-2025 12:22 PM,AOC,"2,443",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, PAN CARD, LICENCE, AFFIDAVIT","2,000",0.0,Nil,Nil,No,Repair and Maintenance of E type Qtr at R.W Section-II Padmapur in the district of Rayagada for the year 2024-25.,Repair and Maintenance of E type Qtr at R.W Section-II Padmapur in the district of Rayagada for the year 2024-25.,NA ,NA ,"2,44,262",Civil Works - Buildings,NA ,Tender,90.0,30.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o Superintending Engineer, R.W. Division,Gunupur",No ,No,08-Jan-2025 10:00 AM,18-Jan-2025 11:00 AM,08-Jan-2025 10:00 AM,17-Jan-2025 05:00 PM,NA ,NA ,08-Jan-2025 10:00 AM,17-Jan-2025 05:00 PM,CE RW I||RWCIRCLE-SUNABEDA||RW Division Gunupur,SERWGNP-Online-04/2024-25,2025_CERWI_109206_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Superintending Engineer, R.W. Division,Gunupur","O/o Superintending Engineer, R.W. Division,Gunupur",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2759668,ALLAPA BISWESWARA RAO,17-Jan-2025 02:53 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 12:22 PM,AOC,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2755023,GOPAL KRUSHNA PANDA,17-Jan-2025 11:06 AM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 12:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2754730,Gopal Krushna Satapathy,17-Jan-2025 02:10 AM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 12:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2744995,JAGADISH PANDA,12-Jan-2025 08:08 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 12:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2757879,JAYADEBA PANIGRAHY,17-Jan-2025 02:02 AM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 12:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2757215,NIRUPAMA TULO,17-Jan-2025 09:41 AM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 12:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2757209,PRASANT KUMAR MISHRA,16-Jan-2025 09:05 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 12:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2759162,PRIYANKA PANDA,17-Jan-2025 02:10 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 12:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2756830,RAMA CHANDRA PANDA,17-Jan-2025 12:04 AM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 12:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
