Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_112149_39,01/OPHWC/2025-26,Constn. of 3 nos. F type staff quarters at Junagarh Fire Station in Kalahandi District,1.0,2883158.0,sukanta sethi,INR,"9,673,485.89",1.0,2888687.0,SHASHIRAM MANGARAJ,19-Apr-2025 02:07 PM,Rejected-Finance,DUE TO L2 BIDDER,25-Jun-2025 06:11 PM,25-Jun-2025,"INR 9,673,485.89",240.0,Bikram Keshari Malla,25-Jun-2025 06:13 PM,WORKORDERR.pdf (538.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 23.06.2025,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,25-Jun-2025 06:11 PM,finsummary_535357.pdf (386.70 KB),Technical,two bidder have particiapted,Bikram Keshari Malla,25-Apr-2025 11:06 AM,,AS PER TC MINUTES,Internal,AS PER TC MINUTES,BIBHUTI BHUSHAN NAIK,06-Jun-2025 07:00 PM,09-Jun-2025 10:30 AM,techsummary_535357.pdf (351.40 KB),Finance,FINANCIAL BID OPENED,Bikram Keshari Malla,09-Jun-2025 12:04 PM,,BOQ Comparative Chart,AOC,Constn. of 3 nos. F type staff quarters at Junagarh Fire Station in Kalahandi District,Building Work,Please refer Tender documents  ,NA ,"1,07,47,124",Civil Works - Buildings,NA ,Tender,90.0,240.0,Kalahandi,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,Orissa State Police Housing and Welfare Corporation Ltd,01/OPHWC/2025-26,2025_OSPHW_112149_39,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,05-Apr-2025 06:55 PM,21-Apr-2025 10:30 AM,05-Apr-2025 06:55 PM,19-Apr-2025 05:00 PM,NA ,NA ,05-Apr-2025 06:55 PM,19-Apr-2025 05:00 PM,09-Jun-2025 10:30 AM,"1,07,500",Yes,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",1.0,ICICI BANK,AOC
,,,,,,,,,2.0,2883158.0,sukanta sethi,19-Apr-2025 01:38 PM,Accepted-AOC,QUALIFIED BIDDER,25-Jun-2025 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,AOC
