Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit","49,45,000",Yes,fixed,,Nil,Nil,03-Oct-2024 06:55 PM,14-Nov-2024 11:30 AM,03-Oct-2024 06:55 PM,13-Nov-2024 05:30 PM,NA ,NA ,03-Oct-2024 06:55 PM,13-Nov-2024 05:30 PM,04-Feb-2025 11:30 AM,"10,000",0.0,Nil,Nil,No,Improvement such as widening and strengthening of NH-49 Thianal Chowk to Marha via Saruali road from 0/000 km to 18/750 km in the district of Deogarh under State Plan,Improvement such as widening and strengthening of NH-49 Thianal Chowk to Marha via Saruali road from 0/000 km to 18/750 km in the district of Deogarh under State Plan,Please refer Tender documents. ,NA ,"49,45,21,002",Civil Works - Roads,NA ,Tender,90.0,570.0,Deogarh Division,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,"Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar.",1.0,3rd Corrigendum,Date,,EIC-CIVIL,CE-ROADS-II-05/2024-25,2024_EICCL_105391_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,CE Roads-II Odisha,Internal,,Pradipta Kumar Nayak,08-Apr-2025 03:57 PM,finsummary_508364.pdf (281.49 KB),Technical,Opening,Lipsa Mallick,14-Nov-2024 02:39 PM,,EIC-CIVIL,2024_EICCL_105391_5,CE-ROADS-II-05/2024-25,Improvement such as widening and strengthening of NH-49 Thianal Chowk to Marha via Saruali road from 0/000 km to 18/750 km in the district of Deogarh under State Plan,1.0,2585489.0,SHANTI CONSTRUCTION SAMBALPUR PVT. LTD.,INR,"420,392,304",13-Jun-2025,"INR 420,392,304",570.0,Pradipta Kumar Nayak,18-Jun-2025 06:30 PM,AOCThianalMarhaShantiConstruction.pdf (666.00 KB),58P1 of 2025-26,1,2584408,Ashirbad Eng & Construction Private Limited,28-Oct-2024 11:19 AM,Rejected-Finance,Other than L1 and L2 bidder,08-Apr-2025 03:57 PM,Finance,Finance opening,Pradipta Kumar Nayak,04-Feb-2025 12:01 PM,,BOQ Comparative Chart,EIC Civil Cum Roads,Internal,,Pradipta Kumar Nayak,30-Jan-2025 08:04 PM,04-Feb-2025 11:30 AM,techsummary_508364.pdf (460.90 KB),AOC
,,.pdf,Machineries and work experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2585294,BAJI BEHERA,20-Oct-2024 12:12 PM,Rejected-Technical,Disqualified,30-Jan-2025 08:04 PM,,,,,,,,,,,,,,AOC
,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2583150,BKD INFRASTRUCTURE PRIVATE LIMITED,28-Oct-2024 04:35 PM,Rejected-Finance,Other than L1 and L2 bidder,08-Apr-2025 03:57 PM,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2643166,BMS PROJECTS,13-Nov-2024 12:27 PM,Rejected-Technical,Disqualified,30-Jan-2025 08:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2643470,JKA ASSOCIATES PVT LTD,13-Nov-2024 09:48 AM,Rejected-AOC,L1 bidder,18-Jun-2025 06:30 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2641335,KVR Construction Heights Pvt Ltd,12-Nov-2024 04:32 PM,Rejected-Finance,Other than L1 and L2 bidder,08-Apr-2025 03:57 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2584673,MAA SANTOSHI ENTERPRISES,21-Oct-2024 12:41 PM,Rejected-AOC,L1 bidder,18-Jun-2025 06:30 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2581868,MACKINTOSH BURN LIMITED,29-Oct-2024 06:49 PM,Rejected-AOC,L1 bidder,18-Jun-2025 06:30 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2584325,M/s. fortune group,21-Oct-2024 12:56 PM,Rejected-AOC,L2 bidder,18-Jun-2025 06:30 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2586364,M/s G. C. Bhutia,26-Oct-2024 08:36 AM,Rejected-Finance,Other than L1 and L2 bidder,08-Apr-2025 03:57 PM,,,,,,,,,,,,,,AOC
