Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Chief Construction Engineer,"Southern Circle (RandB), Courtpeta, Berhampur, Ganjam, 760004",Improvement such as widening and strengthening of Baramunduli to Karadakana Road from 0/000 to 4/080 Km in the district of Ganjam under NABARD Assistance for the year 2024-25,Road work,Please refer Tender documents. ,NA ,"7,86,44,840",Civil Works - Roads,NA ,Tender,90.0,180.0,"Baramunduli Karadakana, Ganjam",761106.0,NA ,NA ,NA ,"O/o the CCE, Southern Circle (RandB), Berhampur",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Proof of Tender cost and EMD, Registration Certificate, PAN, GSTIN, Affidavit",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR,"CCE, SC-(RandB)-BAM-13/2024-25",2025_EICCL_109312_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,10-Jan-2025 06:55 PM,27-Jan-2025 11:30 AM,10-Jan-2025 06:55 PM,24-Jan-2025 05:30 PM,10-Jan-2025 06:55 PM ,23-Jan-2025 05:00 PM ,10-Jan-2025 06:55 PM,24-Jan-2025 05:30 PM,28-Feb-2025 05:10 PM,"7,86,500",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC,1,2773929,Abani Kumar Dash,24-Jan-2025 12:17 PM,Rejected-AOC,Unsuccess in Lottery,26-Jun-2025 06:00 PM,26-Jun-2025,"INR 66,855,979",180.0,Nihar Ranjan Behera,26-Jun-2025 06:00 PM,AOC_Baramunduli.pdf (2122.00 KB),"Sri Mantu Kumar Pattnaik, 1st Lowest through lottery",Finance,14 Not BOQ received which is under Scrutiny,P Sandhyarani,28-Feb-2025 09:24 PM,finance_525281.pdf,BOQ Comparative Chart,Chief Construction Engineer,Internal,"EE, O/o CCE SC RandB, Berhampur, SE and Sr.DAO, Ganjam RandB Division No.I, Berhampur, AE (Estr), O/o the CCE SC RandB, Berhampur",Nihar Ranjan Behera,25-Feb-2025 06:56 PM,28-Feb-2025 05:10 PM,techsummary_525281.pdf (255.57 KB),Chief Engineer,Internal,"EE, O/o the CCE SC RandB, Berhampur, SE and Sr.DAO, Ganjam RandB Division No.I, Berhampur, AE, estr, OO/o the CCE SC RandB, Berhampur",Nihar Ranjan Behera,26-Jun-2025 05:28 PM,finsummary_525281.pdf (412.43 KB),EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR,2025_EICCL_109312_2,"CCE, SC-(RandB)-BAM-13/2024-25",Improvement such as widening and strengthening of Baramunduli to Karadakana Road from 0/000 to 4/080 Km in the district of Ganjam under NABARD Assistance for the year 2024-25,Technical,"Fourteen Nos bidder participated in this tender, received scan copy of documents which are under scrutiny.",P Sandhyarani,27-Jan-2025 04:29 PM,technical_525281.pdf,1.0,2773899.0,MANTU KUMAR PATTNAYAK,INR,"66,855,979",AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"Proof of ownership of machineries, lease deed, other documents and forms as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,2773922,B Manoj Kumar Rao,24-Jan-2025 10:21 AM,Rejected-AOC,Unsuccess in Lottery,26-Jun-2025 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2774693,G.Gopal Rao Dora,24-Jan-2025 02:47 PM,Rejected-AOC,Unsuccess in Lottery,26-Jun-2025 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2766045,KAPILASH INFRASOL PROJECTS PRIVATE LIMITED,24-Jan-2025 03:51 PM,Rejected-AOC,Unsuccess in Lottery,26-Jun-2025 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2773899,MANTU KUMAR PATTNAYAK,24-Jan-2025 10:06 AM,Accepted-AOC,Success in Lottery,26-Jun-2025 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2769651,Mrutyunjaya Panda,22-Jan-2025 06:08 PM,Rejected-AOC,Unsuccess in Lottery,26-Jun-2025 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2775056,M/s GHANASHYAM CONSTRUCTIONS,24-Jan-2025 04:56 PM,Rejected-AOC,L3 quoted 9.99,26-Jun-2025 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2774146,M/S PANIGRAHI CONSTRUCTION,24-Jan-2025 12:08 PM,Rejected-AOC,Unsuccess in Lottery,26-Jun-2025 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2775048,NARASINGH PATRA,24-Jan-2025 04:41 PM,Rejected-AOC,Unsuccess in Lottery,26-Jun-2025 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2772933,PITABAS SAMANTRA,23-Jan-2025 09:17 PM,Rejected-AOC,Unsuccess in Lottery,26-Jun-2025 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
