Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Finance,Lottery to be conducted for finalization of Bidder as equal lowest bids have been recieved.,ANSHU KUMAR,17-Jun-2025 10:26 AM,,BOQ Comparative Chart,1.0,2720125.0,CHERU MAHANANDA,INR,"1,997,250",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Bargarh||RAJBORASAMBAR Block,2024_PRBRJ_108329_1,04/2024-25,CONSTRUCTION OF GPLF BUILDING AT BARIHAPALI NEAR GP OFFICE UNDER BARIHAPALI GP OF RAJBORASAMBAR BLOCK,"BDO , Rajborasambar",Internal,"BDO , AEE , BFO , SO , CP , JRA/SRA , AE/JE",ANSHU KUMAR,17-Jun-2025 11:10 AM,finsummary_520652.pdf (430.66 KB),"BDO , Rajborasambar",Internal,"BDO , AEE , BFO , SO , AE/JE , CP , JRA/SRA",ANSHU KUMAR,17-Jun-2025 10:38 AM,techsummary_520652.pdf (430.66 KB),1,2720125,CHERU MAHANANDA,04-Jan-2025 11:28 AM,Accepted-AOC,Selected through Lottery and work awarded at the lowest Tendered rate. (SC/ST Contractor),17-Jun-2025 11:38 AM,18-Jun-2025,"INR 2,349,429.614",180.0,ANSHU KUMAR,17-Jun-2025 11:37 AM,BarihapaliGPLFAgmnt.pdf (546.00 KB),Sri. Cheru Mahananda selected through Lottery Process and awarded the work.,AOC,1.0,ICICI BANK,16-Dec-2024 11:00 AM,06-Jan-2025 11:00 AM,16-Dec-2024 11:00 AM,05-Jan-2025 05:00 PM,16-Dec-2024 11:00 AM ,03-Jan-2025 05:00 PM ,16-Dec-2024 11:00 AM,05-Jan-2025 05:00 PM,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,TCN,CONSTRUCTION OF GPLF BUILDING AT BARIHAPALI NEAR GP OFFICE UNDER BARIHAPALI GP OF RAJBORASAMBAR BLOCK,CIVIL WORKS,Please refer Tender documents. ,NA ,"23,49,430",Civil Works - Buildings,NA ,Tender,90.0,180.0,BARIHAPALI GP UNDER RAJBORASAMBAR BLOCK,768036.0,NA ,NA ,NA ,BLOCK OFFICE RAJBORASAMBAR,No ,No,"23,500",Yes,fixed,,Nil,Nil,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Bargarh||RAJBORASAMBAR Block,04/2024-25,2024_PRBRJ_108329_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,BDO RAJBORASAMBAR,BLOCK OFFICE RAJBORASAMBAR,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2728325,INDRAMANI SAHU,04-Jan-2025 01:27 PM,Rejected-AOC,Rejected in Lottery,17-Jun-2025 11:38 AM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2718366,KAMALA KANTA MAHALA,31-Dec-2024 11:34 AM,Rejected-Finance,Eliminated from Lottery process.,17-Jun-2025 11:10 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2729791,LOKANATH BARIK,04-Jan-2025 10:14 PM,Rejected-AOC,Rejected in Lottery,17-Jun-2025 11:38 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2728776,MANORANJAN PUROHIT,04-Jan-2025 02:49 PM,Rejected-AOC,Rejected in Lottery,17-Jun-2025 11:38 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2728444,PRASANNA SAHU,04-Jan-2025 01:46 PM,Rejected-AOC,Rejected in Lottery,17-Jun-2025 11:38 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2729453,SHANKAR MEHER(S.T),04-Jan-2025 06:50 PM,Rejected-AOC,Rejected in Lottery,17-Jun-2025 11:38 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
