EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,46,900",Yes,fixed,,Nil,Nil,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","11,800",0.0,Nil,Nil,No,20-Mar-2025 06:55 PM,07-Apr-2025 10:30 AM,20-Mar-2025 06:55 PM,05-Apr-2025 05:00 PM,NA ,NA ,20-Mar-2025 06:55 PM,05-Apr-2025 05:00 PM,09-May-2025 10:30 AM,1.0,ICICI BANK,Orissa State Police Housing and Welfare Corporation Ltd,18/OPHWC/2024-25,2025_OSPHW_111752_21,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Constn. of 8 nos. F type staff quarters at Titlagarh Fire Station in Bolangir District,Building Work,Please refer Tender documents  ,NA ,"2,46,90,971",Civil Works - Buildings,NA ,Tender,90.0,300.0,Bolangir,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,AOC,as per as acceptance letter,Internal,as per as acceptance letter,BIBHUTI BHUSHAN NAIK,09-Jun-2025 12:51 PM,finsummary_533757.pdf (399.97 KB),Technical,three bidder have participated,Bikram Keshari Malla,09-Apr-2025 11:36 AM,,AS PER TC MINUTES,Internal,AS PER TC MINUTES,BIBHUTI BHUSHAN NAIK,08-May-2025 04:58 PM,09-May-2025 10:30 AM,techsummary_533757.pdf (327.35 KB),Finance,FINANCIAL BID OPEN AND COMPARATIVE GENERATED,Bikram Keshari Malla,09-May-2025 11:50 AM,,BOQ Comparative Chart,1,2876237,ABHIMANYU NAIK,05-Apr-2025 03:17 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,08-May-2025 04:58 PM,1.0,2875523.0,Tanay Kumar Agrawal,INR,"23,458,891.86",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_111752_21,18/OPHWC/2024-25,Constn. of 8 nos. F type staff quarters at Titlagarh Fire Station in Bolangir District,09-Jun-2025,"INR 23,458,891.86",300.0,BIBHUTI BHUSHAN NAIK,09-Jun-2025 12:53 PM,work6.pdf (559.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 31.05.2025,AOC
,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2875576,SOBIKA AGRAWAL,05-Apr-2025 02:32 PM,Rejected-Finance,DUE TO L2 BIDDER,09-Jun-2025 12:51 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2875523,Tanay Kumar Agrawal,04-Apr-2025 02:08 PM,Accepted-AOC,qualified bidder,09-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,AOC
