S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2770504.0,SRI RABINDRA KUMAR SAHOO,INR,"38,076,999",CE RW I||RWCIRCLE-CUTTACK,2025_CERWI_109126_14,Tender Online RWC - 22/24,"Construction of road from Bodamundai Bazar to Kasipur via Barigola Maszid, Banahara, Barigola GP. under MMSY-TRIP in the dist of Cuttack for the year 2024-25",1,2770028,M/S B.B CONSTRUCTION,22-Jan-2025 10:11 AM,Rejected-Finance,Unsuccessful bidder,04-Jun-2025 12:56 PM,20-Jun-2025,"INR 38,076,999",270.0,Ajay Kumar Behera,20-Jun-2025 11:21 AM,agmt1.pdf (931.00 KB),Agmt drawn,C.C.E.R.W.Circle.Cuttack,Internal,EE RW Division-II Cuttack DAO RW Division Cuttack PA to CCE,Ajay Kumar Behera,04-Jun-2025 12:56 PM,finsummary_525119.pdf (370.19 KB),Technical,Total 6 nos document downloaded,SOMANATHA PARIDA,24-Jan-2025 12:41 PM,,C.C.E.R.W.Circle Cuttack,Internal,EE RW Division-II Cuttack DAO RW Division Cuttack PA to CCE,Ajay Kumar Behera,22-Feb-2025 01:05 PM,25-Feb-2025 05:30 PM,techsummary_525119.pdf (1203.38 KB),Finance,total 5 nos document downloaded,Ajay Kumar Behera,25-Feb-2025 06:04 PM,,BOQ Comparative Chart,AOC,"10,000",0.0,Nil,Nil,No,"Construction of road from Bodamundai Bazar to Kasipur via Barigola Maszid, Banahara, Barigola GP. under MMSY-TRIP in the dist of Cuttack for the year 2024-25",road works,Please refer Tender documents. ,NA ,"4,29,13,400",Civil Works - Roads,NA ,Tender,90.0,270.0,Cuttack,753004.0,NA ,NA ,NA ,"C.C.E.R.W. Circle, Cuttack",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, RC, PAN, Registration Certificate, Labor License, No Relationship",10-Jan-2025 02:00 PM,24-Jan-2025 11:30 AM,10-Jan-2025 02:00 PM,22-Jan-2025 05:00 PM,10-Jan-2025 02:00 PM ,22-Jan-2025 02:00 PM ,10-Jan-2025 02:00 PM,22-Jan-2025 05:00 PM,25-Feb-2025 05:30 PM,"C.C.E.R.W. Circle, Cuttack","C.C.E.R.W. Circle, Cuttack","4,29,134",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-CUTTACK,Tender Online RWC - 22/24,2025_CERWI_109126_14,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,2759805,PRADYUMNA KUMAR DAS,17-Jan-2025 03:03 PM,Rejected-Technical,Disqualified as per clause no.14(d) (iv) due to insufficient of Bid capacity,22-Feb-2025 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit of Correctness Certificate undertaking duly filled, all affidavits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,2770696,Rajesh Kumar Sahoo,22-Jan-2025 01:35 PM,Rejected-Finance,Unsuccessful bidder,04-Jun-2025 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"A.T.O from CA, Similar Nature of Work Experience Certificate, Work in Hand Machineries followed by",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,2771405,SAMIR KUMAR SINGH,22-Jan-2025 04:54 PM,Rejected-Finance,Unsuccessful bidder,04-Jun-2025 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2770305,SANJAY KUMAR SAMANTARAY,22-Jan-2025 12:14 PM,Rejected-Finance,Unsuccessful bidder,04-Jun-2025 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,2770504,SRI RABINDRA KUMAR SAHOO,22-Jan-2025 03:37 PM,Accepted-AOC,Agmt drawn,20-Jun-2025 11:21 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
