Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Additional Chief Engineer,"O/o ACE, Eastern Circle-II, Chandikhole",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE,"e-Procurement Notice No.ACE, EC-II 12 of 2023-24",2024_ECCHA_100403_10,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"PAN,GSTIN,RC",01-Feb-2024 10:00 AM,16-Feb-2024 11:30 AM,01-Feb-2024 10:00 AM,15-Feb-2024 05:00 PM,01-Feb-2024 10:00 AM ,07-Feb-2024 05:00 PM ,01-Feb-2024 10:00 AM,15-Feb-2024 05:00 PM,22-Feb-2024 02:45 PM,"2,48,300",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"ACE,EC-II JPD 08 of 2023-24 Improvement to right service bank of HLC Range-III from RD 0.00 Km to 7.00 Km.",Road Work,Please refer Tender documents. ,NA ,"2,48,30,076",Civil Works - Roads,NA ,Tender,90.0,180.0,Jajpur,755001.0,NA ,NA ,NA ,"O/o ACE, Eastern Circle-II, Chandikhole",No ,No,"10,000",Nil,Nil,No,AOC,Technical,Uploaded documents of all the bidders have been downloaded successfully.,Sarojkanta Mishra,16-Feb-2024 05:55 PM,technical_488854.pdf,"Additional Chief Engineer, Eastern Circle-II, Chandikhole",Internal,"Asst to ACE EC II Chandikhole, Superintending Engineer, DAO and Estimator Jajpur Irrigation Division",PRANAB KUMAR NAYAK,27-Jun-2025 12:27 AM,finsummary_488854.pdf (522.48 KB),Finance,Uploaded financial documents of the eligible bidders have been downloaded successfully.,Sarat Chandra Ghadei,22-Feb-2024 02:57 PM,finance_488854.pdf,BOQ Comparative Chart,"Additional Chief Engineer, Eastern Circle II, Chandikhole",Internal,"SE and DAO, O/ the SE, Jajpur Irrigation Division Asst to ACE, Eastern Circle II, Chandikhole",Sarojkanta Mishra,22-Feb-2024 02:41 PM,22-Feb-2024 02:45 PM,techsummary_488854.pdf (1007.62 KB),27-Jun-2025,"INR 21,108,047.68",180.0,PRANAB KUMAR NAYAK,27-Jun-2025 12:28 AM,JPD_08.pdf (522.00 KB),Contract Awarded,1,2433652,AJAYA KUMAR MISHRA,11-Feb-2024 05:46 PM,Rejected-Finance,Did not win the lottery,27-Jun-2025 12:27 AM,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE,2024_ECCHA_100403_10,"e-Procurement Notice No.ACE, EC-II 12 of 2023-24","ACE,EC-II JPD 08 of 2023-24 Improvement to right service bank of HLC Range-III from RD 0.00 Km to 7.00 Km.",1.0,2443447.0,SOUMYA RANJAN SAMAL,INR,"21,108,047.68",AOC
,,,,,,,,,,,,,,,,,,.pdf,"Affidavit, No Relation Certificate, undertakings, any other document as per SBD/DTCN",,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2428505,ANANTA PRASAD MALIK,14-Feb-2024 06:55 PM,Rejected-Finance,Did not win the lottery,27-Jun-2025 12:27 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2442119,BIKRAM KESHARI NANDA,15-Feb-2024 12:06 PM,Rejected-Finance,Did not win the lottery,27-Jun-2025 12:27 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2439615,DIBYA RANJAN DAS,14-Feb-2024 12:26 PM,Rejected-Finance,Did not win the lottery,27-Jun-2025 12:27 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2427210,Gourahari Sahoo,07-Feb-2024 04:39 PM,Rejected-Finance,Did not win the lottery,27-Jun-2025 12:27 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2443609,MANAS RANJAN SAMAL,15-Feb-2024 04:55 PM,Rejected-Finance,Did not win the lottery,27-Jun-2025 12:27 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2443494,M/S SIDHARTH KUMAR SAMAL,15-Feb-2024 04:23 PM,Rejected-Finance,Did not win the lottery,27-Jun-2025 12:27 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2442506,PRADEEP PARIDA,15-Feb-2024 01:30 PM,Rejected-Finance,Did not win the lottery,27-Jun-2025 12:27 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2441274,PRATIPARNA PARAKRANTA NAYAK,14-Feb-2024 10:29 PM,Rejected-Finance,Did not win the lottery,27-Jun-2025 12:27 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2441408,RUDRA NARAYAN TRIPATHY,14-Feb-2024 10:37 PM,Rejected-Finance,Did not win the lottery,27-Jun-2025 12:27 AM,,,,,,,,,,AOC
