Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Finance,20 bids opened successfully,Lipsa Parida,28-Apr-2025 05:37 PM,finance_536658.pdf,BOQ Comparative Chart,1.0,2896864.0,PRABHATA KUMAR SAHOO,INR,"1,193,646",Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_112522_4,BMC-EE-Tender Cell-05/2025-26 Dt. 11.04.2025,Desilting of Strom water Main Drain No. 1C in Bhubaneswar city,CITY ENGINEER,Internal,"CITY ENGINEER ,EE DRAINAGE,EE TENDERCELL,CFO,ZC(LEGAL)",Priyabrata Behera,24-Jun-2025 11:41 AM,finsummary_536658.pdf (224.95 KB),CITY ENGINEER,Internal,"CITY ENGINEER ,EE DRAINAGE,EE TENDERCELL,CFO,ZC(LEGAL)",Priyabrata Behera,24-Jun-2025 11:34 AM,techsummary_536658.pdf (2126.52 KB),24-Jun-2025,"INR 1,193,646",180.0,Priyabrata Behera,24-Jun-2025 11:45 AM,Wo_59_25.pdf (1505.00 KB),1,2895857,AJAY KUMAR BEHERA,26-Apr-2025 06:24 PM,Rejected-Finance,other than 1st lottery winner,24-Jun-2025 11:41 AM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copy of all documents,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-05/2025-26 Dt. 11.04.2025,2025_ORULB_112522_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Desilting of Strom water Main Drain No. 1C in Bhubaneswar city,Desilting of Strom water Main Drain No. 1C in Bhubaneswar city,Please refer Tender documents. ,NA ,"11,89,936",Civil Works - Others,NA ,Tender,120.0,180.0,BMC Area,751022.0,Office chamber of EE (Central Tender Cell) ,"UG Floor, Central Tender Cell, ICOMC Tower, BMC ",22-Apr-2025 12:30 PM ,"Central Tender Cell,BMC",No ,No,16-Apr-2025 04:00 PM,28-Apr-2025 04:00 PM,16-Apr-2025 04:00 PM,28-Apr-2025 03:30 PM,16-Apr-2025 04:00 PM ,21-Apr-2025 04:30 PM ,16-Apr-2025 04:00 PM,28-Apr-2025 03:30 PM,1.0,ICICI BANK,Executive Engineer (Central Tender Cell),"UG Floor, Central Tender Cell, ICOMC Tower, BMC","6,000",0.0,Nil,Nil,No,"11,900",Yes,fixed,,Nil,Nil,1.0,Specification for Tools and equipment,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2897817,ARATI NALINI SWAIN,28-Apr-2025 12:37 PM,Rejected-Finance,other than 1st lottery winner,24-Jun-2025 11:41 AM,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2896196,BIHARI PRADHAN,26-Apr-2025 09:12 PM,Rejected-Finance,other than 1st lottery winner,24-Jun-2025 11:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2897587,BIRANCHI BHUSAN MOHANTY,28-Apr-2025 11:46 AM,Rejected-Finance,other than 1st lottery winner,24-Jun-2025 11:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2895267,DIPTIRANJAN RAYASINGH,25-Apr-2025 09:20 PM,Rejected-Finance,other than 1st lottery winner,24-Jun-2025 11:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2893274,GATIKRUSHNA SAHOO,24-Apr-2025 11:02 AM,Rejected-Finance,other than 1st lottery winner,24-Jun-2025 11:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2894963,JAGANNATH BEHERA,25-Apr-2025 05:40 PM,Rejected-Finance,other than 1st lottery winner,24-Jun-2025 11:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2889406,KABITA SAHOO,27-Apr-2025 12:14 AM,Rejected-Finance,other than 1st lottery winner,24-Jun-2025 11:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2895611,MADHUSUDAN ENTERPRISES,26-Apr-2025 01:08 PM,Rejected-Finance,other than 1st lottery winner,24-Jun-2025 11:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2893733,NIKUNJA NARAYAN BHARATI,25-Apr-2025 12:56 PM,Rejected-Finance,other than 1st lottery winner,24-Jun-2025 11:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
