Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Parlakhemundi Municipal Council,01/PKDM-2025-26,2025_ORULB_112408_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,628",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,Improvement of left side drain with cover plate at Odia Parala street,Drain work,Please refer Tender documents. ,NA ,"7,62,818",Civil Works - Others,NA ,Tender,90.0,60.0,Paralakhemundi Municipality,761200.0,NA ,NA ,NA ,Paralakhemundi Municipality,No ,No,1,ICICI BANK,19-Apr-2025 10:00 AM,01-May-2025 11:00 AM,19-Apr-2025 10:00 AM,30-Apr-2025 05:00 PM,NA ,NA ,19-Apr-2025 10:00 AM,30-Apr-2025 05:00 PM,"Executive Officer, Paralakhemundi Municipality","Executive Officer, Paralakhemundi Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor License, Valid GST Certificate, Pan Card, Cost of Tender Paper, EMD, Affidavit",AOC,"Nirmala Sethy, Chairperson, Paralakhemundi Municipality",Internal,"Executive Officer, Municipal Engineer, Accountant, APD(F) Zilla Parishad, Gajapati",LAXMAN KUMAR MURMU,19-Jun-2025 03:58 PM,finsummary_536106.pdf (6352.40 KB),"Nirmala Sethy, Chairperson, Paralakhemundi Municipality",Internal,"Executive Officer, Municipal Engineer, Accountant, APD(F) Zilla Parishad, Gajapati",LAXMAN KUMAR MURMU,19-Jun-2025 03:56 PM,techsummary_536106.pdf (6352.40 KB),1,2898759,CHITTARANJAN DASH,28-Apr-2025 08:16 PM,Rejected-AOC,L2,19-Jun-2025 04:00 PM,Municipal Bodies||Parlakhemundi Municipal Council,2025_ORULB_112408_27,01/PKDM-2025-26,Improvement of left side drain with cover plate at Odia Parala street,1.0,2901040.0,LOPINTI REKHA,INR,"755,190",19-Jun-2025,"INR 755,190",60.0,LAXMAN KUMAR MURMU,19-Jun-2025 04:00 PM,27.pdf (504.00 KB),Finance,It will be finalized by the Tender Committee,LAXMAN KUMAR MURMU,09-May-2025 10:21 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,2,2901040,LOPINTI REKHA,29-Apr-2025 08:34 PM,Accepted-AOC,L1,19-Jun-2025 04:00 PM,,,,,,,,,,,,,,,,,,,,,,AOC
