Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
25-Jun-2025,"INR 1,544,757.34",180.0,Ratnakar Dalai,25-Jun-2025 12:45 PM,18_31.pdf (414.00 KB),Contract Awarded,1.0,2872519.0,SASHI REKHA PARIDA,INR,"1,544,757.34",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,2025_CDJID_111739_21,e-Procurement Notice No.18/ 2024-25,JJPR-31/24-25 Construction of VR Bridge on 1C Distributary near Rambag Regional college.,1,2872532,ANANTA NARAYAN JENA,28-Mar-2025 08:04 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Sarat Chandra Ghadei,02-Apr-2025 09:49 PM,finance_533604.pdf,BOQ Comparative Chart,"Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Ratnakar Dalai,25-Jun-2025 12:43 PM,finsummary_533604.pdf (413.51 KB),"Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Antaryami Mohanty,09-May-2025 11:37 PM,techsummary_533604.pdf (770.67 KB),AOC,"18,200",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",19-Mar-2025 09:00 AM,02-Apr-2025 11:30 AM,19-Mar-2025 09:00 AM,29-Mar-2025 05:00 PM,19-Mar-2025 09:00 AM ,24-Mar-2025 05:00 PM ,19-Mar-2025 09:00 AM,29-Mar-2025 05:00 PM,JJPR-31/24-25 Construction of VR Bridge on 1C Distributary near Rambag Regional college.,Construction of VR Bridge,Please refer Tender documents. ,NA ,"18,17,148",Civil Works - Canal,NA ,Tender,90.0,180.0,Jajpur,755001.0,NA ,NA ,NA ,"O/o the SE, Jajpur Irrigation Division, Jajpur",No ,No,1.0,ICICI BANK,"6,000",Nil,Nil,No,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,e-Procurement Notice No.18/ 2024-25,2025_CDJID_111739_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,"O/o the SE, Jajpur Irrigation Division, Jajpur",AOC
,,,,,,,,,,,,,,,,2,2867738,BIDYADHAR PANDA,27-Mar-2025 12:21 AM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,2868826,DEBIKINKAR NAYAK,28-Mar-2025 09:12 AM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2871398,KALYANI SAHOO,28-Mar-2025 09:41 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2869367,LAXMIDHAR SAHOO,27-Mar-2025 10:31 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2872784,MAHESH NANDAN SAMAL,29-Mar-2025 09:03 AM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2869995,MAMINA PANDA,26-Mar-2025 09:46 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2868608,MANOJ KUMAR JENA,28-Mar-2025 08:47 AM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2871554,MANOJ KUMAR SWAIN,29-Mar-2025 12:31 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2873239,M/S ARUN KUMAR JENA,29-Mar-2025 02:14 PM,Rejected-Technical,Did not satisfy as per DTCN,09-May-2025 11:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
