Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,"43,854",Yes,percentage,1.0%,Nil,Nil,"Superintending Engineer, R.W. Division,Gunupur","O/o Superintending Engineer, R.W. Division,Gunupur",1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, PAN CARD, LICENCE, AFFIDAVIT",1.0,Class of contractor regarding,Other,,08-Jan-2025 10:00 AM,18-Jan-2025 11:00 AM,08-Jan-2025 10:00 AM,17-Jan-2025 05:00 PM,NA ,NA ,08-Jan-2025 10:00 AM,17-Jan-2025 05:00 PM,CE RW I||RWCIRCLE-SUNABEDA||RW Division Gunupur,SERWGNP-Online-04/2024-25,2025_CERWI_109206_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Repair and Maintenance of Putasingi to Nuagada (65/000 to 70/000) road in the district of Rayagada for the year 2024-25.,Repair and Maintenance of Putasingi to Nuagada (65/000 to 70/000) road in the district of Rayagada for the year 2024-25.,NA ,NA ,"43,85,367",Civil Works - Roads,NA ,Tender,90.0,30.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o Superintending Engineer, R.W. Division,Gunupur",No ,No,AOC,1,2747785,Akhyaya Kumar Sahu,13-Jan-2025 08:03 PM,Accepted-AOC,Lottery Winner,03-Jun-2025 01:02 AM,03-Jun-2025,"INR 3,728,000.28",30.0,Amit Prasan Kiro,03-Jun-2025 01:01 AM,Agreement.PDF (100.00 KB),The qualified bidder selected through transparent lottery system.,Amit Prasan Kiro,Internal,"SE,DAO,Estimator",Amit Prasan Kiro,03-Jun-2025 12:36 AM,techsummary_524535.pdf (432.43 KB),Amit Prasan Kiro,Internal,"SE,DAO,Estimator",Amit Prasan Kiro,03-Jun-2025 12:54 AM,finsummary_524535.pdf (432.43 KB),CE RW I||RWCIRCLE-SUNABEDA||RW Division Gunupur,2025_CERWI_109206_3,SERWGNP-Online-04/2024-25,Repair and Maintenance of Putasingi to Nuagada (65/000 to 70/000) road in the district of Rayagada for the year 2024-25.,1.0,2747785.0,Akhyaya Kumar Sahu,INR,"3,728,000.28",Finance,Tender Open,Amit Prasan Kiro,03-Jun-2025 12:25 AM,finance_524535.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,2,2759424,ALLAPA AKHIL KUMAR,17-Jan-2025 02:29 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 01:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2759137,BADAL KUMAR MADALA,17-Jan-2025 01:19 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 01:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2745251,BEJIPURAM KHAGESWAR RAO,13-Jan-2025 08:19 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 01:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2745362,BEJJIPURAPU NABIN,13-Jan-2025 07:50 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 01:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2743755,BURADA CHIRANJIVI,11-Jan-2025 05:41 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 01:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2759112,CHANDRA SEKHAR SAHUKAR,17-Jan-2025 12:56 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 01:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2744047,D.HARISH KUMAR,11-Jan-2025 08:36 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 01:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2751349,Dileep Kumar Choudhury,15-Jan-2025 03:42 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 01:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2759914,GANESH SWAIN,17-Jan-2025 03:28 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 01:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
