S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1.0,ICICI BANK,Municipal Bodies||Bhawanipatna Municipality,BPM/02/2025-26,2025_ORULB_113631_37,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"17,000",Yes,fixed,,Nil,Nil,Improvement of road (BT) road and drain from Hanuman Mandir to Ganesh Mandir in Ward No 1,Improvement of road (BT) road and drain from Hanuman Mandir to Ganesh Mandir in Ward No 1,Please refer Tender documents. ,NA ,"16,95,073",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","6,000",0.0,Nil,Nil,No,21-May-2025 02:00 PM,30-May-2025 05:00 PM,21-May-2025 02:00 PM,30-May-2025 04:00 PM,NA ,NA ,21-May-2025 02:00 PM,30-May-2025 04:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC,Chairperson,Internal,,Pratik Rath,26-Jun-2025 07:50 AM,techsummary_540453.pdf (1957.09 KB),Chairperson,Mixed,,Pratik Rath,30-Jun-2025 10:03 PM,finsummary_540453.pdf (1957.08 KB),Finance,accepted,BANAMALI MEHER,01-Jun-2025 10:45 AM,,BOQ Comparative Chart,Municipal Bodies||Bhawanipatna Municipality,2025_ORULB_113631_37,BPM/02/2025-26,Improvement of road (BT) road and drain from Hanuman Mandir to Ganesh Mandir in Ward No 1,1.0,2938285.0,SAILESH KUMAR,INR,"1,441,025.47",1,2938846,ANMOL AGRAWAL,29-May-2025 02:48 PM,Rejected-Finance,L3,30-Jun-2025 10:03 PM,30-Jun-2025,"INR 1,441,025.47",30.0,Pratik Rath,30-Jun-2025 10:05 PM,46Proceeding.pdf (1957.00 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2937217,Anubhab Mishra,29-May-2025 02:19 PM,Rejected-Finance,L3,30-Jun-2025 10:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2940197,HARI SHANKAR PATNAIK,29-May-2025 11:25 PM,Rejected-Finance,L3,30-Jun-2025 10:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2937446,KIRAN KUMAR SAHU,29-May-2025 06:39 PM,Rejected-Finance,L3,30-Jun-2025 10:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2933062,LAXMIPRIYA SABAR,27-May-2025 09:31 PM,Rejected-Finance,L3,30-Jun-2025 10:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2940629,LINGARAJ DEEP,29-May-2025 06:35 PM,Rejected-AOC,L2,30-Jun-2025 10:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2940423,PRADEEP KUMAR NAIK,30-May-2025 02:22 PM,Rejected-Finance,L3,30-Jun-2025 10:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2936162,PRATIK BHANSALI,28-May-2025 10:16 PM,Rejected-Finance,L3,30-Jun-2025 10:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2942888,PRITAM KUMAR NEGI,30-May-2025 02:07 PM,Rejected-Finance,L3,30-Jun-2025 10:03 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2942180,Sachidananda Majhi,30-May-2025 02:43 PM,Rejected-Finance,L3,30-Jun-2025 10:03 PM,,,,,,,AOC
