EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,91,940",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Detailed Tender Call Notice,04-Feb-2025 09:00 AM,15-Feb-2025 05:30 PM,04-Feb-2025 09:00 AM,15-Feb-2025 05:00 PM,NA ,NA ,04-Feb-2025 09:00 AM,15-Feb-2025 05:00 PM,07-Mar-2025 04:00 PM,Odisha Agro Industries Corporation Ltd.,MD_OAIC_52_E_I_2024-25,2025_OAICL_110126_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Millet cafe cum Food Court At Baramunda Bhubaneswar,Construction of Millet cafe cum Food Court At Baramunda Bhubaneswar,Please refer Tender documents. ,NA ,"6,91,93,946",Civil Works - Buildings,NA ,Tender,90.0,NA ,Odisha,751007.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"11,800",Nil,Nil,No,D G M (E and I),OAIC BBSR,1.0,Date Extension,Date,,AOC,1,2817449,AVR INFRATECH PVT LTD,14-Feb-2025 04:16 PM,Rejected-Finance,Dis-qualified,19-Mar-2025 02:43 PM,23-May-2025,"INR 58,821,773",180.0,Lalit Mohan Jena,07-Jun-2025 04:29 PM,AOC_MILLET_CAFE.pdf (508.00 KB),Finance,6 nos. of financial bids opened.,Lalit Mohan Jena,07-Mar-2025 05:00 PM,,BOQ Comparative Chart,Managing Director,Internal,Committee members list attached.,Shubham Saxena,07-Mar-2025 02:49 PM,07-Mar-2025 04:00 PM,techsummary_528409.pdf (565.62 KB),Managing Director,Internal,Committee Members list attached.,Shubham Saxena,19-Mar-2025 02:43 PM,finsummary_528409.pdf (502.57 KB),Technical,10 nos. of technical bids opened.,Lalit Mohan Jena,15-Feb-2025 05:43 PM,,Odisha Agro Industries Corporation Ltd.,2025_OAICL_110126_1,MD_OAIC_52_E_I_2024-25,Construction of Millet cafe cum Food Court At Baramunda Bhubaneswar,1.0,2815213.0,BIJAYA PAIKARAY,INR,"58,821,773",AOC
,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2815213,BIJAYA PAIKARAY,14-Feb-2025 04:06 PM,Accepted-AOC,Work Awarded,07-Jun-2025 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2810580,DIPTI RANJAN MOHANTY,13-Feb-2025 05:06 PM,Rejected-Finance,Dis-Qualified in Lottery,19-Mar-2025 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2807765,M/S KALINGA COMBINES PRIVATE LIMITED,12-Feb-2025 07:58 PM,Rejected-Finance,Dis-qualified,19-Mar-2025 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2815205,M/S P B CONSTRUCTION,14-Feb-2025 04:40 PM,Rejected-Finance,Dis-Qualified in Lottery,19-Mar-2025 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2814601,PRITESH KUMAR JENA,13-Feb-2025 08:07 PM,Rejected-Finance,Dis-Qualified in Lottery,19-Mar-2025 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2818241,SATYA SUNDAR PARIDA,15-Feb-2025 12:59 PM,Rejected-Technical,Rejected,07-Mar-2025 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2819525,Shyamsundar Realcon private limited,15-Feb-2025 04:57 PM,Rejected-Technical,Rejected,07-Mar-2025 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2819483,Subash Chandra Mohanty,15-Feb-2025 04:02 PM,Rejected-Technical,Rejected,07-Mar-2025 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2818799,SUSANTA KUMAR SAHOO,15-Feb-2025 10:58 AM,Rejected-Technical,Rejected,07-Mar-2025 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
