Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Improvement of Water Supply to Puri municipality and renovation of Intake Pond,Improvement of Water Supply to Puri municipality and renovation of Intake Pond,Please refer Tender documents. ,NA ,"37,92,09,000",Civil Works - Water Works,NA ,Tender,120.0,365.0,Puri municipality,752001.0,NA ,NA ,NA ,Bhubaneswar,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",Managing Director,"The Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2391444",WATCO Bhubaneswar,WATCO (W)-18(1)/2024-25 Dtd.21.12.2024,2024_WATCO_108670_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"37,92,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"11,800",Nil,Nil,No,27-Dec-2024 11:00 AM,16-Jan-2025 12:30 PM,27-Dec-2024 11:00 AM,15-Jan-2025 05:00 PM,27-Dec-2024 11:00 AM ,02-Jan-2025 05:00 PM ,27-Dec-2024 11:00 AM,15-Jan-2025 05:00 PM,03-Mar-2025 11:30 AM,AOC,WATCO Bhubaneswar,2024_WATCO_108670_1,WATCO (W)-18(1)/2024-25 Dtd.21.12.2024,Improvement of Water Supply to Puri municipality and renovation of Intake Pond,Technical,Four no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Guru Charan Das,16-Jan-2025 01:16 PM,,Managing Director,Internal,,Guru Charan Das,21-Jun-2025 12:52 PM,finsummary_521610.pdf (663.10 KB),1.0,2746238.0,M/S NCP CONSTRUCTION,INR,"341,325,690",21-Jun-2025,"INR 341,325,690",365.0,Guru Charan Das,21-Jun-2025 01:02 PM,AOC.pdf (425.00 KB),1,2746659,LCC PROJECTS PRIVATE LIMITED,13-Jan-2025 06:29 PM,Rejected-AOC,Not a lowest bidder,21-Jun-2025 01:02 PM,Managing Director,Internal,,Guru Charan Das,01-Mar-2025 03:41 PM,03-Mar-2025 11:30 AM,techsummary_521610.pdf (2574.85 KB),Finance,Three no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Guru Charan Das,03-Mar-2025 11:41 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2751265,M A CONSTRUCTION,15-Jan-2025 01:02 PM,Rejected-Technical,Technically disqualified,01-Mar-2025 03:41 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2746238,M/S NCP CONSTRUCTION,14-Jan-2025 06:27 PM,Accepted-AOC,Lowest bidder,21-Jun-2025 01:02 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2748509,SHIVAJYOTI CONPRO PVT. LTD.,15-Jan-2025 03:22 PM,Rejected-AOC,Not a lowest bidder,21-Jun-2025 01:02 PM,,,,,,,,,,,,,,AOC
