Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Construction of Office Building at Deogan PACS for the year 2024-25(Composite),Construction of Office Building at Deogan PACS for the year 2024-25(Composite),Please refer tender documents ,NA ,"13,49,043",Civil Works - Buildings,NA ,Tender,90.0,120.0,DHENKANAL,759001.0,NA ,NA ,NA ,Superintending Engineer Dhenkanal R and B Division,No ,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender paper, GSTIN, PAN, EMD, Valid RC Affidavit as per DTCN",EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB-DIVN-DHENKANAL,SE DKL (R and B) 32/ 2024-25,2025_EICCL_109497_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,18-Jan-2025 09:00 AM,31-Jan-2025 11:00 AM,18-Jan-2025 09:00 AM,30-Jan-2025 05:00 PM,NA ,NA ,18-Jan-2025 09:00 AM,30-Jan-2025 05:00 PM,Superintending Engineer Dhenkanal R and B Divianal,Superintending Engineer Dhenkanal R and B Divianal,"14,000",Yes,fixed,,Nil,Nil,AOC,Superintending Engineer,Internal,Sr DAO AEE Estimator JE Estimator,JAYANTA PRASAD NAIK,03-Jun-2025 07:24 PM,finsummary_526323.pdf (25.12 KB),EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB-DIVN-DHENKANAL,2025_EICCL_109497_1,SE DKL (R and B) 32/ 2024-25,Construction of Office Building at Deogan PACS for the year 2024-25(Composite),1.0,2783749.0,Santosh Kumar Sahoo,INR,"1,146,822",Finance,Bids are open,JAYANTA PRASAD NAIK,31-Jan-2025 05:15 PM,finance_526323.pdf,BOQ Comparative Chart,1,2779833,Akula Chandra Pothal,28-Jan-2025 11:02 AM,Rejected-AOC,Disqualified in transparent lottery,03-Jun-2025 07:30 PM,03-Jun-2025,"INR 1,349,043",120.0,JAYANTA PRASAD NAIK,03-Jun-2025 07:30 PM,Deogan_PACS.pdf (362.00 KB),Agreement as on Dt.23.04.2025,Superintending Engineer,Internal,Sr DAO AEE Estimator JE Estimator,JAYANTA PRASAD NAIK,17-Feb-2025 09:47 PM,techsummary_526323.pdf (207.51 KB),AOC
,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2783749,Santosh Kumar Sahoo,28-Jan-2025 02:39 PM,Accepted-AOC,Work has been awarded,03-Jun-2025 07:30 PM,,,,,,,,,,,,,,AOC
