Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Finance,ALL BID DOCUMENTS ARE DOWNLOADED,RAMESH LADI,09-May-2025 04:49 PM,,BOQ Comparative Chart,1.0,2903264.0,NATIONAL ENGINEERING WORKS,INR,"851,308",Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Bhubaneswar,2025_CEMWR_112832_1,MDC-07/2025-26,"Repair of Ranijharana gate of Baramba Block, under M.I Division, Cuttack for the year 2024-25","ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BHUBANESWAR",Internal,,RAMESH LADI,18-Jun-2025 11:33 AM,finsummary_537588.pdf (376.31 KB),"ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BHUBANESWAR",Internal,,RAMESH LADI,04-Jun-2025 12:50 PM,techsummary_537588.pdf (577.03 KB),18-Jun-2025,"INR 851,308",60.0,RAMESH LADI,18-Jun-2025 11:46 AM,mdc07aoc.pdf (809.00 KB),1,2909211,ABHISEKH ENTERPRISERS,08-May-2025 02:05 PM,Rejected-Finance,LOOSER OF THE LOTTERY,18-Jun-2025 11:33 AM,AOC,"ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BBSR","O/O THE ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BHUBANESWAR, DELTA",Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Bhubaneswar,MDC-07/2025-26,2025_CEMWR_112832_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,28-Apr-2025 10:00 AM,09-May-2025 12:00 PM,28-Apr-2025 10:00 AM,08-May-2025 05:30 PM,28-Apr-2025 10:00 AM ,08-May-2025 05:30 PM ,28-Apr-2025 10:00 AM,08-May-2025 05:30 PM,"6,000",0.0,Nil,Nil,No,"Repair of Ranijharana gate of Baramba Block, under M.I Division, Cuttack for the year 2024-25","Repair of Ranijharana gate of Baramba Block, under M.I Division, Cuttack for the year 2024-25",Please refer Tender documents. ,NA ,"10,01,421",Mechanical Works,NA ,Tender,90.0,60.0,"RANIJHARANA, BARAMBA",754031.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,"10,100",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, AFFIDAVIT AND ALL OTHER DOCUMENTS AS PER DTCN.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2909141,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",08-May-2025 01:45 PM,Rejected-Finance,LOOSER OF THE LOTTERY,18-Jun-2025 11:33 AM,AOC,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2905778,ANJAN KUMAR JENA,08-May-2025 08:58 AM,Rejected-Finance,LOOSER OF THE LOTTERY,18-Jun-2025 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2903628,BANASHREE BHUYAN,08-May-2025 11:26 AM,Rejected-Finance,LOOSER OF THE LOTTERY,18-Jun-2025 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2903235,DASH ENGINEERING AND WORKS,07-May-2025 01:01 PM,Rejected-Finance,LOOSER OF THE LOTTERY,18-Jun-2025 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2903641,LAXMIDHRA BHUYAN,08-May-2025 11:14 AM,Rejected-Finance,LOOSER OF THE LOTTERY,18-Jun-2025 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2906118,M/S Abirvab Steel Product,08-May-2025 11:11 AM,Rejected-Finance,LOOSER OF THE LOTTERY,18-Jun-2025 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2903492,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,08-May-2025 09:55 AM,Rejected-Finance,LOOSER OF THE LOTTERY,18-Jun-2025 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2906000,M/S Ashreebad Fabricators,08-May-2025 08:08 AM,Rejected-Finance,LOOSER OF THE LOTTERY,18-Jun-2025 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2903483,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,08-May-2025 10:05 AM,Rejected-Finance,LOOSER OF THE LOTTERY,18-Jun-2025 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
