S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2418352.0,NITAI BAL,INR,"3,143,558.11",Finance,summary,Satya Narayan Behera,17-Jun-2025 08:32 AM,finance_486937.pdf,BOQ Comparative Chart,Executive Engineer,Internal,SujitBeheraEENiteshKhandayDAOSatyanarayanBeheraEstimator,Satya Narayan Behera,17-Jun-2025 08:40 AM,finsummary_486937.pdf (686.87 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI,2024_CERWI_100047_8,"15/RWD-I, MKG/2023-24",Repair and Maintenance to Mathili Chaulamundi (A) in the Dist of Malkangiri for the year 2023-24.,Executive Engineer,Internal,SujitBeheraEENiteshKhandayDAOSatyanarayanBeheraEstimator,Satya Narayan Behera,17-Jun-2025 08:37 AM,techsummary_486937.pdf (686.87 KB),1,2418352,NITAI BAL,02-Feb-2024 12:21 PM,Accepted-AOC,Avail Price Preference and willing to Execute the above work in 1st lowest rate.,17-Jun-2025 08:42 AM,17-Jun-2025,"INR 3,143,558.11",30.0,Satya Narayan Behera,17-Jun-2025 08:42 AM,AGMT_142P1.PDF (699.00 KB),Awarded,AOC,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,Repair and Maintenance to Mathili Chaulamundi (A) in the Dist of Malkangiri for the year 2023-24.,Repair and Maintenance to Mathili Chaulamundi (A) in the Dist of Malkangiri for the year 2023-24.,"GST,PANCARD,VALID REGN CERTIFICATE,AFFIDEVIT REGARDING CORRECTNESS/CERTIFICATE,NO RELATION CERTIFICATE ",NA ,"36,97,000",Civil Works - Roads,NA ,Tender,90.0,30.0,RW Division-I Malkangiri,764045.0,NA ,NA ,NA ,"Superintending Engineer, RWD-I, Malkangiri",No ,No,"Superintending Engineer, RWD-I, Malkangiri","Superintending Engineer, RWD-I, Malkangiri",1,ICICI BANK,"36,970",Yes,fixed,,Nil,Nil,24-Jan-2024 11:00 AM,03-Feb-2024 11:00 AM,24-Jan-2024 11:00 AM,02-Feb-2024 05:00 PM,24-Jan-2024 11:00 AM ,01-Feb-2024 05:00 PM ,24-Jan-2024 11:00 AM,02-Feb-2024 05:00 PM,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI,"15/RWD-I, MKG/2023-24",2024_CERWI_100047_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2418012,PITABASH NATH,02-Feb-2024 09:50 AM,Rejected-Technical,Not Qualified,17-Jun-2025 08:37 AM,,,,,,,,AOC,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
