Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Finance,All the bidders documents downloaded successfully,JISHU KRUSHNA BERIHA,27-Sep-2024 08:55 PM,finance_505923.pdf,BOQ Comparative Chart,1.0,2544934.0,Rama Chandra Padhan,INR,"1,304,982.797","CE-BM, Tel Basin,Bhawanipatna||SE Western Irr Circle Bhawanipatna||EE Kalahandi Irr Divn. Bhawanipatna",2024_CEBMT_104563_3,e-KLID-01/2024-25,Cement Concrete Lining and guard wall to Bhatapal Minor from RD 470mtr to 850mtr and from RD 1300 mt to 2042 mtr under UIP (working RD 470 Mtr to 600 Mtr and from RD 1300m to 1448.0Mtr),"SE, KALAHANDI IRRIGATION DIVISION",Internal,"SEKID, AEEESTIMATOR, DAO",JISHU KRUSHNA BERIHA,03-Oct-2024 04:55 PM,finsummary_505923.pdf (461.83 KB),"SE, KALAHANDI IRRIGATION DIVISION",Internal,"SE, KALAHANDI, AEE ESTIMATOR, DAO",JISHU KRUSHNA BERIHA,30-Sep-2024 05:52 PM,techsummary_505923.pdf (1381.63 KB),1,2544764,ADITYA KUMAR PANDA,13-Sep-2024 06:27 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,01-Nov-2024,"INR 1,304,982.797",120.0,JISHU KRUSHNA BERIHA,14-Jun-2025 12:51 PM,03.pdf (462.00 KB),Award of Contract,AOC,"SE, Kalahandi Irrigation Division Bpt","Office of the Superintending Engineer, Kalahandi Irrigation Division, Bhawanipatna, Kalahandi-766001","6,000",0.0,Nil,Nil,No,Cement Concrete Lining and guard wall to Bhatapal Minor from RD 470mtr to 850mtr and from RD 1300 mt to 2042 mtr under UIP (working RD 470 Mtr to 600 Mtr and from RD 1300m to 1448.0Mtr),Cement Concrete Lining and guard wall to Bhatapal Minor from RD 470mtr to 850mtr and from RD 1300 mt to 2042 mtr under UIP (working RD 470 Mtr to 600 Mtr and from RD 1300m to 1448.0Mtr),Please refer Tender documents. ,NA ,"15,35,093",Civil Works - Others,NA ,Tender,90.0,120.0,RISIDA,766031.0,NA ,NA ,NA ,"Office of the SE, Kalahandi IrrigationDivisionBpt",No ,No,1.0,ICICI BANK,"CE-BM, Tel Basin,Bhawanipatna||SE Western Irr Circle Bhawanipatna||EE Kalahandi Irr Divn. Bhawanipatna",e-KLID-01/2024-25,2024_CEBMT_104563_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,02-Sep-2024 11:00 AM,18-Sep-2024 11:00 AM,02-Sep-2024 11:00 AM,17-Sep-2024 05:30 PM,02-Sep-2024 11:00 AM ,09-Sep-2024 05:30 PM ,02-Sep-2024 11:00 AM,17-Sep-2024 05:30 PM,"15,360",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, Contractor RC, GSTIN, PAN, Affidavit, NRC and any other as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2550315,ADITYA PRASAD SAHU,17-Sep-2024 03:34 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2547802,ANANTA KUMAR PAL,14-Sep-2024 08:51 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2549234,Anubhab Mishra,17-Sep-2024 05:49 AM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2547534,BALABHADRA NAYAK,14-Sep-2024 06:00 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2549490,BHUBANESWAR SAHU,16-Sep-2024 10:58 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2546784,Binapani Panigrahi,13-Sep-2024 07:42 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2549631,BIRAJA SANKAR DAS,17-Sep-2024 09:02 AM,Rejected-Technical,Disqualified,30-Sep-2024 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2550144,BIRANCHI RANA,17-Sep-2024 01:28 PM,Rejected-Technical,Disqualified,30-Sep-2024 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2549810,DEBARAJ RANA,17-Sep-2024 02:23 PM,Rejected-Finance,Through Transparent Lottery Process,03-Oct-2024 04:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
