S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-KHURDA,02 of 2025-26,2025_EICCL_112810_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Online copy Tender cost, EMD , GSTIN, PAN, RC and Affidavit","Improvement to Road from Hotel Prachi(Hans Coco-Palm) to Srilokanath Road (Brushaba Statue) from Ch. 1/250 KM to 1/700KM , Acharya Harihar Chhak to Bidhaba Ashram via Harijan Sahi Renuka Lane from ch. 1/325 to 1/625 KM and Renuka Lane Loop Road","Improvement to Road from Hotel Prachi(Hans Coco-Palm) to Srilokanath Road (Brushaba Statue) from Ch. 1/250 KM to 1/700KM , Acharya Harihar Chhak to Bidhaba Ashram via Harijan Sahi Renuka Lane from ch. 1/325 to 1/625 KM and Renuka Lane Loop Road",Please refer Tender documents. ,NA ,"1,17,28,953",Civil Works - Roads,NA ,Tender,90.0,30.0,Puri,752001.0,NA ,NA ,NA ,CCE Khordha RandB Circle Khordha,No ,No,CCE Khordha RandB Circle Khordha,O/o the Chief Construction Engineer Khordha R and B Circle Khordha,25-Apr-2025 10:00 AM,03-May-2025 11:30 AM,25-Apr-2025 10:00 AM,02-May-2025 05:00 PM,NA ,NA ,25-Apr-2025 10:00 AM,02-May-2025 05:00 PM,14-May-2025 12:30 PM,"1,18,000",Yes,fixed,,Nil,Nil,AOC,19-Jun-2025,"INR 9,970,783",30.0,Rama Chandra Sethi,19-Jun-2025 01:33 PM,222.pdf (1264.00 KB),1,2903907,AMRIT RANJAN NAYAK,02-May-2025 04:49 PM,Rejected-Finance,other than lottery bidder,19-Jun-2025 01:26 PM,cce,Internal,"pa,dao,se",Rama Chandra Sethi,09-May-2025 03:20 PM,14-May-2025 12:30 PM,techsummary_537541.pdf (4112.01 KB),Finance,open,Rama Chandra Sethi,19-Jun-2025 01:14 PM,,BOQ Comparative Chart,Technical,open,Rama Chandra Sethi,09-May-2025 03:07 PM,,EIC-CIVIL||SERNB-CIRCLE-KHURDA,2025_EICCL_112810_2,02 of 2025-26,"Improvement to Road from Hotel Prachi(Hans Coco-Palm) to Srilokanath Road (Brushaba Statue) from Ch. 1/250 KM to 1/700KM , Acharya Harihar Chhak to Bidhaba Ashram via Harijan Sahi Renuka Lane from ch. 1/325 to 1/625 KM and Renuka Lane Loop Road",cce,Internal,pa,Rama Chandra Sethi,19-Jun-2025 01:26 PM,finsummary_537541.pdf (420.32 KB),1.0,2903955.0,PRAFULLA KUMAR MISHRA,INR,"9,970,783",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2902781,BHAJAMAN SAHOO,30-Apr-2025 10:31 PM,Rejected-Finance,other than lottery bidder,19-Jun-2025 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2901867,MANOJ KUMAR SAHOO,02-May-2025 01:45 PM,Rejected-Finance,other than lottery bidder,19-Jun-2025 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2903959,NIRANJAN MUDULI,02-May-2025 04:56 PM,Rejected-Finance,other than lottery bidder,19-Jun-2025 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2903878,P ATISH PRASAD,02-May-2025 03:15 PM,Rejected-Finance,other than lottery bidder,19-Jun-2025 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2903955,PRAFULLA KUMAR MISHRA,02-May-2025 04:46 PM,Accepted-AOC,Agreement done,19-Jun-2025 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2901929,Pramod Kumar Acharaya,02-May-2025 10:08 AM,Rejected-Finance,other than lottery bidder,19-Jun-2025 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2903812,PRATAP KUMAR DASH,02-May-2025 01:43 PM,Rejected-Finance,other than lottery bidder,19-Jun-2025 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2902676,RAMAKRISHNA PAIKARAY,30-Apr-2025 07:09 PM,Rejected-Finance,other than lottery bidder,19-Jun-2025 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2902747,SANJEEB PUJARI,02-May-2025 02:06 PM,Rejected-Finance,other than lottery bidder,19-Jun-2025 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
