Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Restoration of road from Kanungo Babu res to Kartika Bhoga Shop at Deula Sahi Sunadevi side road in Ward No. 07.,Restoration of road from Kanungo Babu res to Kartika Bhoga Shop at Deula Sahi Sunadevi side road in Ward No. 07.,Please refer Tender documents. ,NA ,"3,53,379",Civil Works - Others,NA ,Tender,90.0,30.0,CMC,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-II_No20/2018-19,2018_ORULB_50677_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD, PAN, EPF REGISTRATION AND GST-IN CERTIFICATE OTHER DOCUMENTS AS PER DTCN.","3,600",Yes,fixed,,"Municipal Commissioner, C.M.C",Cuttack,1,ICICI BANK,Executive Engineer-II,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",05-Dec-2018 03:00 PM,20-Dec-2018 11:00 AM,05-Dec-2018 03:00 PM,15-Dec-2018 05:00 PM,05-Dec-2018 03:00 PM ,15-Dec-2018 05:00 PM ,05-Dec-2018 03:00 PM,15-Dec-2018 05:00 PM,"2,000",0.0,"Municipal Commissioner, C.M.C",Cuttack,No,AOC,18-Jun-2025,"INR 371,050",30.0,Subas Chandra Sahoo,18-Jun-2025 12:49 PM,2018_ORULB_50677_1.pdf (389.00 KB),Work Order,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,18-Jun-2025 12:47 PM,finsummary_278983.pdf (389.26 KB),Finance,Two bidder participated.BOQ Comparative Chart is enclosed for reference. The Original documents of bidder to be verified.,Bhagyadhar Sahoo,20-Dec-2018 05:04 PM,finance_278983.pdf,BOQ Comparative Chart,1,1022250,SANJAY KUMAR SETHY(SC),15-Dec-2018 01:12 PM,Accepted-AOC,Accepted,18-Jun-2025 12:49 PM,Municipal Bodies||Cuttack Municipal Corporation,2018_ORULB_50677_1,MC(CMC)CTC_Div-II_No20/2018-19,Restoration of road from Kanungo Babu res to Kartika Bhoga Shop at Deula Sahi Sunadevi side road in Ward No. 07.,1.0,1022250.0,SANJAY KUMAR SETHY(SC),INR,"371,050",Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,18-Jun-2025 12:42 PM,techsummary_278983.pdf (389.26 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,1022277,TAPAN KUMAR BEHERA,15-Dec-2018 01:36 PM,Rejected-AOC,Rejected,18-Jun-2025 12:49 PM,,,,,,,,,,,,,,,,AOC
