EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,710",Yes,fixed,,Nil,Nil,"O/o the S.E, RWD, Jagatsinghpur","O/o the S.E, RWD, Jagatsinghpur",1.0,ICICI BANK,31-Dec-2024 02:10 PM,10-Jan-2025 11:00 AM,31-Dec-2024 02:10 PM,09-Jan-2025 05:00 PM,31-Dec-2024 02:10 PM ,08-Jan-2025 03:00 PM ,31-Dec-2024 02:10 PM,09-Jan-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online No-06 of 2024-25,2024_CERWI_108872_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Regd. cert. No relation and affidavit towards correctness certificate",S/R to Brahmanbhuin Korakora for the year 2024-25 in the District of Jagatsinghpur,S/R to Brahmanbhuin Korakora for the year 2024-25 in the District of Jagatsinghpur,Please refer Tender documents. ,NA ,"6,71,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/o the S.E, RWD, Jagatsinghpur",No ,No,AOC,SERWJSPUR,Internal,,Dipika Majhi,02-Jun-2025 02:39 PM,finsummary_522819.pdf (727.63 KB),"SE,RW,JSPR",Internal,,Soubhagya Kumar Mohapatra,27-Feb-2025 06:46 PM,techsummary_522819.pdf (606.65 KB),02-Jun-2025,"INR 570,456",30.0,Dipika Majhi,02-Jun-2025 02:48 PM,828.pdf (2731.00 KB),AoC,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2024_CERWI_108872_32,Tender Online No-06 of 2024-25,S/R to Brahmanbhuin Korakora for the year 2024-25 in the District of Jagatsinghpur,1.0,2736550.0,REETA SENAPATI,INR,"570,456",1,2739747,AMIT KUMAR MOHAPATRA,09-Jan-2025 12:05 PM,Rejected-Technical,L2 bidder,27-Feb-2025 06:46 PM,Finance,Summary,Soubhagya Kumar Mohapatra,27-Feb-2025 06:15 PM,finance_522819.pdf,BOQ Comparative Chart,AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2722609,BISWASMRUTI SWAIN,02-Jan-2025 07:56 PM,Rejected-Technical,L2 bidder,27-Feb-2025 06:46 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2740432,GOURI SANKAR SWAIN,09-Jan-2025 02:55 PM,Rejected-Technical,L2 bidder,27-Feb-2025 06:46 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2737905,indurekha sahoo,09-Jan-2025 11:28 AM,Rejected-Technical,L2 bidder,27-Feb-2025 06:46 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2727450,MANAS KUMAR MOHAPATRA,08-Jan-2025 02:52 PM,Rejected-Technical,L2 bidder,27-Feb-2025 06:46 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2740182,M/S MONALISA SASMAL,09-Jan-2025 02:16 PM,Rejected-Technical,L2 bidder,27-Feb-2025 06:46 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2737719,NAGENDRA JENA,09-Jan-2025 01:31 PM,Rejected-Technical,L2 bidder,27-Feb-2025 06:46 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2736030,NIRUPAMA BEHERA,07-Jan-2025 09:58 PM,Rejected-Technical,L2 bidder,27-Feb-2025 06:46 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2738431,PRAKASH CHANDRA BHUYAN,08-Jan-2025 06:45 PM,Rejected-Technical,L2 bidder,27-Feb-2025 06:46 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2736550,REETA SENAPATI,08-Jan-2025 12:47 PM,Accepted-AOC,L1 bidder,02-Jun-2025 02:48 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2735666,SUSHREE SUVASMITA BEHERA,07-Jan-2025 09:13 PM,Rejected-Technical,L2 bidder,27-Feb-2025 06:46 PM,,,,,,,AOC
