S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1,ICICI BANK,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,"Construction of Model Anganwadi Center at Hirakud Colony in Ward No.1, Barbil Municipality","Construction of Model Anganwadi Center at Hirakud Colony in Ward No.1, Barbil Municipality",Please refer Tender documents. ,NA ,"25,84,000",Civil Works - Buildings,NA ,Tender,120.0,120.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality,No ,No,"25,840",Yes,percentage,1.0%,Nil,Nil,26-Feb-2024 10:00 AM,12-Mar-2024 11:00 AM,26-Feb-2024 10:00 AM,11-Mar-2024 05:00 PM,NA ,NA ,26-Feb-2024 10:00 AM,11-Mar-2024 05:00 PM,06-Jun-2024 11:00 AM,Municipal Bodies||Barbil Municipality,BBLM-8/2023-24,2024_ORULB_101548_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Document as Per Tender Call Notice,AOC,Laxman mahanta,Internal,"Accountant,ME,EO,AEE PWD",Biswajit Ray,06-Jun-2024 10:50 AM,06-Jun-2024 11:00 AM,techsummary_495479.pdf (966.03 KB),Finance,Open,Biswajit Ray,07-Jun-2024 06:48 PM,finance_495479.pdf,BOQ Comparative Chart,Laxman Mahanta,Internal,,Ramesh Chandra Nayak,24-Jun-2025 03:17 PM,finsummary_495479.pdf (763.33 KB),Technical,open,Biswajit Ray,13-Mar-2024 11:23 AM,technical_495479.pdf,1,2473760,RAMA CHANDRA DAS,11-Mar-2024 02:03 PM,Accepted-AOC,Lowest,24-Jun-2025 03:20 PM,1.0,2473760.0,RAMA CHANDRA DAS,INR,"2,684,981",Municipal Bodies||Barbil Municipality,2024_ORULB_101548_13,BBLM-8/2023-24,"Construction of Model Anganwadi Center at Hirakud Colony in Ward No.1, Barbil Municipality",24-Jun-2025,"INR 2,684,981",120.0,Ramesh Chandra Nayak,24-Jun-2025 03:20 PM,wO13.pdf (525.00 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2473728,RANJIT KUMAR MAHANTA,11-Mar-2024 02:13 PM,Rejected-Finance,Second,24-Jun-2025 03:17 PM,,,,,,,,,,,,,,,,AOC
