Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",Construction of road from Old Chitapari to Surulkonda via MV-51 under MMSY-TRIP in the Districts of Malkangiri for the year 2024-25.,Construction of road from Old Chitapari to Surulkonda via MV-51 under MMSY-TRIP in the Districts of Malkangiri for the year 2024-25.,N.A. ,NA ,"3,00,60,000",Civil Works - Roads,NA ,Tender,90.0,272.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 18/2024-25,2025_CERWI_110486_15,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,3rd corrigendum,Date,,1.0,ICICI BANK,"3,01,000",Yes,fixed,,Nil,Nil,01-Mar-2025 06:00 PM,13-Mar-2025 11:00 AM,01-Mar-2025 06:00 PM,12-Mar-2025 05:00 PM,01-Mar-2025 06:00 PM ,11-Mar-2025 02:00 PM ,01-Mar-2025 06:00 PM,12-Mar-2025 05:00 PM,24-Apr-2025 11:00 AM,AOC,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda",Prabhakara Behera,12-Jun-2025 01:47 PM,finsummary_531891.pdf (912.84 KB),Technical,BIDDERS NAME,Prabhakara Behera,26-Mar-2025 07:35 PM,technical_531891.pdf,Finance,cs,Prabhakara Behera,12-Jun-2025 01:39 PM,finance_531891.pdf,BOQ Comparative Chart,1,2851019,Binay Ray,11-Mar-2025 06:22 PM,Rejected-AOC,REJECT,12-Jun-2025 02:00 PM,1.0,2848172.0,"M/S SRI SAI CONSTRUCTION,PROP.SRI M NAGESWAR REDDY",INR,"25,554,099.13",CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_110486_15,CCERWCSBD Online - 18/2024-25,Construction of road from Old Chitapari to Surulkonda via MV-51 under MMSY-TRIP in the Districts of Malkangiri for the year 2024-25.,12-Jun-2025,"INR 30,060,109.552",272.0,Prabhakara Behera,12-Jun-2025 02:00 PM,AOCOLDCHITAPARI.pdf (1514.00 KB),Award of contract to M/S SRI SAI CONSTRUCTION through transparency lottery system,AOC
,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,corrigendum-4,Technical Bid,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,2844456,HARIBANDHU KHORA,10-Mar-2025 11:59 PM,Rejected-AOC,REJECT,12-Jun-2025 02:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,2850784,Jitendra Mohanty,12-Mar-2025 02:19 PM,Rejected-AOC,REJECT,12-Jun-2025 02:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4,2851452,Kiran Kumar Gouda,12-Mar-2025 12:09 PM,Rejected-AOC,REJECT,12-Jun-2025 02:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,5,2845138,KRISHNA PADA SARKAR,10-Mar-2025 09:19 PM,Rejected-AOC,REJECT,12-Jun-2025 02:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,6,2843069,Lalit Somani,11-Mar-2025 08:04 PM,Rejected-AOC,REJECT,12-Jun-2025 02:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,7,2851128,Mahadev Dey,12-Mar-2025 10:01 AM,Rejected-AOC,REJECT,12-Jun-2025 02:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,8,2852262,MAHARAJ BISWAS,12-Mar-2025 03:51 PM,Rejected-AOC,REJECT,12-Jun-2025 02:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,9,2850893,MAHENDRA ANUGULIA,12-Mar-2025 02:45 PM,Rejected-Technical,DISQUALIFIED,21-Apr-2025 10:01 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,10,2852121,MALAY SARKAR,12-Mar-2025 02:21 PM,Rejected-AOC,REJECT,12-Jun-2025 02:00 PM,,,,,,,,,,,,,,,,,AOC
