Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
PK HARIPAL,Internal,K BEHERA Sr. DAO S PARIDA JE ESTIMATOR,Pratap Kumar Haripal,24-Jun-2025 04:47 PM,techsummary_536263.pdf (405.49 KB),1,2889277,M/S GOUTAM MAJHI,21-Apr-2025 12:09 PM,Rejected-AOC,Lottery looser,24-Jun-2025 04:55 PM,24-Jun-2025,"INR 2,093,463",60.0,Pratap Kumar Haripal,24-Jun-2025 04:55 PM,WO.pdf (1007.00 KB),Agreement No. 144 P1 of 2025-26 (Contract value excluding GST) Date of Commencement- 17.06.2025 Date of Completion- 16.08.2025,1.0,2889018.0,SS ENGINEERING,INR,"2,093,463",Finance,The validity of the tender is subject to the result of detail scrutiny of documents submitted by the bidder online.,Kapilendra Behera,25-May-2025 02:06 PM,finance_536263.pdf,BOQ Comparative Chart,PK HARIPAL,Internal,K BEHERA Sr. DAO S PARIDA JE ESTIMATOR,Pratap Kumar Haripal,24-Jun-2025 04:50 PM,finsummary_536263.pdf (458.22 KB),EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,2025_EICCL_112439_7,SE (R and B) Angul-01/ 2025-26,"Construction of 3ph 3w 11kv, 3p4w LT line and Sub station due to Widening and Strengthening of Angul Chhendipada Road from Bagedia to Nuapada via Tangiri (0/0 KM to 8/477 Km) of Angul District For the Year 2024-25.",AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid Cost and EMD online, GSTIN, PAN, RC, Affidavit, and Other documents as per DTCN.","Construction of 3ph 3w 11kv, 3p4w LT line and Sub station due to Widening and Strengthening of Angul Chhendipada Road from Bagedia to Nuapada via Tangiri (0/0 KM to 8/477 Km) of Angul District For the Year 2024-25.","Construction of 3ph 3w 11kv, 3p4w LT line and Sub station due to Widening and Strengthening of Angul Chhendipada Road from Bagedia to Nuapada via Tangiri (0/0 KM to 8/477 Km) of Angul District For the Year 2024-25.",Please refer Tender documents. ,NA ,"24,62,608",Electrical Works,NA ,Tender,90.0,60.0,ANGUL,759122.0,NA ,NA ,NA ,O/O the Superintending Engineer Angul RB Division,No ,No,11-Apr-2025 03:00 PM,22-Apr-2025 11:00 AM,11-Apr-2025 03:00 PM,21-Apr-2025 05:00 PM,NA ,NA ,11-Apr-2025 03:00 PM,21-Apr-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,"24,700",Yes,fixed,,Nil,Nil,1,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,SE (R and B) Angul-01/ 2025-26,2025_EICCL_112439_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer Angul R and B Division,O/O the Superintending Engineer Angul RB Division,AOC
,,,,,,2,2889018,SS ENGINEERING,19-Apr-2025 06:24 PM,Accepted-AOC,Lottery winner,24-Jun-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
