Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
20-Nov-2024 05:00 PM,05-Dec-2024 11:00 AM,20-Nov-2024 05:00 PM,04-Dec-2024 05:00 PM,NA ,NA ,20-Nov-2024 05:00 PM,04-Dec-2024 05:00 PM,20-Dec-2024 11:00 AM,"10,000",0.0,Nil,Nil,No,"7,77,000",Yes,fixed,,Nil,Nil,Improvement such as widening and strengthening of Baruan Balichandrapur road (Baruan - Birupa Bridge) from 13/374 km to 18/000 km in the district of Jajpur under state plan for the year 2024-25,Improvement such as widening and strengthening of Baruan Balichandrapur road (Baruan - Birupa Bridge) from 13/374 km to 18/000 km in the district of Jajpur under state plan for the year 2024-25,Please refer Tender documents  ,NA ,"7,77,12,220",Civil Works - Roads,NA ,Tender,90.0,270.0,Choudwar,754025.0,NA ,NA ,NA ,CCE Dhenkanal R and B Circle Dhenkanal,No ,No,CCE Dhenkanal R and B Circle Dhenkanal,CCE Dhenkanal R and B Circle Dhenkanal,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, EMD, PAN, Valid RC",EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB DIVN CHARBATIA,CCE DKL R and B/10-2024-25,2024_EICCL_107304_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,CCE Dhenkanal Circle,Internal,SE DAO Estimator of Division PA to CCE Estimator of Circle,Ajit Kumar Ray,30-Jun-2025 04:37 PM,finsummary_517145.pdf (158.12 KB),EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB DIVN CHARBATIA,2024_EICCL_107304_2,CCE DKL R and B/10-2024-25,Improvement such as widening and strengthening of Baruan Balichandrapur road (Baruan - Birupa Bridge) from 13/374 km to 18/000 km in the district of Jajpur under state plan for the year 2024-25,Technical,Opened,Ajit Kumar Ray,05-Dec-2024 03:55 PM,technical_517145.pdf,1.0,2680552.0,DEBABRATA SAMAL,INR,"66,063,159",30-Jun-2025,"INR 77,712,220.4",270.0,Ajit Kumar Ray,30-Jun-2025 04:44 PM,Baruan_Balichandrapur.pdf (1707.00 KB),Agreement on dt.15.05.2025,1,2670877,ANANTA PRASAD MALIK,04-Dec-2024 12:27 PM,Rejected-AOC,Disqualify in transparent lottery,30-Jun-2025 04:45 PM,Finance,Opened,Lopamudra Priyadarsini,20-Dec-2024 03:58 PM,finance_517145.pdf,BOQ Comparative Chart,CCE Dhenkanal Circle,Internal,SE DAO Estimator of Division PA to CCE Estimator of Dhenkanal Circle,Ajit Kumar Ray,17-Dec-2024 04:48 PM,20-Dec-2024 11:00 AM,techsummary_517145.pdf (1245.90 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit, Machineries and other documents as per DTCN",,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2674953,ASHUTOSH CONSTRUCTION,04-Dec-2024 10:23 AM,Rejected-AOC,Quoted rate is in higher side,30-Jun-2025 04:45 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2681314,CHITTA RANJAN DAS,04-Dec-2024 03:30 PM,Rejected-Technical,Disqualified as per clause No 10 and 14 of DTCN,17-Dec-2024 04:48 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2680552,DEBABRATA SAMAL,04-Dec-2024 12:45 PM,Accepted-AOC,Winner of the transparent lottery and work has been awarded,30-Jun-2025 04:45 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2671848,MESSERS B L CONSTRUCTION,04-Dec-2024 12:15 PM,Rejected-Technical,Disqualified as per clause No 14 of DTCN,17-Dec-2024 04:48 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2681399,M/S B.B CONSTRUCTION,04-Dec-2024 03:39 PM,Rejected-Technical,Disqualified as per clause No 6 and 10 of DTCN,17-Dec-2024 04:48 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2681474,PRIYABRATA SAMAL,04-Dec-2024 04:05 PM,Rejected-AOC,Disqualify in transparent lottery,30-Jun-2025 04:45 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2670909,SIBA PRASAD PARIDA,04-Dec-2024 07:39 AM,Rejected-AOC,Disqualify in transparent lottery,30-Jun-2025 04:45 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2680236,SRI KRISHNA CONSTRUCTION,04-Dec-2024 09:12 AM,Rejected-Technical,Disqualified as per DTCN clause No 7,17-Dec-2024 04:48 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2680624,TUSHITA PROJECTS PRIVATE LIMITED,04-Dec-2024 12:10 PM,Rejected-AOC,Quoted rate is in higher side,30-Jun-2025 04:45 PM,,,,,,,,,,,,,,AOC
