Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,COMPARATIVE STATEMENT,Anil Kumar Das,16-Apr-2025 03:41 PM,finance_534959.pdf,BOQ Comparative Chart,13-Jun-2025,"INR 388,861",90.0,Anil Kumar Das,17-Jun-2025 08:37 PM,3980.pdf (318.00 KB),CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,2025_CERWI_111988_22,EERWPH-40/2024-25,PH Works to Construction of Ayurvedic Dispensary Building at Pithagola of Harichandanpur Block in the District of Keonjhar for the year 2023-24,1.0,2882510.0,PRASANNA KUMAR PRADHAN,INR,"388,861",1,2880934,AKHOJI RAY,10-Apr-2025 04:16 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:27 PM,Executive Engineer,Internal,,Anil Kumar Das,28-Apr-2025 02:19 PM,techsummary_534959.pdf (884.73 KB),Executive Engineer,Internal,,Debasish Soren,13-Jun-2025 01:27 PM,finsummary_534959.pdf (60.80 KB),AOC,1.0,Tender fee will be read as Rs.2000/- instead of Rs.4000/-.,Fee,,02-Apr-2025 11:00 AM,15-Apr-2025 11:00 AM,02-Apr-2025 11:00 AM,11-Apr-2025 05:00 PM,NA ,NA ,02-Apr-2025 11:00 AM,11-Apr-2025 05:00 PM,"2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License Document as per tender class of contractor in NIT, GST, Certificate, PAN Card.","Executive Engineer,RW (PH) Division, BBSR","SE RW (PH) DIVISION, BBSR Behind Esplande mall, Bomikhal, Rasulgarh,751010",CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,EERWPH-40/2024-25,2025_CERWI_111988_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,600",Yes,fixed,,Nil,Nil,PH Works to Construction of Ayurvedic Dispensary Building at Pithagola of Harichandanpur Block in the District of Keonjhar for the year 2023-24,PH Works to Construction of Ayurvedic Dispensary Building at Pithagola of Harichandanpur Block in the District of Keonjhar for the year 2023-24,Please refer Tender documents. ,NA ,"4,57,429",Civil Works - Buildings,NA ,Tender,90.0,NA ,Pithagola,758028.0,NA ,NA ,NA ,"O/O THE SE RW (PH) DIVISION,BHUBANESWAR",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,2882565,DILLIP KUMAR BEHERA,11-Apr-2025 04:41 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"EMD, Tender Paper cost, Affidavit for correctness and no Relation Certificate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,2882361,GITA RANI SAHOO,11-Apr-2025 03:17 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,2880371,GURUDEV NAIK,11-Apr-2025 08:39 AM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,2879192,KAPILA CHARAN MALIK,08-Apr-2025 05:49 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,2881506,MINATI PANDA,11-Apr-2025 11:35 AM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,2882461,M/S SAI CONSTRUCTION,11-Apr-2025 04:11 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,2877257,NISHIKANTA SUTAR,06-Apr-2025 12:19 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,2879628,PRADEEP KUMAR MALIK,09-Apr-2025 12:30 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,2881720,PRAJNA PARAMITA BARIK,11-Apr-2025 11:11 AM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
