S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,SUB-COLLECTOR DHARMAGARH-CUM-CHAIRMAN RMC JUNAGARH,DHARMAGARH,"1,18,808",Yes,percentage,1.0%,Nil,Nil,"10,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,DETAIL TENDER CALL NOTICE,Odisha State Agricultural Marketing Board||RMC Junagarh,03/RMC- Junagarh/2025-26,2025_OSAMB_112903_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of Infrastructures and Developmental Work at different Market Yards of Dharmagarh Block under RMC, Junagarh","Construction of Infrastructures and Developmental Work at different Market Yards of Dharmagarh Block under RMC, Junagarh",DETAIL TENDER CALL NOTICE ,NA ,"1,18,80,832",Civil Works - Others,NA ,Rate Contract,90.0,180.0,Dharmagarh,766105.0,NA ,NA ,NA ,RMC JUNAGARH,No ,No,29-Apr-2025 11:30 AM,16-May-2025 09:00 AM,29-Apr-2025 11:30 AM,15-May-2025 05:00 PM,29-Apr-2025 11:30 AM ,05-May-2025 05:00 PM ,29-Apr-2025 11:30 AM,15-May-2025 05:00 PM,26-May-2025 11:30 AM,AOC,18-Jun-2025,"INR 10,099,895.28",180.0,Udit Kumar Babu,18-Jun-2025 09:37 AM,Behera_Dharmgarh.pdf (286.00 KB),work order,1,2915325,CHAITANYA MAJHI,15-May-2025 11:47 AM,Rejected-Technical,Not Submitted Annual Balance Sheet and Annual Turnover,23-May-2025 04:12 PM,Chairman,Internal,"Secretary, JE, AE,Accountant",Udit Kumar Babu,23-May-2025 04:12 PM,26-May-2025 11:30 AM,techsummary_537913.pdf (1563.26 KB),Finance,ok,Udit Kumar Babu,26-May-2025 11:54 AM,,BOQ Comparative Chart,Odisha State Agricultural Marketing Board||RMC Junagarh,2025_OSAMB_112903_1,03/RMC- Junagarh/2025-26,"Construction of Infrastructures and Developmental Work at different Market Yards of Dharmagarh Block under RMC, Junagarh",Technical,OK,Udit Kumar Babu,17-May-2025 11:56 AM,,Chairman,Internal,"Secretary, JE, AE, Accountant",Udit Kumar Babu,18-Jun-2025 09:30 AM,finsummary_537913.pdf (285.86 KB),1.0,2917939.0,M/S HEMANTA AGRAWAL AND CO,INR,"10,099,895.28",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2917871,CH SUBASH CHANDRA PATRO,15-May-2025 12:18 PM,Rejected-Technical,Not submitted ESI latest Challan Balance Sheet and Annual Turnover,23-May-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2918918,Dhiraj Kumar Agrawal,15-May-2025 02:10 PM,Rejected-AOC,AS per lottery system,18-Jun-2025 09:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2917002,GIRISH CHANDRA BEHERA,15-May-2025 01:36 PM,Rejected-Technical,Not Submitted Latest EPF Challan Audit Balance Sheet and Annual Turnover,23-May-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2918005,GOVIND LAL AGRAWAL,14-May-2025 08:07 PM,Rejected-Technical,Not Submitted Latest EPF Challan Audit Balance Sheet and Annual Turnover,23-May-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2919060,JAYANTA MEHER,15-May-2025 03:10 PM,Rejected-Technical,Not Submitted Audit Balance Sheet and Annual Turnover,23-May-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2919208,KASHINATH MOHARANA,15-May-2025 04:47 PM,Rejected-Technical,Not Submitted Latest ESI and EPF Challan Audit Balance Sheet and Annual Turnover,23-May-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2917049,MANOJ KUMAR MOHANTY,13-May-2025 09:04 PM,Rejected-AOC,AS per lottery system,18-Jun-2025 09:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2916975,MOHIT KUMAR AGRAWAL,14-May-2025 07:36 PM,Rejected-Technical,Not Submitted EPF lates Deposit Challan,23-May-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2917939,M/S HEMANTA AGRAWAL AND CO,14-May-2025 06:51 PM,Accepted-AOC,AS per lottery system,18-Jun-2025 09:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
