Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Construction of road from Mangalajodi to Tarimi under MMSY-CMRL in the Dist. of Khordha for the year 2024-25,Construction of road from Mangalajodi to Tarimi under MMSY-CMRL in the Dist. of Khordha for the year 2024-25,Please refer Tender documents. ,NA ,"1,78,26,869",Civil Works - Roads,NA ,Tender,90.0,180.0,Bhubaneswar,751022.0,NA ,NA ,NA ,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",No ,No,CE RW I||RWCIRCLE-BHUBANESWAR,Tender Online C.C-25 of 2024,2025_CERWI_109057_32,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,Other Corrigendum,Other,,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate",ChiefConstructionEngineer,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",21-Jan-2025 02:00 PM,29-Jan-2025 11:00 AM,21-Jan-2025 02:00 PM,28-Jan-2025 05:00 PM,NA ,NA ,21-Jan-2025 02:00 PM,28-Jan-2025 05:00 PM,15-Apr-2025 05:00 PM,"1,78,269",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,AOC,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivisionII Nayagarh SrDAORWDivision Bhubaneswar PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Mausumi Mishra,09-Apr-2025 01:49 PM,15-Apr-2025 05:00 PM,techsummary_523768.pdf (1347.82 KB),Finance,15 nos bidder qualified in the tender,Mausumi Mishra,15-Apr-2025 07:36 PM,,BOQ Comparative Chart,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivisionII Nayagarh SrDAORWDivision Bhubaneswar PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Mausumi Mishra,16-Jun-2025 12:31 PM,finsummary_523768.pdf (253.50 KB),Technical,15 nos bidder participated in the tender,Kumari Suvalaxmi,02-Feb-2025 12:28 PM,,1,2782753,BABU BIRAJA PRASAD,28-Jan-2025 12:24 PM,Rejected-Finance,Other than winner of the transparent lottery system,16-Jun-2025 12:31 PM,1.0,2783041.0,PRATAP KUMAR UDAYASINGH,INR,"15,154,622",CE RW I||RWCIRCLE-BHUBANESWAR,2025_CERWI_109057_32,Tender Online C.C-25 of 2024,Construction of road from Mangalajodi to Tarimi under MMSY-CMRL in the Dist. of Khordha for the year 2024-25,16-Jun-2025,"INR 15,154,622",180.0,Naran Murmu,16-Jun-2025 12:39 PM,MangalajoriTarimAgmtDetails.pdf (1233.00 KB),"Work order letter No.5445 dtd.11.06.2025 and Agmt No.16 P1 of 2025-26 dtd.11.06.2025 of Superintending Engineer, Rural Works Division, Bhubaneswar",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in Hand, Machineries, Affidavit of Correctness Certificate",,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2782813,BIBHUTI BHUSAN TAREI,28-Jan-2025 10:55 AM,Rejected-Finance,Other than L1 and L2,16-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relationship Certificate, ATO, Work Experience and required documents as per DTCN",,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2783415,CHANDAN KUMAR PAIKARAY,28-Jan-2025 04:26 PM,Rejected-Finance,Other than winner of the transparent lottery system,16-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,2783352,evertex projects pvt ltd,28-Jan-2025 01:13 PM,Rejected-Finance,Other than L1,16-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,2781040,FAYAJ INFRATECH PVT LTD,28-Jan-2025 07:42 AM,Rejected-Finance,Other than L1 and L2,16-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,2775293,HRUSHIKESH BISWAL,24-Jan-2025 06:06 PM,Rejected-Finance,Other than winner of the transparent lottery system,16-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,2782624,JITENDRA PRASAD BEHERA,28-Jan-2025 03:50 PM,Rejected-Finance,Other than winner of the transparent lottery system,16-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,2783867,JUGAL KISHORE BEHERA,28-Jan-2025 03:12 PM,Rejected-Finance,Other than L1 and L2,16-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,2783427,MANAS RANJAN RAUT,28-Jan-2025 04:47 PM,Rejected-Finance,Other than L1 and L2,16-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,2778813,M/S MAA TRISHAKTI CONSTRUCTIONS,26-Jan-2025 05:47 PM,Rejected-Finance,Other than winner of the transparent lottery system,16-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,AOC
