S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2878823.0,BIRENDRA KUMAR PATRA,INR,"2,092,517",Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,2025_RWSS_112120_7,BID NO 24 OF 2024 -25,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Kaneheichapar, Dangiabahal, Bender under Khaprakhol Block in Balangir District",ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,25-Jun-2025 12:16 PM,techsummary_535129.pdf (1887.54 KB),25-Jun-2025,"INR 2,461,495",45.0,Khagendra Barik,25-Jun-2025 12:36 PM,kanheichapar.pdf (1888.00 KB),L1 BIDDER HAS RESPOND,Finance,bid has been opened,Khagendra Barik,12-Apr-2025 07:15 PM,finance_535129.pdf,BOQ Comparative Chart,ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,25-Jun-2025 12:32 PM,finsummary_535129.pdf (1887.54 KB),1,2878497,Arihant Electricals and Engineers,09-Apr-2025 09:04 PM,Rejected-Finance,AFTER TRANASPERENT OF LOTTERY,25-Jun-2025 12:32 PM,AOC,02-Apr-2025 03:00 PM,11-Apr-2025 11:00 AM,02-Apr-2025 03:00 PM,10-Apr-2025 05:00 PM,NA ,NA ,02-Apr-2025 03:00 PM,10-Apr-2025 05:00 PM,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Kaneheichapar, Dangiabahal, Bender under Khaprakhol Block in Balangir District","Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Kaneheichapar, Dangiabahal, Bender under Khaprakhol Block in Balangir District",Please refer DTCN ,NA ,"24,61,495",Electrical Works,Electrical Works ,Tender,90.0,45.0,"Kaneheichapar, Dangiabahal under Khaprakhol Block",767028.0,NA ,NA ,NA ,O/o Superintending Engineer RWSS Division Balangir,No ,No,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,BID NO 24 OF 2024 -25,2025_RWSS_112120_7,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"24,615",Yes,percentage,1.0%,Nil,Nil,Superintending Engineer,Superintending Engineer RWSS Division Balangir,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, EMD, GST,PAN, Contractor Registration Certificate, Experience Certificate etc",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2879213,ASHOK CHANDRA PATRA,08-Apr-2025 06:34 PM,Rejected-Finance,AFTER TRANASPERENT OF LOTTERY,25-Jun-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2878823,BIRENDRA KUMAR PATRA,10-Apr-2025 11:53 AM,Accepted-AOC,AWARDED AS PER OPWD CODE,25-Jun-2025 12:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2880659,MAA BHUBANESWARI ELECTRICALS,10-Apr-2025 04:22 PM,Rejected-Finance,AFTER TRANASPERENT OF LOTTERY,25-Jun-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2877150,"M/s Ramchandi Construction, Nayagargh",06-Apr-2025 09:25 AM,Rejected-Finance,AFTER TRANASPERENT OF LOTTERY,25-Jun-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2877387,M/S SAMBEET SUPPLIERS,06-Apr-2025 06:00 PM,Rejected-Finance,AFTER TRANASPERENT OF LOTTERY,25-Jun-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2880679,M/S SAROJINEE POWER AND CONSTRUCTION,10-Apr-2025 01:25 PM,Rejected-Finance,AFTER TRANASPERENT OF LOTTERY,25-Jun-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2880078,PABITRA ELECTRICAL WORKSHOP,10-Apr-2025 03:16 PM,Rejected-Finance,AFTER TRANASPERENT OF LOTTERY,25-Jun-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2880844,PNP CONSTRUCTION,10-Apr-2025 02:58 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,25-Jun-2025 12:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2879969,SIMANCHAL KUMAR PANDA,09-Apr-2025 05:42 PM,Rejected-Finance,AFTER TRANASPERENT OF LOTTERY,25-Jun-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
