S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,Block Development Officer,"Panchayat Samiti, Biridi",Construction of additional class room at Mahaveer High School of Uttarasasan G.P. of Biridi Block,Civil Building Work,Please refer Tender documents. ,NA ,"14,72,857",Civil Works - Buildings,NA ,Tender,90.0,180.0,Biridi,754111.0,NA ,NA ,NA ,"O/o the Panchayat Samiti, Biridi",No ,No,"14,800",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,21-Apr-2025 10:00 AM,03-May-2025 11:00 AM,21-Apr-2025 10:00 AM,02-May-2025 05:30 PM,NA ,NA ,21-Apr-2025 10:00 AM,02-May-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor R.C, Affidavit, NRC, undertakings, GSTIN, PAN and any other documents as per SBD/DTCN",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jagatsinghpur||BIRIDI Block,NOTICE NO.BDO-BPS-02 of 2025-26,2025_PRBDI_112607_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Block Development Officer,Internal,,AYUSHI PATI,20-Jun-2025 08:53 PM,finsummary_537033.pdf (601.28 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jagatsinghpur||BIRIDI Block,2025_PRBDI_112607_1,NOTICE NO.BDO-BPS-02 of 2025-26,Construction of additional class room at Mahaveer High School of Uttarasasan G.P. of Biridi Block,1.0,2902594.0,Tapas Kumar Jena,INR,"1,252,076.1",Finance,"The opening of the Technical and Financial Bid, it is found that 11 nos. of bidder has been participated in the above said work",AYUSHI PATI,03-May-2025 12:16 PM,,BOQ Comparative Chart,23-Jun-2025,"INR 1,252,076.1",180.0,AYUSHI PATI,23-Jun-2025 09:53 PM,MahaveerWO.pdf (464.00 KB),1,2894442,AKSHSAYA KUMAR BRAHMA,29-Apr-2025 09:53 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,20-Jun-2025 08:53 PM,Block Development Officer,Internal,,AYUSHI PATI,20-Jun-2025 08:26 PM,techsummary_537033.pdf (601.28 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2902924,BATAKRUSHNA SETHY,01-May-2025 08:03 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,20-Jun-2025 08:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2898531,DIPAK KUMAR BEHERA,28-Apr-2025 04:51 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,20-Jun-2025 08:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2898568,KUMUDINI KUNDA,29-Apr-2025 04:31 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,20-Jun-2025 08:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2902582,Mahaveer Enterprises,30-Apr-2025 06:07 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,20-Jun-2025 08:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2903882,MANASI BEHERA,02-May-2025 03:17 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,20-Jun-2025 08:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2903498,NIRUPAMA BEHERA,01-May-2025 09:58 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,20-Jun-2025 08:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2894422,PRASANTA KUMAR PANI,02-May-2025 02:05 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,20-Jun-2025 08:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2901260,RANJITA SAHOO,01-May-2025 01:06 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,20-Jun-2025 08:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2903471,SUSILA KUMAR DASH,01-May-2025 08:58 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,20-Jun-2025 08:53 PM,,,,,,,AOC
