Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Downloaded financial bid documents of all the bidders have been downloaded successfully.,Antaryami Mohanty,08-Oct-2024 02:50 PM,finance_507458.pdf,BOQ Comparative Chart,"Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Sarat Chandra Ghadei,08-Oct-2024 01:52 PM,08-Oct-2024 02:00 PM,techsummary_507458.pdf (3692.75 KB),15-Jun-2025,"INR 6,752,660.37",180.0,Ratnakar Dalai,15-Jun-2025 10:23 AM,WOJajpur11_01.pdf (524.00 KB),Contract Awarded,1,2562632,ABHISHEK NARAYAN MOHANTY,30-Sep-2024 02:08 PM,Rejected-Finance,Did not win the lottery,29-Nov-2024 01:34 PM,1.0,2564575.0,Pravu Prasad Dhal,INR,"6,752,660.37","Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Sudhanshu Sekhar Nayak,29-Nov-2024 01:34 PM,finsummary_507458.pdf (521.27 KB),Technical,Tender documents of all the bidders have been downloaded successfully.,Sarat Chandra Ghadei,04-Oct-2024 10:58 PM,technical_507458.pdf,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,2024_CDJID_105109_1,e-Procurement Notice No.11/ 2024-25,JJPR-1/24-25 Restoration to CE No.5(b) A on Baitarani Left Embankment from RD 7000 M to 7140M.,AOC,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, PAN, Contractor Registration Certificate",Superintending Engineer,"O/o SE, Jajpur Irrigation Division, Jajpur",1.0,ICICI BANK,"10,000",Nil,Nil,No,"79,430",Yes,fixed,,Nil,Nil,24-Sep-2024 10:00 AM,04-Oct-2024 11:30 AM,24-Sep-2024 10:00 AM,02-Oct-2024 05:00 PM,24-Sep-2024 10:00 AM ,30-Sep-2024 05:00 PM ,24-Sep-2024 10:00 AM,02-Oct-2024 05:00 PM,08-Oct-2024 02:00 PM,JJPR-1/24-25 Restoration to CE No.5(b) A on Baitarani Left Embankment from RD 7000 M to 7140M.,Canal embankment restoration,Please refer Tender documents. ,NA ,"79,43,372",Civil Works - Canal,NA ,Tender,90.0,180.0,Akhuapada,756122.0,NA ,NA ,NA ,"O/o SE, Jajpur Irrigation Division, Jajpur",No ,No,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,e-Procurement Notice No.11/ 2024-25,2024_CDJID_105109_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,2,2565176,ABINASH BEURIA,01-Oct-2024 08:40 PM,Rejected-Finance,Did not win the lottery,29-Nov-2024 01:34 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,2560937,AJAYA KUMAR MISHRA,27-Sep-2024 12:26 PM,Rejected-Finance,Did not win the lottery,29-Nov-2024 01:34 PM,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,2563270,AMARESH PANDA,30-Sep-2024 01:34 PM,Rejected-Finance,Did not win the lottery,29-Nov-2024 01:34 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,2565255,AMIT BARAN DAS,01-Oct-2024 09:59 PM,Rejected-Finance,Did not win the lottery,29-Nov-2024 01:34 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,2564061,ARJUN CHARAN PRUSTY,30-Sep-2024 08:00 PM,Rejected-Finance,Did not win the lottery,29-Nov-2024 01:34 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,2565311,ARUNA JENA,01-Oct-2024 11:10 PM,Rejected-Finance,Did not win the lottery,29-Nov-2024 01:34 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,2563846,ARUNA KUMAR SAHOO,30-Sep-2024 06:38 PM,Rejected-Finance,Did not win the lottery,29-Nov-2024 01:34 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,2565556,ARUN KUMAR PATRA,02-Oct-2024 12:13 PM,Rejected-Finance,Did not win the lottery,29-Nov-2024 01:34 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,2565260,ASHUTOSH ENGINEERING,01-Oct-2024 10:12 PM,Rejected-Finance,Did not win the lottery,29-Nov-2024 01:34 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
