EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,07,000",Yes,fixed,,Nil,Nil,Improvement of Baghamari-Gania-Daspalla Road from 55/00 km to 60/00 km and 65/00 km to 70/00 km under state plan for the year 2024-25.,Improvement of Baghamari-Gania-Daspalla Road from 55/00 km to 60/00 km and 65/00 km to 70/00 km under state plan for the year 2024-25.,Please refer Tender documents. ,NA ,"6,06,66,955",Civil Works - Roads,NA ,Tender,90.0,270.0,Nayagarh,752069.0,NA ,NA ,NA ,O/O CCE Khordha RandB Circle Khordha,No ,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CCE Khordha RandB Circle Khordha,O/o the Chief Construction Engineer Khordha R and B Circle Khordha,1.0,Corrigendum,Date,,EIC-CIVIL||SERNB-CIRCLE-KHURDA,10 of 2024-25,2024_EICCL_105628_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy Tender cost, EMD , GSTIN, PAN, Contractor RC and Affidavit",09-Oct-2024 01:00 PM,30-Oct-2024 11:30 AM,09-Oct-2024 01:00 PM,29-Oct-2024 05:00 PM,NA ,NA ,09-Oct-2024 01:00 PM,29-Oct-2024 05:00 PM,24-Jan-2025 11:30 AM,AOC,25-Jun-2025,"INR 51,572,978",270.0,Rama Chandra Sethi,25-Jun-2025 01:30 PM,agreementjrishnarani.pdf (633.00 KB),1,2592608,DHANESWAR SAHU,24-Oct-2024 03:50 PM,Rejected-Finance,L2 Bidder,25-Jun-2025 01:26 PM,Finance,open,Nibesh Chandra Majhi,05-Feb-2025 03:32 PM,,BOQ Comparative Chart,cce,Internal,"pa,dao,se",Rasmi Ranjan Sahoo,21-Jan-2025 03:04 PM,24-Jan-2025 11:30 AM,techsummary_509533.pdf (2379.71 KB),cce,Internal,,Rama Chandra Sethi,25-Jun-2025 01:26 PM,finsummary_509533.pdf (413.32 KB),Technical,OPEN,Rasmi Ranjan Sahoo,05-Nov-2024 12:58 PM,,EIC-CIVIL||SERNB-CIRCLE-KHURDA,2024_EICCL_105628_3,10 of 2024-25,Improvement of Baghamari-Gania-Daspalla Road from 55/00 km to 60/00 km and 65/00 km to 70/00 km under state plan for the year 2024-25.,1.0,2598745.0,KRISHNARANI MOHAPATRA,INR,"51,572,978",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Documents as per DTCN,,,,,,,,,,AOC,,,,,,,2,2598745,KRISHNARANI MOHAPATRA,29-Oct-2024 04:03 PM,Accepted-AOC,Agreement done,25-Jun-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,AOC,,,,,,,3,2584126,M/S SHREE GANESH CONSTRUCTION,23-Oct-2024 05:45 PM,Rejected-Technical,Disqualified,21-Jan-2025 03:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2597053,Paban Kumar Agrawal,29-Oct-2024 01:23 PM,Rejected-Finance,Other than lottery bidder,25-Jun-2025 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2596218,RABINDRA NATH SAHOO,28-Oct-2024 02:07 PM,Rejected-Technical,Disqualified,21-Jan-2025 03:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2580726,R K ROUT AND PARTNERS,18-Oct-2024 04:55 PM,Rejected-Technical,Disqualified,21-Jan-2025 03:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
