Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
18-Jun-2025,"INR 471,377",90.0,Anil Kumar Das,19-Jun-2025 12:09 PM,4063.pdf (282.00 KB),CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,2025_CERWI_112882_28,EERWPH-01/2025-26,"PH works (SI,SD AND WS) to Construction of Day Care Sub centre building at Govindpur under of Tangi block in Cuttack District.",1.0,2913104.0,GANESH CHANDRA BEHERA,INR,"471,377",1,2913012,ASHOK KUMAR NAIK,12-May-2025 12:41 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:48 PM,Finance,COMPARATIVE STATEMENT,Anil Kumar Das,20-May-2025 01:20 PM,finance_537934.pdf,BOQ Comparative Chart,Executive Engineer,Internal,,Anil Kumar Das,18-Jun-2025 03:48 PM,finsummary_537934.pdf (60.22 KB),Executive Engineer,Internal,,Anil Kumar Das,29-May-2025 02:56 PM,techsummary_537934.pdf (409.21 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License Document as per tender class of contractor in NIT, GST, Certificate, PAN Card.","Executive Engineer,RW (PH) Division, BBSR","SE RW (PH) DIVISION, BBSR Behind Esplande mall, Bomikhal, Rasulgarh,751010","PH works (SI,SD AND WS) to Construction of Day Care Sub centre building at Govindpur under of Tangi block in Cuttack District.","PH works (SI,SD AND WS) to Construction of Day Care Sub centre building at Govindpur under of Tangi block in Cuttack District.",Please refer Tender documents. ,NA ,"5,54,496",Civil Works - Buildings,NA ,Tender,90.0,NA ,Govindpur,754003.0,NA ,NA ,NA ,"O/O THE SE RW (PH) DIVISION,BHUBANESWAR",No ,No,CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,EERWPH-01/2025-26,2025_CERWI_112882_28,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"5,600",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,03-May-2025 11:00 AM,14-May-2025 11:00 AM,03-May-2025 11:00 AM,13-May-2025 05:00 PM,NA ,NA ,03-May-2025 11:00 AM,13-May-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,2,2911985,BIJAY KUMAR PARIDA,12-May-2025 11:10 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:48 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"EMD, Tender Paper cost, Affidavit for correctness and no Relation Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2916443,DEBASIS JENA,13-May-2025 04:04 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:48 PM,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2911962,GAGAN KUMAR SAHOO,12-May-2025 11:55 AM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:48 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2913104,GANESH CHANDRA BEHERA,12-May-2025 01:02 PM,Accepted-AOC,Qualified in transparancy lottery,19-Jun-2025 12:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2912033,MANAMOHAN PARIMANIK,11-May-2025 02:17 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:48 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2912975,PABITRA KUMAR ROUT,12-May-2025 12:31 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:48 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2912876,RANJIT BEHERA,12-May-2025 12:56 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:48 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2914757,RASHMI BISWAL,13-May-2025 12:57 AM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:48 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2915993,SUBHRANSU SEKHAR JENA,13-May-2025 02:18 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:48 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
