S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2802917.0,MACKINTOSH BURN LIMITED,INR,"244,693,643",Technical,Eleven bidders participated in this tender,Mamatamayee Pradhan,21-Feb-2025 02:31 PM,,EIC-CIVIL||EIC-CIVIL,2025_EICCL_110176_1,CE-BRIDGES-18/2024-25,Construction of H. L. Bridge over river Jambhira at Ch.3.350km on CMA Rajghat road in the District of Mayurbhanj under State Plan for the year 2024-25,"The Commissioner-cum-Secretary to Government, WD",Internal,"The CE, BRIDGES, Odisha, FA-cum-Special Secretary to Government, WD",Mamatamayee Pradhan,04-Jun-2025 02:33 PM,finsummary_528713.pdf (2010.17 KB),"Er. Ashok Kumar Giri, EIC (Civil-cum-Roads), Odisha",Internal,"Er. D. C. Behera, CE, Bridges, Odisha, Er. D. Kaibarta, ACE, Bridges, Sri M. K. Sharma, DAO",Durga Charan Behera,08-Apr-2025 05:15 PM,11-Apr-2025 11:30 AM,techsummary_528713.pdf (5468.78 KB),Finance,Price Bid opened,Mamatamayee Pradhan,23-Apr-2025 06:13 PM,,BOQ Comparative Chart,25-Jun-2025,"INR 244,693,643",915.0,Mamatamayee Pradhan,25-Jun-2025 10:13 PM,AOC_JAMBHIRA.pdf (2143.00 KB),"Agreement No.228 P1 of 2025-26 of SE, Mayurbhanj R and B Division, Baripada",1,2827827,ANUP BUILDERS,20-Feb-2025 04:38 PM,Rejected-Technical,Disqualified,08-Apr-2025 05:15 PM,AOC,EIC-CIVIL||EIC-CIVIL,CE-BRIDGES-18/2024-25,2025_EICCL_110176_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"28,78,500",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,"Chief Engineer, Bridges, Odisha","Nirman Soudha, O/o EIC (Civil), Odisha, Bhubaneswar",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost, Bid Security, GSTIN, PAN, RC and Affidavit",Construction of H. L. Bridge over river Jambhira at Ch.3.350km on CMA Rajghat road in the District of Mayurbhanj under State Plan for the year 2024-25,Construction of H. L. Bridge over river Jambhira at Ch.3.350km on CMA Rajghat road in the District of Mayurbhanj under State Plan for the year 2024-25,Please refer Tender documents. ,NA ,"28,78,41,010",Civil Works - Bridges,NA ,Tender,90.0,915.0,In the District of Mayurbhanj,751001.0,NA ,NA ,NA ,"Nirman Soudha, O/o EIC (Civil), Odisha, Bhubaneswa",No ,No,06-Feb-2025 10:00 AM,21-Feb-2025 11:30 AM,06-Feb-2025 10:00 AM,20-Feb-2025 05:00 PM,06-Feb-2025 10:00 AM ,18-Feb-2025 05:00 PM ,06-Feb-2025 10:00 AM,20-Feb-2025 05:00 PM,11-Apr-2025 11:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2824193,Ashirbad Eng & Construction Private Limited,20-Feb-2025 12:28 PM,Rejected-AOC,3rd lowest bidder,25-Jun-2025 10:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Machineries and work experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2825382,ASTHALAKSHMI CONSTRUCTION,20-Feb-2025 12:14 PM,Rejected-AOC,4th lowest bidder,25-Jun-2025 10:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other related documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2825354,Jyoti Construction,19-Feb-2025 02:17 PM,Rejected-Technical,Disqualified,08-Apr-2025 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2802917,MACKINTOSH BURN LIMITED,19-Feb-2025 06:10 PM,Accepted-AOC,1st lowest bidder,25-Jun-2025 10:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2810585,M/s. fortune group,20-Feb-2025 04:59 PM,Rejected-AOC,4th lowest bidder,25-Jun-2025 10:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2827184,M S INFRAENGINEERS PVT. LTD.,20-Feb-2025 04:24 PM,Rejected-AOC,5th lowest bidder,25-Jun-2025 10:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2819914,PRATAP PADHIARI,19-Feb-2025 08:41 PM,Rejected-Technical,Disqualified,08-Apr-2025 05:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2824682,SHREEMAN AND AMAN INFRA PRIVATE LIMITED,20-Feb-2025 04:17 PM,Rejected-AOC,4th lowest bidder,25-Jun-2025 10:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2815589,Sri Raja Rajeswari Constructions India Pvt Ltd,20-Feb-2025 04:56 PM,Rejected-AOC,2nd lowest bidder,25-Jun-2025 10:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
