S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,REVISED DTCN,Technical Bid,,1,ICICI BANK,Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_54,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,"Executive Officer, Balasore Municipality",Balasore Municipality Office,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,"6,531",Yes,percentage,1.0%,Nil,Nil,"Const. of Paver Block Road and Drain from Manoranjan Prusty Res to Mrutyunjay Nayak House, malik Sahi in Ward No_03","Const. of Paver Block Road and Drain from Manoranjan Prusty Res to Mrutyunjay Nayak House, malik Sahi in Ward No_03",Please refer Tender documents. ,NA ,"6,53,058",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC,EO CP ME AE,Internal,,Pradeep Kumar Nayak,25-Jun-2025 05:28 PM,finsummary_533180.pdf (510.84 KB),EO CP ME AE,Internal,,Pradeep Kumar Nayak,24-Jun-2025 06:29 PM,techsummary_533180.pdf (510.84 KB),1.0,2868224.0,SUKANTA PATRA,INR,"652,274.33",Municipal Bodies||Balasore Municipality,2025_ORULB_111643_54,BM_06_2024_25,"Const. of Paver Block Road and Drain from Manoranjan Prusty Res to Mrutyunjay Nayak House, malik Sahi in Ward No_03",1,2868431,SK SHAUDDIN,25-Mar-2025 08:31 PM,Rejected-Technical,L2,24-Jun-2025 06:29 PM,25-Jun-2025,"INR 653,058",60.0,Pradeep Kumar Nayak,25-Jun-2025 05:30 PM,WO0654.pdf (497.00 KB),Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 03:24 PM,,BOQ Comparative Chart,AOC
,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,2,2868224,SUKANTA PATRA,25-Mar-2025 06:16 PM,Accepted-AOC,WO,25-Jun-2025 05:30 PM,,,,,,,,,,,,,AOC
