Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-54/2024-25 Dt. 04.01.2025,2025_ORULB_109096_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction Of 3 set of two-Seater LOO at ward no. 58.,Construction Of 3 set of two-Seater LOO at ward no. 58.,Please refer Tender documents. ,NA ,"14,73,386",Civil Works - Others,NA ,Tender,120.0,60.0,BMC Area,751022.0,"UG floor,Central Tender Cell,BMC, ICOMC Tower ","UG floor,Central Tender Cell,BMC, ICOMC Tower ",13-Jan-2025 04:30 PM ,"Central Tender Cell,BMC",No ,No,"14,800",Yes,fixed,,Nil,Nil,09-Jan-2025 04:00 PM,21-Jan-2025 11:30 AM,09-Jan-2025 04:00 PM,20-Jan-2025 05:00 PM,09-Jan-2025 04:00 PM ,13-Jan-2025 10:30 AM ,09-Jan-2025 04:00 PM,20-Jan-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,1,ICICI BANK,Executive Engineer (Central Tender Cell),"UG floor,Central Tender Cell,BMC, ICOMC Tower",1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,AOC,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONIII,EEDRAINAGEDIVISION,ZONALCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,16-Jun-2025 04:19 PM,techsummary_524056.pdf (1081.88 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONIII,EEDRAINAGEDIVISION,ZONALCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,16-Jun-2025 04:22 PM,finsummary_524056.pdf (1081.88 KB),Finance,2 bids opened successfully,Taras Marandi,21-Jan-2025 12:12 PM,finance_524056.pdf,BOQ Comparative Chart,16-Jun-2025,"INR 1,790,579",60.0,Lipsa Parida,16-Jun-2025 04:25 PM,workorder_54_24.pdf (600.00 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_109096_24,BMC-EE-Tender Cell-54/2024-25 Dt. 04.01.2025,Construction Of 3 set of two-Seater LOO at ward no. 58.,1.0,2767011.0,RAJASHREE DASH,INR,"1,790,579",1,2767046,MASUM MALLIA,20-Jan-2025 04:59 PM,Rejected-Finance,Rejected,16-Jun-2025 04:22 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2767011,RAJASHREE DASH,20-Jan-2025 04:52 PM,Accepted-AOC,L1 bidder,16-Jun-2025 04:25 PM,AOC
