Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Superintending Engineer,"O/o the SE, Jajpur Irrigation Division, Jajpur",JJPR-36/24-25 Protection to scoured bank of OAE No 11B on Kharsuan right near Kantia Shiv Mandir.,Bank protection work,Please refer Tender documents. ,NA ,"79,61,826",Civil Works - Others,NA ,Tender,90.0,180.0,Binjharpur,755004.0,NA ,NA ,NA ,"O/o the SE, Jajpur Irrigation Division, Jajpur",No ,No,1.0,Fee/PreQual/Technical,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption","10,000",Nil,Nil,No,"79,700",Yes,fixed,,Nil,Nil,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,e-Procurement Notice No.18/ 2024-25,2025_CDJID_111737_12,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,18-Mar-2025 06:00 PM,02-Apr-2025 11:30 AM,18-Mar-2025 06:00 PM,29-Mar-2025 05:00 PM,18-Mar-2025 06:00 PM ,24-Mar-2025 05:00 PM ,18-Mar-2025 06:00 PM,29-Mar-2025 05:00 PM,11-Apr-2025 04:45 PM,AOC,"Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Ratnakar Dalai,11-Apr-2025 04:19 PM,11-Apr-2025 04:45 PM,techsummary_533590.pdf (3251.07 KB),Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Antaryami Mohanty,10-May-2025 11:37 AM,finance_533590.pdf,BOQ Comparative Chart,"Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Antaryami Mohanty,10-May-2025 12:20 PM,finsummary_533590.pdf (770.70 KB),Technical,Uploaded tender documents of all the bidders have been downloaded successfully.,Sarat Chandra Ghadei,03-Apr-2025 03:05 PM,technical_533590.pdf,1.0,2872719.0,DIBYA RANJAN DAS,INR,"6,768,348.14",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,2025_CDJID_111737_12,e-Procurement Notice No.18/ 2024-25,JJPR-36/24-25 Protection to scoured bank of OAE No 11B on Kharsuan right near Kantia Shiv Mandir.,1,2870014,AMIT BARAN DAS,26-Mar-2025 10:09 PM,Rejected-Finance,Did not win the lottery,10-May-2025 12:20 PM,25-Jun-2025,"INR 6,768,348.14",180.0,Ratnakar Dalai,25-Jun-2025 06:04 PM,WO18_36.pdf (418.00 KB),Contract Awarded,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2870502,ASHOK SAHANI,27-Mar-2025 12:45 PM,Rejected-Finance,Did not win the lottery,10-May-2025 12:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2869692,ASHUTOSH ENGINEERING,26-Mar-2025 06:48 PM,Rejected-Finance,Did not win the lottery,10-May-2025 12:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2872470,ASWINI KUMAR PARAMANIK,28-Mar-2025 07:05 PM,Rejected-Finance,Did not win the lottery,10-May-2025 12:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2872770,BIBEKANANDA MOHAPATRA,29-Mar-2025 08:50 AM,Rejected-Finance,Did not win the lottery,10-May-2025 12:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2869748,BINAYA BHUSAN PATTNAIK,26-Mar-2025 07:25 PM,Rejected-Finance,Did not win the lottery,10-May-2025 12:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2862487,BINAYAK ROUTRAY,22-Mar-2025 07:04 PM,Rejected-Finance,Did not win the lottery,10-May-2025 12:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2872732,BINAYA KUMAR NATH,29-Mar-2025 12:31 AM,Rejected-Finance,Did not win the lottery,10-May-2025 12:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2867656,BIRANCHI KUMAR DWIBEDI,26-Mar-2025 11:28 AM,Rejected-Finance,Did not win the lottery,10-May-2025 12:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2872112,BISWAJIT PANDA,29-Mar-2025 11:24 AM,Rejected-Finance,Did not win the lottery,10-May-2025 12:20 PM,,,,,,,,AOC
