Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",JJPR-5/24-25 Protection to scoured bank on OAE No 6B on Kharsuan left from RD 4.373 KM to 4.438KM near Kalyanpur.,Embankment protection,Please refer Tender documents. ,NA ,"26,37,251",Civil Works - Others,NA ,Tender,90.0,180.0,Binjharpur,755004.0,NA ,NA ,NA ,"O/o the SE, Jajpur Irrigation Division, Jajpur",No ,No,Superintending Engineer,"O/o the SE, Jajpur Irrigation Division, Jajpur","26,400",Yes,fixed,,Nil,Nil,10-Feb-2025 10:00 AM,27-Feb-2025 11:30 AM,10-Feb-2025 10:00 AM,25-Feb-2025 05:00 PM,10-Feb-2025 10:00 AM ,17-Feb-2025 05:00 PM ,10-Feb-2025 10:00 AM,25-Feb-2025 05:00 PM,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,e-Procurement Notice No.16/ 2024-25,2025_CDJID_110372_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,1.0,ICICI BANK,AOC,"Superintending Engineer, Jajpur Irrigation Division Jajpur",Internal,"Estimator and DAO, Jajpur Irrigation Division Jajpur",Ratnakar Dalai,25-Jun-2025 04:04 PM,finsummary_529418.pdf (444.74 KB),"Superintending Engineer, Jajpur Irrigation Division Jajpur",Internal,"Estimator and DAO, Jajpur Irrigation Division Jajpur",Ratnakar Dalai,25-Jun-2025 03:58 PM,techsummary_529418.pdf (444.74 KB),25-Jun-2025,"INR 2,241,927.41",180.0,Ratnakar Dalai,25-Jun-2025 04:07 PM,WO16_5.pdf (445.00 KB),Contract Awarded,1,2833949,ADHAR KUMAR SAMAL,24-Feb-2025 02:03 AM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 03:58 PM,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,2025_CDJID_110372_18,e-Procurement Notice No.16/ 2024-25,JJPR-5/24-25 Protection to scoured bank on OAE No 6B on Kharsuan left from RD 4.373 KM to 4.438KM near Kalyanpur.,1.0,2833803.0,SATCHIDANANDA JENA,INR,"2,241,927.41",Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Sudhanshu Sekhar Nayak,04-Mar-2025 06:55 PM,finance_529418.pdf,BOQ Comparative Chart,AOC
,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,2,2830591,AMAR BEHERA,22-Feb-2025 06:58 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 03:58 PM,,,,,,,,,,,,,,,,AOC
,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2830111,ANUSUYA NAYAK,22-Feb-2025 09:51 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 03:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2829748,ARUNA KUMAR SAHOO,23-Feb-2025 12:10 AM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 03:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2828146,ASHISH KUMAR BEHURIA,21-Feb-2025 09:26 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 03:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2830183,ASHOK SAHOO,22-Feb-2025 08:35 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 03:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2836597,BASUDEB NATH SHARMA,25-Feb-2025 11:46 AM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 03:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2837745,BHARAT KUMAR DAS,25-Feb-2025 04:17 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 03:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2823205,BHASKAR CHANDRA SAHOO,21-Feb-2025 05:21 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 03:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2833198,BIKASH SAHOO,23-Feb-2025 09:09 PM,Rejected-Technical,Does not satisfy as per DTCN,25-Jun-2025 03:58 PM,,,,,,,,,,,,,,,,AOC
