S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD ,Licence ,PAN,GSTIN, Affidavit, Schedule-A,Machinery MoU with Electrical Contractor",1.0,Construction of Paddy Procurement Centre at Dumabahal under Lephripara Block in the District of Sundargarh for the year 2024.25.,Date,,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-SUNDERGARH,Bid Identification No-SE-RandB-SNG-27 OF 2024-25,2024_EICCL_106146_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,30-Oct-2024 10:00 AM,22-Nov-2024 11:00 AM,30-Oct-2024 10:00 AM,21-Nov-2024 05:00 PM,30-Oct-2024 10:00 AM ,20-Nov-2024 05:00 PM ,30-Oct-2024 10:00 AM,21-Nov-2024 05:00 PM,17-Feb-2025 11:00 AM,"65,569",Yes,percentage,1.0%,Nil,Nil,Construction of Paddy Procurement Centre at Dumabahal under Lephripara Block in the District of Sundargarh for the year 2024.25.,Construction of Paddy Procurement Centre at Dumabahal under Lephripara Block in the District of Sundargarh for the year 2024.25.,Please refer Tender documents. ,NA ,"65,56,918",Civil Works - Buildings,NA ,Tender,90.0,90.0,Sundargarh,770001.0,NA ,NA ,NA ,"O/O the SE R AND B DIVISION, SUNDARGARH",No ,No,"SE R AND B DIVISION, SUNDARGARH","O/O the SE R AND B DIVISION, SUNDARGARH","10,000",0.0,Nil,Nil,No,AOC,SEDAOAEEAE,Internal,SEDAOAEEAE,Swagatika Naik,30-Jun-2025 05:06 PM,finsummary_512820.pdf (336.69 KB),Technical,Evaluation sheet,Swagatika Naik,14-Feb-2025 02:28 PM,technical_512820.pdf,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-SUNDERGARH,2024_EICCL_106146_2,Bid Identification No-SE-RandB-SNG-27 OF 2024-25,Construction of Paddy Procurement Centre at Dumabahal under Lephripara Block in the District of Sundargarh for the year 2024.25.,1.0,2657694.0,SURJIT PATEL,INR,"5,574,035.93",1,2639701,HIMANSHU BHUSAN SAHU,11-Nov-2024 03:56 PM,Rejected-AOC,Accepted,30-Jun-2025 05:37 PM,30-Jun-2025,"INR 5,574,035.93",90.0,Swagatika Naik,30-Jun-2025 05:37 PM,Dumabahal.pdf (337.00 KB),Work order copy,Finance,Work order copy,Swagatika Naik,30-Jun-2025 04:58 PM,finance_512820.pdf,BOQ Comparative Chart,SEDAOAEEAE,Internal,SEDAOAEEAE,Swagatika Naik,14-Feb-2025 02:32 PM,17-Feb-2025 11:00 AM,techsummary_512820.pdf (315.95 KB),AOC
2.0,ICICI NEFT/RTGS,,,.pdf,Schedule-A and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2658142,JAYANTA KUMAR NAIK,21-Nov-2024 03:20 PM,Rejected-Technical,Valid Licence not submitted,14-Feb-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2648961,KRUSHNA CHANDRA TANDIA,21-Nov-2024 04:25 PM,Rejected-AOC,Accepted,30-Jun-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2658162,MAHAMAYEE INDUSTRIAL PRIVATE LIMITED,21-Nov-2024 03:31 PM,Rejected-Technical,Valid Licence not submitted,14-Feb-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2657899,MANOJ KUMAR NAIK,21-Nov-2024 03:46 PM,Rejected-Technical,Required Machienery not submitted,14-Feb-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2634700,MAYANK PUROHIT,10-Nov-2024 11:18 AM,Rejected-AOC,Accepted,30-Jun-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2657867,MINAKETAN GARDIA,21-Nov-2024 02:08 PM,Rejected-AOC,Accepted,30-Jun-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2657841,PRIYADARSHI RANA,21-Nov-2024 02:07 PM,Rejected-Technical,Required Machinery not submitted,14-Feb-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2639031,RAJ KISHORE BHATTACHARYA,11-Nov-2024 02:22 PM,Rejected-AOC,Accepted,30-Jun-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2658157,SHUVAM KALO,21-Nov-2024 03:23 PM,Rejected-AOC,Accepted,30-Jun-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,11,2657598,SRI KISHOR KUMAR AGRAWAL,21-Nov-2024 12:39 PM,Rejected-AOC,Accepted,30-Jun-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,12,2657694,SURJIT PATEL,21-Nov-2024 02:44 PM,Accepted-AOC,Winner in the Lottery,30-Jun-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
