Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",Nil,Nil,No,21-Mar-2025 09:00 AM,11-Apr-2025 05:30 PM,21-Mar-2025 09:00 AM,11-Apr-2025 05:00 PM,21-Mar-2025 09:00 AM ,11-Apr-2025 05:00 PM ,21-Mar-2025 09:00 AM,11-Apr-2025 05:00 PM,26-Apr-2025 10:20 AM,1.0,ICICI BANK,frastructure development of DHATUKDIHI GOVT PRIMARY SCHOOL AND PRATIVA SUDARSHANA GOVT HS under BISRA,frastructure development of DHATUKDIHI GOVT PRIMARY SCHOOL AND PRATIVA SUDARSHANA GOVT HS under BISRA,Please refer Tender documents. ,NA ,"3,59,02,049",Civil Works - Buildings,NA ,Tender,90.0,330.0,SUNDARGARH,770001.0,NA ,NA ,NA ,DPO SS SUNDARGARH,No ,No,1.0,Fee/PreQual/Technical,.pdf,"LICENSE, PAN, GST, EXPERIENCE, TOOLS AND PLANTS, ALL DOCUMENTS AS PER DTCN",OPEPA Bhubaneswar||Samagra Shiksha Sundargarh,DPC/SS/SNG/11,2025_OPEPA_111796_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,DPC SS SNG,DPO SS SUNDARGARH,"3,60,000",Yes,fixed,,Nil,Nil,AOC,1,2881363,AJAY KUMAR AGRAWAL,10-Apr-2025 09:13 PM,Rejected-AOC,did not win lottery,08-Jun-2025 12:31 PM,09-Jun-2025,"INR 30,520,331.29",330.0,Amulya Kumar Pradhan,08-Jun-2025 12:31 PM,1117964.pdf (393.00 KB),1.0,CORRECTION IN TECHNICAL EVALUATION,CORRECTION IN TECHNICAL EVALUATION,25-Apr-2025 07:44 PM,A4.pdf ,92.42,Technical Opening,DPC SS SNG,Internal,,Biswamanohar Subudhi,26-Apr-2025 10:13 AM,26-Apr-2025 10:20 AM,techsummary_533793.pdf (369.49 KB),Finance,SUMMERY,Amulya Kumar Pradhan,26-Apr-2025 11:10 AM,finance_533793.pdf,BOQ Comparative Chart,Technical,SUMMERY,Amulya Kumar Pradhan,26-Apr-2025 09:40 AM,technical_533793.pdf,OPEPA Bhubaneswar||Samagra Shiksha Sundargarh,2025_OPEPA_111796_4,DPC/SS/SNG/11,frastructure development of DHATUKDIHI GOVT PRIMARY SCHOOL AND PRATIVA SUDARSHANA GOVT HS under BISRA,DPC SS SNG,Internal,,Amulya Kumar Pradhan,08-Jun-2025 12:29 PM,finsummary_533793.pdf (370.18 KB),1.0,2882178.0,KANAK INFRASTRUCTURE,INR,"30,520,331.29",AOC
,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,ALL DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2880766,AJAY KUMAR SAHU,10-Apr-2025 06:52 PM,Rejected-AOC,did not win lottery,08-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2879566,BHABANI SHANKAR PATEL,09-Apr-2025 09:22 PM,Rejected-AOC,did not win lottery,08-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2880294,BIJAYA KUMARA JAISWAL,09-Apr-2025 11:32 PM,Rejected-AOC,did not win lottery,08-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2880834,BIJAY KUMAR AGRAWAL,10-Apr-2025 02:42 PM,Rejected-AOC,did not win lottery,08-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2881511,ETWA BECK,11-Apr-2025 12:00 PM,Rejected-AOC,did not win lottery,08-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2882178,KANAK INFRASTRUCTURE,11-Apr-2025 03:49 PM,Accepted-AOC,won lottery,08-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2873827,MS DIBYANSU CONSTRUCTION PVT. LTD.,11-Apr-2025 07:49 AM,Rejected-Technical,REJECTED,26-Apr-2025 10:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2881803,M/S. MAA TARA CONSTRUCTION,11-Apr-2025 01:27 PM,Rejected-Finance,L2 rejected,08-Jun-2025 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2882243,SRIJAN CONSTRUCTION,11-Apr-2025 02:12 PM,Rejected-AOC,did not win lottery,08-Jun-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,2882238,SUBHADRARANI BISWAL,11-Apr-2025 02:04 PM,Rejected-Technical,REJECTED,26-Apr-2025 10:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,2882413,SUBODH SAHOO,11-Apr-2025 03:31 PM,Rejected-Technical,REJECTED,26-Apr-2025 10:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
